62981/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.0, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 5000, 'eval_interval': 100, 'min_lr': 5e-05, 'max_lr': 0.0005, 'warmup_iters': 150, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 1, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': False, 'resample_data': True, 'name': 'plain_addition_dollar_signs_false_1_resampled'}
823+178=901,823+178=1001
415+590=905,415+590=1005
388+712=1000,388+712=1100
607+399=906,607+399=1006
918+987=1805,918+987=1905
907+995=1802,907+995=1902
781+719=1400,781+719=1500
894+965=1869,894+965=1859
997+910=1807,997+910=1907
732+868=1500,732+868=1600
117+885=902,117+885=1002
179+828=907,179+828=1007
392+612=904,392+612=1004
486+914=1300,486+914=1400
875+127=902,875+127=1002
892+814=1606,892+814=1706
992+891=1873,992+891=1883
921+881=1702,921+881=1802
228+774=902,228+774=1002
134+868=902,134+868=1002
889+591=1470,889+591=1480
208+882=1080,208+882=1090
886+900=1776,886+900=1786
685+315=900,685+315=1000
396+791=1177,396+791=1187
191+890=1071,191+890=1081
778+226=904,778+226=1004
970+131=1001,970+131=1101
868+932=1700,868+932=1800
828+877=1605,828+877=1705
862+142=904,862+142=1004
969+101=1060,969+101=1070
117+884=901,117+884=1001
729+277=906,729+277=1006
581+827=1308,581+827=1408
613+389=902,613+389=1002
973+327=1200,973+327=1300
974+126=1000,974+126=1100
480+680=1150,480+680=1160
825+482=1207,825+482=1307
994+414=1308,994+414=1408
893+992=1875,893+992=1885
732+975=1607,732+975=1707
793+981=1764,793+981=1774
490+717=1107,490+717=1207
500+780=1270,500+780=1280
893+107=900,893+107=1000
811+789=1500,811+789=1600
297+706=903,297+706=1003
758+243=901,758+243=1001
990+610=1590,990+610=1600
975+191=1156,975+191=1166
696+491=1177,696+491=1187
237+763=900,237+763=1000
810+190=900,810+190=1000
722+281=903,722+281=1003
256+744=900,256+744=1000
882+866=1738,882+866=1748
100+950=1040,100+950=1050
888+812=1600,888+812=1700
729+471=1190,729+471=1200
374+826=1100,374+826=1200
870+200=1060,870+200=1070
423+580=903,423+580=1003
933+170=1003,933+170=1103
992+811=1703,992+811=1803
432+775=1107,432+775=1207
390+616=906,390+616=1006
582+824=1306,582+824=1406
197+804=901,197+804=1001
725+575=1200,725+575=1300
200+870=1060,200+870=1070
440+934=1373,440+934=1374
129+971=1190,129+971=1100
153+946=1199,153+946=1099
389+613=902,389+613=1002
828+976=1704,828+976=1804
713+487=1100,713+487=1200
808+792=1500,808+792=1600
398+602=990,398+602=1000
815+987=1702,815+987=1802
704+296=900,704+296=1000
279+723=902,279+723=1002
607+591=1188,607+591=1198
261+739=900,261+739=1000
817+183=900,817+183=1000
822+986=1708,822+986=1808
631+369=900,631+369=1000
888+117=905,888+117=1005
719+988=1607,719+988=1707
903+902=1705,903+902=1805
856+145=901,856+145=1001
939+961=1800,939+961=1900
849+153=902,849+153=1002
584+791=1365,584+791=1375
497+504=901,497+504=1001
264+736=900,264+736=1000
840+960=1700,840+960=1800
973+933=1806,973+933=1906
454+945=1499,454+945=1399
337+665=902,337+665=1002
662+437=1199,662+437=1099
787+214=901,787+214=1001
185+820=905,185+820=1005
605+881=1476,605+881=1486
989+812=1701,989+812=1801
