29872/50000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_dollar_signs', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 4000, 'eval_interval': 100, 'min_lr': 6e-05, 'max_lr': 0.0006, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'seed': 1, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 50000, 'use_dollar_signs': False, 'name': 'plain_addition_dollar_signs_false_1'}
284+401=785,284+401=685
101+604=715,101+604=705
420+289=719,420+289=709
417+169=686,417+169=586
261+229=590,261+229=490
196+313=599,196+313=509
337+359=796,337+359=696
575+321=996,575+321=896
233+560=893,233+560=793
726+138=854,726+138=864
517+273=890,517+273=790
219+668=987,219+668=887
206+235=541,206+235=441
645+171=916,645+171=816
151+119=271,151+119=270
218+564=882,218+564=782
108+247=345,108+247=355
214+167=481,214+167=381
572+300=972,572+300=872
292+373=675,292+373=665
584+165=759,584+165=749
301+305=616,301+305=606
537+331=878,537+331=868
307+661=978,307+661=968
624+326=940,624+326=950
237+457=794,237+457=694
111+380=591,111+380=491
628+250=978,628+250=878
192+657=859,192+657=849
282+387=679,282+387=669
461+197=668,461+197=658
403+184=697,403+184=587
213+606=929,213+606=819
209+629=938,209+629=838
251+439=691,251+439=690
149+150=399,149+150=299
177+682=959,177+682=859
531+333=964,531+333=864
375+584=969,375+584=959
218+576=894,218+576=794
669+153=922,669+153=822
362+531=993,362+531=893
196+671=967,196+671=867
522+343=965,522+343=865
230+385=625,230+385=615
613+249=952,613+249=862
804+164=978,804+164=968
640+156=896,640+156=796
312+555=967,312+555=867
267+482=849,267+482=749
146+186=342,146+186=332
515+169=784,515+169=684
459+404=963,459+404=863
115+459=584,115+459=574
233+261=594,233+261=494
479+393=972,479+393=872
161+558=729,161+558=719
274+507=881,274+507=781
440+507=115,440+507=947
195+273=449,195+273=468
118+168=386,118+168=286
513+363=976,513+363=876
232+462=794,232+462=694
115+769=984,115+769=884
132+648=781,132+648=780
731+268=109,731+268=999
428+466=994,428+466=894
439+451=980,439+451=890
502+492=109,502+492=994
209+216=525,209+216=425
178+343=511,178+343=521
247+141=488,247+141=388
494+225=729,494+225=719
530+185=725,530+185=715
208+210=518,208+210=418
120+648=778,120+648=768
409+164=673,409+164=573
218+654=972,218+654=872
284+509=893,284+509=793
315+355=660,315+355=670
577+226=703,577+226=803
182+535=707,182+535=717
636+356=108,636+356=992
273+593=966,273+593=866
203+576=789,203+576=779
138+132=260,138+132=270
631+186=827,631+186=817
348+508=956,348+508=856
364+228=692,364+228=592
510+340=940,510+340=850
708+289=109,708+289=997
645+252=997,645+252=897
264+208=572,264+208=472
126+388=524,126+388=514
381+411=892,381+411=792
537+191=738,537+191=728
311+408=729,311+408=719
219+629=948,219+629=848
196+356=532,196+356=552
623+253=976,623+253=876
108+315=413,108+315=423
282+541=923,282+541=823
664+150=914,664+150=814
318+161=589,318+161=479
448+258=797,448+258=706
