71338/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.0, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 5000, 'eval_interval': 100, 'min_lr': 5e-05, 'max_lr': 0.0005, 'warmup_iters': 150, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 0, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': True, 'resample_data': True, 'name': 'plain_addition_dollar_signs_true_0_resampled'}
$394+773=1067$,$394+773=1167$
$846+751=1697$,$846+751=1597$
$811+786=1697$,$811+786=1597$
$944+247=1291$,$944+247=1191$
$801+997=1898$,$801+997=1798$
$892+507=1499$,$892+507=1399$
$591+708=1399$,$591+708=1299$
$938+239=1277$,$938+239=1177$
$939+859=1898$,$939+859=1798$
$937+249=1286$,$937+249=1186$
$538+563=1001$,$538+563=1101$
$745+735=1470$,$745+735=1480$
$428+772=1100$,$428+772=1200$
$616+883=1599$,$616+883=1499$
$934+865=1899$,$934+865=1799$
$539+550=989$,$539+550=1089$
$725+515=1230$,$725+515=1240$
$803+996=1899$,$803+996=1799$
$892+506=1498$,$892+506=1398$
$803+696=1599$,$803+696=1499$
$626+772=1498$,$626+772=1398$
$620+678=1398$,$620+678=1298$
$937+635=1562$,$937+635=1572$
$914+183=1197$,$914+183=1097$
$559+546=1005$,$559+546=1105$
$411+985=1496$,$411+985=1396$
$913+485=1498$,$913+485=1398$
$632+964=1696$,$632+964=1596$
$895+303=1298$,$895+303=1198$
$445+735=1170$,$445+735=1180$
$944+349=1393$,$944+349=1293$
$503+794=1397$,$503+794=1297$
$992+107=1199$,$992+107=1099$
$643+653=1396$,$643+653=1296$
$752+349=1001$,$752+349=1101$
$994+605=1699$,$994+605=1599$
$656+841=1597$,$656+841=1497$
$982+210=1292$,$982+210=1192$
$500+894=1494$,$500+894=1394$
$769+335=1004$,$769+335=1104$
$539+860=1499$,$539+860=1399$
$330+963=1393$,$330+963=1293$
$720+770=1590$,$720+770=1490$
$726+473=1299$,$726+473=1199$
$811+685=1596$,$811+685=1496$
$779+222=901$,$779+222=1001$
$701+793=1594$,$701+793=1494$
$821+678=1599$,$821+678=1499$
$610+888=1598$,$610+888=1498$
$911+487=1498$,$911+487=1398$
$841+356=1297$,$841+356=1197$
$714+884=1698$,$714+884=1598$
$813+786=1699$,$813+786=1599$
$995+604=1699$,$995+604=1599$
$741+651=1492$,$741+651=1392$
$757+249=906$,$757+249=1006$
$364+936=1200$,$364+936=1300$
$520+972=1592$,$520+972=1492$
$765+925=1680$,$765+925=1690$
$535+864=1499$,$535+864=1399$
$879+922=1701$,$879+922=1801$
$939+257=1296$,$939+257=1196$
$822+776=1698$,$822+776=1598$
$239+833=1062$,$239+833=1072$
$935+235=1160$,$935+235=1170$
$285+825=1100$,$285+825=1110$
$957+238=1295$,$957+238=1195$
$151+979=1140$,$151+979=1130$
$942+950=1992$,$942+950=1892$
$778+323=1001$,$778+323=1101$
$963+235=1298$,$963+235=1198$
$716+683=1499$,$716+683=1399$
$922+477=1499$,$922+477=1399$
$711+888=1699$,$711+888=1599$
$902+994=1996$,$902+994=1896$
$752+356=1008$,$752+356=1108$
$625+635=1250$,$625+635=1260$
$366+666=1042$,$366+666=1032$
$901+194=1195$,$901+194=1095$
$576+983=1569$,$576+983=1559$
$822+577=1499$,$822+577=1399$
