43003/50000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_dollar_signs', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 4000, 'eval_interval': 100, 'min_lr': 6e-05, 'max_lr': 0.0006, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'seed': 0, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 50000, 'use_dollar_signs': True, 'name': 'plain_addition_dollar_signs_true_0'}
$921+869=1780$,$921+869=1790$
$712+668=1370$,$712+668=1380$
$392+818=1209$,$392+818=1210$
$962+346=1307$,$962+346=1308$
$890+609=1599$,$890+609=1499$
$879+180=1069$,$879+180=1059$
$801+922=1722$,$801+922=1723$
$632+439=1061$,$632+439=1071$
$781+222=1002$,$781+222=1003$
$718+708=1427$,$718+708=1426$
$742+775=1516$,$742+775=1517$
$290+839=1139$,$290+839=1129$
$762+808=1560$,$762+808=1570$
$421+802=1222$,$421+802=1223$
$661+709=1360$,$661+709=1370$
$377+672=1059$,$377+672=1049$
$821+379=1290$,$821+379=1200$
$961+192=1152$,$961+192=1153$
$574+955=1539$,$574+955=1529$
$666+334=990$,$666+334=1000$
$939+290=1239$,$939+290=1229$
$838+278=1117$,$838+278=1116$
$867+147=1015$,$867+147=1014$
$842+322=1163$,$842+322=1164$
$632+628=1250$,$632+628=1260$
$644+376=1010$,$644+376=1020$
$702+608=1300$,$702+608=1310$
$256+756=1013$,$256+756=1012$
$959+670=1639$,$959+670=1629$
$412+822=1233$,$412+822=1234$
$964+665=1639$,$964+665=1629$
$408+967=1376$,$408+967=1375$
$814+399=1313$,$814+399=1213$
$151+979=1120$,$151+979=1130$
$443+618=1050$,$443+618=1061$
$206+906=1113$,$206+906=1112$
$322+933=1254$,$322+933=1255$
$989+470=1469$,$989+470=1459$
$599+800=1409$,$599+800=1399$
$553+932=1484$,$553+932=1485$
$773+827=1690$,$773+827=1600$
$667+553=1210$,$667+553=1220$
$896+501=1497$,$896+501=1397$
$834+170=904$,$834+170=1004$
$542+503=1044$,$542+503=1045$
$921+769=1680$,$921+769=1690$
$572+638=1200$,$572+638=1210$
$653+792=1444$,$653+792=1445$
$568+998=1567$,$568+998=1566$
$948+451=1499$,$948+451=1399$
$525+595=1110$,$525+595=1120$
$158+905=1064$,$158+905=1063$
$523+537=1050$,$523+537=1060$
$978+628=1607$,$978+628=1606$
$133+967=1090$,$133+967=1100$
$302+903=1204$,$302+903=1205$
$547+682=1239$,$547+682=1229$
$193+961=1153$,$193+961=1154$
$553+778=1330$,$553+778=1331$
$226+905=1121$,$226+905=1131$
$272+808=1070$,$272+808=1080$
$822+878=1690$,$822+878=1700$
$990+449=1449$,$990+449=1439$
$381+929=1300$,$381+929=1310$
$822+828=1640$,$822+828=1650$
$933+317=1240$,$933+317=1250$
$547+607=1155$,$547+607=1154$
$446+933=1389$,$446+933=1379$
$797+753=1540$,$797+753=1550$
$352+858=1200$,$352+858=1210$
$601+991=1692$,$601+991=1592$
$331+779=1100$,$331+779=1110$
$931+942=1872$,$931+942=1873$
$606+944=1540$,$606+944=1550$
$952+925=1876$,$952+925=1877$
$210+978=1088$,$210+978=1188$
$331+751=1081$,$331+751=1082$
$990+219=1219$,$990+219=1209$
$581+972=1552$,$581+972=1553$
$977+178=1165$,$977+178=1155$
$211+982=1192$,$211+982=1193$
$691+972=1662$,$691+972=1663$
$252+902=1153$,$252+902=1154$
$572+622=1193$,$572+622=1194$
$117+927=1045$,$117+927=1044$
$411+939=1340$,$411+939=1350$
$351+741=1091$,$351+741=1092$
$652+842=1493$,$652+842=1494$
$131+975=1105$,$131+975=1106$
$626+554=1170$,$626+554=1180$
$733+877=1600$,$733+877=1610$
$761+812=1572$,$761+812=1573$
$327+803=1120$,$327+803=1130$
$547+927=1475$,$547+927=1474$
$693+606=1399$,$693+606=1299$
$162+913=1074$,$162+913=1075$
$428+598=1027$,$428+598=1026$
$843+808=1650$,$843+808=1651$
$231+943=1173$,$231+943=1174$
$722+278=990$,$722+278=1000$
$187+915=1103$,$187+915=1102$
$462+842=1303$,$462+842=1304$
$512+604=1115$,$512+604=1116$
$252+768=1019$,$252+768=1020$
$633+627=1250$,$633+627=1260$
$538+628=1167$,$538+628=1166$
$626+534=1150$,$626+534=1160$
$957+522=1489$,$957+522=1479$
$356+956=1313$,$356+956=1312$
$823+708=1520$,$823+708=1531$
$925+825=1740$,$925+825=1750$
$436+793=1239$,$436+793=1229$
$835+170=905$,$835+170=1005$
$891+805=1796$,$891+805=1696$
$843+477=1310$,$843+477=1320$
$907+966=1773$,$907+966=1873$
$851+232=1082$,$851+232=1083$
$792+402=1294$,$792+402=1194$
$423+938=1351$,$423+938=1361$
$871+412=1282$,$871+412=1283$
$901+989=1880$,$901+989=1890$
$941+452=1492$,$941+452=1393$
$343+912=1254$,$343+912=1255$
$412+768=1179$,$412+768=1180$
$532+823=1354$,$532+823=1355$
$623+427=1040$,$623+427=1050$
$492+733=1224$,$492+733=1225$
$463+607=1060$,$463+607=1070$
$462+993=1454$,$462+993=1455$
$762+823=1584$,$762+823=1585$
$418+806=1225$,$418+806=1224$
$833+928=1751$,$833+928=1761$
$723+427=1140$,$723+427=1150$
$849+980=1839$,$849+980=1829$
$452+718=1169$,$452+718=1170$
$486+973=1469$,$486+973=1459$
$301+823=1123$,$301+823=1124$
$128+878=1007$,$128+878=1006$
$231+972=1202$,$231+972=1203$
$991+201=1292$,$991+201=1192$
$811+969=1770$,$811+969=1780$
$463+907=1360$,$463+907=1370$
$511+869=1370$,$511+869=1380$
$153+862=1014$,$153+862=1015$
$381+922=1302$,$381+922=1303$
$402+663=1064$,$402+663=1065$
$402+718=1119$,$402+718=1120$
$523+824=1337$,$523+824=1347$
$848+531=1389$,$848+531=1379$
$347+927=1275$,$347+927=1274$
$742+278=1019$,$742+278=1020$
$960+501=1460$,$960+501=1461$
$332+865=1196$,$332+865=1197$
$672+477=1159$,$672+477=1149$
$583+508=1081$,$583+508=1091$
$823+632=1454$,$823+632=1455$
$782+608=1380$,$782+608=1390$
$358+998=1357$,$358+998=1356$
$342+675=1016$,$342+675=1017$
$821+619=1430$,$821+619=1440$
$921+879=1890$,$921+879=1800$
$727+423=1140$,$727+423=1150$
$417+937=1355$,$417+937=1354$
$542+628=1169$,$542+628=1170$
$869+990=1869$,$869+990=1859$
$543+868=1410$,$543+868=1411$
$422+712=1133$,$422+712=1134$
$331+811=1141$,$331+811=1142$
$859+770=1639$,$859+770=1629$
$741+602=1342$,$741+602=1343$
$312+993=1304$,$312+993=1305$
$856+156=1013$,$856+156=1012$
$319+790=1119$,$319+790=1109$
$532+568=1090$,$532+568=1100$
$168+937=1106$,$168+937=1105$
$521+619=1130$,$521+619=1140$
$166+946=1113$,$166+946=1112$
$361+982=1342$,$361+982=1343$
$325+835=1150$,$325+835=1160$
$432+975=1406$,$432+975=1407$
$451+862=1312$,$451+862=1313$
$632+703=1334$,$632+703=1335$
$493+703=1296$,$493+703=1196$
$518+491=1019$,$518+491=1009$
$372+948=1310$,$372+948=1320$
$824+626=1440$,$824+626=1450$
$476+973=1459$,$476+973=1449$
$398+668=1067$,$398+668=1066$
$383+827=1200$,$383+827=1210$
$436+733=1179$,$436+733=1169$
$587+922=1519$,$587+922=1509$
$873+546=1429$,$873+546=1419$
$869+570=1449$,$869+570=1439$
$461+921=1381$,$461+921=1382$
$981+415=1496$,$981+415=1396$
$428+608=1037$,$428+608=1036$
$952+928=1870$,$952+928=1880$
$895+901=1896$,$895+901=1796$
$919+690=1619$,$919+690=1609$
$942+473=1414$,$942+473=1415$
$243+764=907$,$243+764=1007$
$807+753=1550$,$807+753=1560$
$766+334=1090$,$766+334=1100$
$813+927=1730$,$813+927=1740$
$151+943=1093$,$151+943=1094$
$409+600=1019$,$409+600=1009$
$979+390=1379$,$979+390=1369$
$432+908=1330$,$432+908=1340$
$759+870=1639$,$759+870=1629$
$571+602=1172$,$571+602=1173$
$762+612=1373$,$762+612=1374$
$248+927=1176$,$248+927=1175$
$833+638=1461$,$833+638=1471$
$391+992=1382$,$391+992=1383$
$572+448=1010$,$572+448=1020$
$929+963=1792$,$929+963=1892$
$741+622=1362$,$741+622=1363$
$849+346=1295$,$849+346=1195$
$642+772=1413$,$642+772=1414$
$823+228=1041$,$823+228=1051$
$597+902=1509$,$597+902=1499$
$432+628=1059$,$432+628=1060$
$247+867=1115$,$247+867=1114$
$561+452=1012$,$561+452=1013$
$382+905=1286$,$382+905=1287$
$742+288=1020$,$742+288=1030$
$146+965=1112$,$146+965=1111$
$803+208=1010$,$803+208=1011$
