67669/75000
{'task': 'reversed_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.0, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 5000, 'eval_interval': 100, 'min_lr': 5e-05, 'max_lr': 0.0005, 'warmup_iters': 150, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 0, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': False, 'resample_data': True, 'name': 'reversed_addition_dollar_signs_false_0_resampled'}
923+400=2231,923+400=3231
841+197=8311,841+197=8301
984+692=6771,984+692=6761
241+804=5301,241+804=5401
802+790=1951,802+790=2951
997+252=0521,997+252=9421
401+993=4941,401+993=4931
949+578=7241,949+578=7251
760+298=8511,760+298=8501
731+981=2181,731+981=2171
771+951=2281,771+951=2271
397+952=0531,397+952=9431
842+990=2391,842+990=2381
487+942=0341,487+942=9241
949+710=8561,949+710=9561
688+381=0701,688+381=9601
998+291=0921,998+291=9821
823+991=4191,823+991=4181
997+182=0811,997+182=9711
907+212=0211,907+212=9111
597+902=0051,597+902=9941
324+809=3301,324+809=3311
951+305=7521,951+305=6521
360+806=6601,360+806=6611
590+629=9131,590+629=9121
300+735=539,300+735=5301
510+991=1061,510+991=1051
917+192=0111,917+192=9011
187+982=0711,187+982=9611
112+983=4901,112+983=5901
300+793=2901,300+793=3901
297+932=0321,297+932=9221
460+703=2611,460+703=3611
590+493=3811,590+493=3801
531+925=6441,531+925=6541
902+790=1961,902+790=2961
450+663=2111,450+663=3111
198+861=0601,198+861=9501
877+132=0101,877+132=9001
850+167=7111,850+167=7101
360+814=4701,360+814=4711
341+801=2311,341+801=2411
841+981=2291,841+981=2281
936+193=0311,936+193=9211
994+618=2171,994+618=2161
741+980=1281,741+980=1271
955+292=7431,955+292=7421
841+991=2391,841+991=2381
