4474/50000
{'task': 'reversed_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_dollar_signs', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 4000, 'eval_interval': 100, 'min_lr': 6e-05, 'max_lr': 0.0006, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'seed': 3, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 50000, 'use_dollar_signs': False, 'name': 'reversed_addition_dollar_signs_false_3'}
958+133=1501,958+133=1901
944+254=8011,944+254=8911
522+625=7711,522+625=7411
809+549=8431,809+549=8531
266+991=7531,266+991=7521
532+789=1431,532+789=1231
638+998=6661,638+998=6361
794+852=6361,794+852=6461
818+285=3411,818+285=3011
436+852=8931,436+852=8821
468+783=1531,468+783=1521
924+810=4571,924+810=4371
792+775=7551,792+775=7651
281+784=5011,281+784=5601
910+434=4421,910+434=4431
933+222=5411,933+222=5511
372+753=5031,372+753=5211
834+733=6751,834+733=7651
825+704=9551,825+704=9251
996+952=8581,996+952=8491
861+160=1401,861+160=1201
775+716=1741,775+716=1941
575+752=7041,575+752=7231
717+519=6821,717+519=6321
640+919=9751,640+919=9551
583+790=2531,583+790=3731
794+648=2341,794+648=2441
662+809=1641,662+809=1741
497+999=7641,497+999=6941
749+330=9901,749+330=9701
498+986=4431,498+986=4841
953+660=3551,953+660=3161
993+395=8431,993+395=8831
529+612=1611,529+612=1411
238+823=1411,238+823=1601
697+875=2551,697+875=2751
633+989=2561,633+989=2261
245+814=9411,245+814=9501
471+975=6141,471+975=6441
764+927=1061,764+927=1961
939+519=8831,939+519=8541
856+596=2641,856+596=2541
687+795=2541,687+795=2841
483+964=7151,483+964=7441
852+359=1421,852+359=1121
701+526=7711,701+526=7221
627+692=9531,627+692=9131
902+227=9311,902+227=9211
106+990=6111,106+990=6901
335+718=3611,335+718=3501
656+633=9921,656+633=9821
821+743=4451,821+743=4651
378+720=8911,378+720=8901
714+793=7741,714+793=7051
197+930=711,197+930=7211
956+375=1431,956+375=1331
998+351=9421,998+351=9431
535+900=5441,535+900=5341
768+513=1721,768+513=1821
925+167=2801,925+167=2901
425+651=6911,425+651=6701
556+786=2531,556+786=2431
626+430=6801,626+430=6501
806+978=4671,806+978=4871
109+924=3511,109+924=3301
595+921=6741,595+921=6151
984+629=3061,984+629=3161
404+815=8421,404+815=9121
743+853=6061,743+853=6951
789+597=6631,789+597=6831
376+767=3311,376+767=3411
943+780=2561,943+780=3271
732+336=8901,732+336=8601
859+717=6741,859+717=6751
950+494=4431,950+494=4441
873+788=1651,873+788=1661
758+944=2671,758+944=2071
798+986=4651,798+986=4871
973+474=7341,973+474=7441
996+599=5641,996+599=5951
742+525=7721,742+525=7621
297+750=7711,297+750=7401
321+774=5911,321+774=5901
996+146=211,996+146=2411
795+797=2551,795+797=2951
643+636=9821,643+636=9721
891+628=9741,891+628=9151
978+959=7581,978+959=7391
369+749=8021,369+749=8111
956+451=7331,956+451=7041
721+550=1421,721+550=1721
397+885=2531,397+885=2821
507+602=9511,507+602=9011
323+684=7111,323+684=7001
948+897=5671,948+897=5481
865+330=5811,865+330=5911
362+639=1011,362+639=1001
804+858=2561,804+858=2661
573+440=2101,573+440=3101
354+682=6311,354+682=6301
482+876=8241,482+876=8531
290+807=7311,290+807=7901
374+743=7021,374+743=7111
968+234=2111,968+234=2021
833+533=6831,833+533=6631
241+857=8811,241+857=8901
718+999=7861,718+999=7171
859+843=2561,859+843=2071
969+732=1751,969+732=1071
435+786=1421,435+786=1221
884+511=4731,884+511=5931
491+796=7531,491+796=7821
529+569=8611,529+569=8901
616+849=5051,616+849=5641
238+994=2421,238+994=2321
928+338=6321,928+338=6621
753+738=1051,753+738=1941
518+634=2611,518+634=2511
207+861=8711,207+861=8601
877+606=3741,877+606=3841
289+772=1811,289+772=1601
755+662=7341,755+662=7141
878+180=8701,878+180=8501
651+776=7341,651+776=7241
603+883=6451,603+883=6841
940+819=9761,940+819=9571
729+758=7641,729+758=7841
959+766=5361,959+766=5271
520+541=1701,520+541=1601
776+351=7311,776+351=7211
752+521=2721,752+521=3721
960+505=5541,960+505=5641
730+273=399,730+273=3001
591+911=2551,591+911=2051
985+372=7731,985+372=7531
828+721=9941,828+721=9451
698+566=4521,698+566=4621
111+912=3011,111+912=3201
425+779=4321,425+779=4021
591+452=3001,591+452=3401
640+853=3051,640+853=3941
647+876=3351,647+876=3251
492+929=1541,492+929=1241
705+857=2551,705+857=2651
177+827=4011,177+827=4001
944+927=1581,944+927=1781
862+454=6321,862+454=6131
242+969=101,242+969=1121
621+902=3551,621+902=3251
712+677=9731,712+677=9831
274+817=1011,274+817=1901
611+502=3511,611+502=3111
252+982=4421,252+982=4321
979+795=4561,979+795=4771
629+504=3611,629+504=3311
377+891=8731,377+891=8621
838+228=6011,838+228=6601
965+568=3451,965+568=3351
309+792=1611,309+792=1011
634+523=6711,634+523=7511
831+708=9741,831+708=9351
497+599=6611,497+599=6901
894+653=7351,894+653=7451
427+978=5341,427+978=5041
995+547=2551,995+547=2451
808+650=8441,808+650=8541
646+868=4351,646+868=4151
452+886=8241,452+886=8331
671+653=4031,671+653=4231
357+866=3131,357+866=3221
991+747=8561,991+747=8371
827+892=9761,827+892=9171
741+844=5061,741+844=5851
863+964=7571,863+964=7281
584+468=2401,584+468=2501
906+938=4671,906+938=4481
891+155=6101,891+155=6401
290+921=1131,290+921=1121
368+766=4321,368+766=4311
944+412=6431,944+412=6531
295+883=8521,295+883=8711
314+921=5431,314+921=5321
476+979=5351,476+979=5541
658+438=6011,658+438=6901
935+429=4731,935+429=4631
417+988=5351,417+988=5041
508+889=8441,508+889=7931
512+693=5421,512+693=5021
279+807=6711,279+807=6801
796+521=7721,796+521=7131
707+798=5741,707+798=5051
727+959=6661,727+959=6861
476+910=6741,476+910=6831
298+958=6621,298+958=6521
567+835=2931,567+835=2041
674+501=5511,674+501=5711
410+603=3501,410+603=3101
849+406=5621,849+406=5521
445+804=8431,445+804=9421
465+721=6711,465+721=6811
999+758=7661,999+758=7571
846+897=3671,846+897=3471
972+311=3911,972+311=3821
465+860=5041,465+860=5231
350+788=8321,350+788=8311
585+478=3411,585+478=3601
531+682=3321,531+682=3121
928+615=3641,928+615=3451
311+771=2901,311+771=2801
696+908=4741,696+908=4061
713+656=9341,713+656=9631
997+974=1681,997+974=1791
419+959=8841,419+959=8731
372+922=4831,372+922=4921
811+401=2911,811+401=2121
899+119=899,899+119=8101
694+500=4511,694+500=4911
859+567=6341,859+567=6241
529+922=1741,529+922=1541
855+651=6351,855+651=6051
331+734=5611,331+734=5601
394+953=7441,394+953=7431
740+804=4641,740+804=4451
748+477=5321,748+477=5221
695+917=2741,695+917=2161
623+525=8711,623+525=8411
713+349=1401,713+349=2601
921+634=5541,921+634=5551
598+826=4731,598+826=4241
694+682=6431,694+682=6731
999+724=3651,999+724=3271
984+172=6711,984+172=6511
716+943=9661,716+943=9561
413+696=9411,413+696=9011
971+778=9761,971+778=9471
396+836=2131,396+836=2321
293+916=9321,293+916=9021
751+427=8811,751+427=8711
402+951=2541,402+951=3531
756+970=6371,756+970=6271
817+608=5741,817+608=5241
930+255=5011,930+255=5811
994+900=4581,994+900=4981
818+474=2821,818+474=2921
929+882=1871,929+882=1181
878+937=5171,878+937=5181
927+408=5621,927+408=5331
286+773=9811,286+773=9501
704+323=6701,704+323=7201
994+960=4581,994+960=4591
840+273=3411,840+273=3111
