74236/75000
{'task': 'reversed_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.0, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 5000, 'eval_interval': 100, 'min_lr': 5e-05, 'max_lr': 0.0005, 'warmup_iters': 150, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 0, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': True, 'resample_data': True, 'name': 'reversed_addition_dollar_signs_true_0_resampled'}
$438+893=0331$,$438+893=1331$
$674+380=4401$,$674+380=4501$
$961+328=9921$,$961+328=9821$
$199+992=19111,$199+992=1911$
$728+893=0261$,$728+893=1261$
$548+893=0441$,$548+893=1441$
$294+897=19111,$294+897=1911$
$959+128=7901$,$959+128=7801$
$213+968=18111,$213+968=1811$
$258+933=19111,$258+933=1911$
$954+129=3901$,$954+129=3801$
$326+855=18111,$326+855=1811$
$316+865=18111,$316+865=1811$
$418+983=0041$,$418+983=1041$
$628+893=0251$,$628+893=1251$
$960+429=9931$,$960+429=9831$
$518+783=0031$,$518+783=1031$
$957+128=5901$,$957+128=5801$
$718+593=0131$,$718+593=1131$
$398+793=19111,$398+793=1911$
$658+993=0561$,$658+993=1561$
$609+592=0021$,$609+592=1021$
$718+983=0071$,$718+983=1071$
$966+329=5031$,$966+329=5921$
$468+593=0601$,$468+593=1601$
$256+935=19111,$256+935=1911$
$628+993=0261$,$628+993=1261$
$619+592=0121$,$619+592=1121$
$5+307=223$,$5+307=213$
$9+685=497$,$9+685=496$
$9+456=574$,$9+456=564$
$7+439=654$,$7+439=644$
$7+143=061$,$7+143=051$
$8+498=625$,$8+498=605$
$5+275=092$,$5+275=082$
$9+735=457$,$9+735=447$
$4+977=199$,$4+977=189$
$8+392=014$,$8+392=004$
$6+740=657$,$6+740=647$
$970+0=089$,$970+0=079$
$9+436=554$,$9+436=544$
$9+388=705$,$9+388=793$
$8+196=422$,$8+196=402$
$2+504=615$,$2+504=605$
$5+825=048$,$5+825=038$
$5+658=376$,$5+658=366$
$500+2=215$,$500+2=205$
$7+377=493$,$7+377=483$
$7+533=055$,$7+533=045$
$998+1=9001,$998+1=999$
$2+758=077$,$2+758=067$
$985+5=0001,$985+5=099$
$859+0=968$,$859+0=958$
$2+900=219$,$2+900=209$
$8+528=645$,$8+528=635$
$401+8=914$,$401+8=904$
$9+912=1101,$9+912=129$
$710+1=116$,$710+1=117$
$1+970=189$,$1+970=179$
$9+841=068$,$9+841=058$
$379+2=173$,$379+2=183$
$2+800=218$,$2+800=208$
$3+704=717$,$3+704=707$
$1+600=116$,$1+600=106$
$8+185=302$,$8+185=391$
$1+961=279$,$1+961=269$
$9+979=899$,$9+979=889$
$58+83=041$,$58+83=141$
$6+406=224$,$6+406=214$
$4+411=524$,$4+411=514$
$598+9=795$,$598+9=706$
$0+851=168$,$0+851=158$
