37404/50000
{'task': 'reversed_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_dollar_signs', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 4000, 'eval_interval': 100, 'min_lr': 6e-05, 'max_lr': 0.0006, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'seed': 1, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 50000, 'use_dollar_signs': True, 'name': 'reversed_addition_dollar_signs_true_1'}
$101+604=508$,$101+604=507$
$103+515=817$,$103+515=816$
$670+680=1531,$670+680=531$
$337+359=695$,$337+359=696$
$357+149=604$,$357+149=605$
$123+193=513$,$123+193=613$
$384+244=825$,$384+244=826$
$457+214=175$,$457+214=176$
$438+100=834$,$438+100=835$
$247+362=905$,$247+362=906$
$347+374=126$,$347+374=127$
$345+338=385$,$345+338=386$
$301+305=605$,$301+305=606$
$340+840=1811,$340+840=811$
$290+800=1901,$290+800=901$
$436+128=464$,$436+128=465$
$461+197=855$,$461+197=856$
$250+291=144$,$250+291=145$
$770+960=1471,$770+960=371$
$149+150=993$,$149+150=992$
$373+293=565$,$373+293=666$
$551+569=221$,$551+569=211$
$437+177=415$,$437+177=416$
$892+998=9781,$892+998=981$
$302+502=308$,$302+502=408$
$599+491=9111,$599+491=901$
$391+213=405$,$391+213=406$
$270+910=1811,$270+910=811$
$386+232=815$,$386+232=816$
$554+616=721$,$554+616=711$
$553+497=511$,$553+497=501$
$267+482=946$,$267+482=947$
$266+276=244$,$266+276=245$
$260+790=1501,$260+790=501$
$530+560=19$,$530+560=901$
$219+295=414$,$219+295=415$
$395+288=385$,$395+288=386$
$377+152=924$,$377+152=925$
$185+187=263$,$185+187=273$
$257+706=359$,$257+706=369$
$280+770=1501,$280+770=501$
$467+196=365$,$467+196=366$
$730+790=1251,$730+790=251$
$246+259=504$,$246+259=505$
$634+656=931$,$634+656=921$
$502+492=4901,$502+492=499$
$365+149=414$,$365+149=415$
$120+648=868$,$120+648=867$
$689+298=779$,$689+298=789$
$182+535=718$,$182+535=717$
$273+593=568$,$273+593=668$
$222+590=219$,$222+590=218$
$178+208=673$,$178+208=683$
$364+228=294$,$364+228=295$
$475+263=836$,$475+263=837$
$365+146=114$,$365+146=115$
$799+911=161$,$799+911=171$
$249+357=605$,$249+357=606$
$657+653=231$,$657+653=131$
$397+368=566$,$397+368=567$
$387+178=564$,$387+178=565$
$960+890=1681,$960+890=581$
$385+895=721$,$385+895=821$
$595+327=329$,$595+327=229$
$477+109=684$,$477+109=685$
$102+515=717$,$102+515=716$
$268+290=854$,$268+290=855$
$356+247=305$,$356+247=306$
$438+117=554$,$438+117=555$
$124+538=267$,$124+538=266$
$466+168=435$,$466+168=436$
$917+263=9111,$917+263=811$
$300+263=364$,$300+263=365$
$780+340=1211,$780+340=211$
$226+757=399$,$226+757=389$
$757+134=99$,$757+134=198$
$121+660=188$,$121+660=187$
$353+278=135$,$353+278=136$
$310+373=385$,$310+373=386$
$408+109=714$,$408+109=715$
$645+365=1101,$645+365=101$
$534+395=9201,$534+395=929$
$467+226=395$,$467+226=396$
$640+950=1951,$640+950=951$
$490+294=486$,$490+294=487$
$894+416=1131,$894+416=131$
$141+160=104$,$141+160=103$
$587+195=277$,$587+195=287$
$622+271=399$,$622+271=398$
$103+603=508$,$103+603=607$
$344+263=705$,$344+263=706$
$247+391=835$,$247+391=836$
$250+387=735$,$250+387=736$
$350+354=406$,$350+354=407$
$840+670=1251,$840+670=151$
$236+498=427$,$236+498=437$
$430+115=544$,$430+115=545$
$427+108=534$,$427+108=535$
$361+158=914$,$361+158=915$
$440+229=965$,$440+229=966$
$541+739=831$,$541+739=821$
$375+208=384$,$375+208=385$
$177+387=455$,$177+387=465$
$341+264=505$,$341+264=506$
$353+289=245$,$353+289=246$
$283+173=554$,$283+173=654$
$172+600=278$,$172+600=277$
$761+349=1111,$761+349=111$
$239+376=515$,$239+376=516$
$230+278=804$,$230+278=805$
$185+480=556$,$185+480=566$
$220+195=503$,$220+195=514$
