saved checkpoint at i=100, val_loss=1.86
saved checkpoint at i=200, val_loss=1.61
saved checkpoint at i=300, val_loss=1.54
saved checkpoint at i=400, val_loss=1.52
saved checkpoint at i=500, val_loss=1.50
saved checkpoint at i=600, val_loss=1.50
saved checkpoint at i=700, val_loss=1.47
saved checkpoint at i=800, val_loss=1.45
saved checkpoint at i=900, val_loss=1.43
saved checkpoint at i=1000, val_loss=1.41
saved checkpoint at i=1100, val_loss=1.40
saved checkpoint at i=1300, val_loss=1.39
saved checkpoint at i=1400, val_loss=1.39
saved checkpoint at i=1500, val_loss=1.38
saved checkpoint at i=1600, val_loss=1.36
saved checkpoint at i=1700, val_loss=1.31
saved checkpoint at i=1800, val_loss=1.18
saved checkpoint at i=1900, val_loss=1.14
saved checkpoint at i=2000, val_loss=1.12
saved checkpoint at i=2100, val_loss=1.12
saved checkpoint at i=2200, val_loss=1.11
saved checkpoint at i=2300, val_loss=1.09
saved checkpoint at i=2700, val_loss=1.09
saved checkpoint at i=2800, val_loss=1.08
saved checkpoint at i=2900, val_loss=1.08
