saved checkpoint at i=100, val_loss=2.15
saved checkpoint at i=200, val_loss=1.88
saved checkpoint at i=400, val_loss=1.77
saved checkpoint at i=500, val_loss=1.74
saved checkpoint at i=600, val_loss=1.73
saved checkpoint at i=700, val_loss=1.71
saved checkpoint at i=800, val_loss=1.66
saved checkpoint at i=900, val_loss=1.66
saved checkpoint at i=1000, val_loss=1.65
saved checkpoint at i=1100, val_loss=1.64
saved checkpoint at i=1200, val_loss=1.63
saved checkpoint at i=1300, val_loss=1.54
saved checkpoint at i=1400, val_loss=1.40
saved checkpoint at i=1500, val_loss=1.34
saved checkpoint at i=1600, val_loss=1.31
saved checkpoint at i=1800, val_loss=1.28
saved checkpoint at i=2000, val_loss=1.27
saved checkpoint at i=2200, val_loss=1.26
saved checkpoint at i=2300, val_loss=1.26
saved checkpoint at i=2400, val_loss=1.25
saved checkpoint at i=2600, val_loss=1.25
