saved checkpoint at i=100, val_loss=2.19
saved checkpoint at i=200, val_loss=1.90
saved checkpoint at i=300, val_loss=1.81
saved checkpoint at i=400, val_loss=1.77
saved checkpoint at i=500, val_loss=1.74
saved checkpoint at i=600, val_loss=1.72
saved checkpoint at i=700, val_loss=1.68
saved checkpoint at i=800, val_loss=1.68
saved checkpoint at i=900, val_loss=1.66
saved checkpoint at i=1000, val_loss=1.64
saved checkpoint at i=1100, val_loss=1.64
saved checkpoint at i=1200, val_loss=1.63
saved checkpoint at i=1300, val_loss=1.61
saved checkpoint at i=1400, val_loss=1.59
saved checkpoint at i=1500, val_loss=1.39
saved checkpoint at i=1600, val_loss=1.37
saved checkpoint at i=1700, val_loss=1.33
saved checkpoint at i=1800, val_loss=1.31
saved checkpoint at i=1900, val_loss=1.30
saved checkpoint at i=2100, val_loss=1.27
saved checkpoint at i=2200, val_loss=1.27
saved checkpoint at i=2300, val_loss=1.27
saved checkpoint at i=2400, val_loss=1.26
saved checkpoint at i=2600, val_loss=1.26
