saved checkpoint at i=100, val_loss=2.20
saved checkpoint at i=200, val_loss=1.89
saved checkpoint at i=300, val_loss=1.78
saved checkpoint at i=400, val_loss=1.76
saved checkpoint at i=500, val_loss=1.75
saved checkpoint at i=600, val_loss=1.73
saved checkpoint at i=700, val_loss=1.72
saved checkpoint at i=800, val_loss=1.68
saved checkpoint at i=900, val_loss=1.67
saved checkpoint at i=1000, val_loss=1.65
saved checkpoint at i=1200, val_loss=1.64
saved checkpoint at i=1400, val_loss=1.62
saved checkpoint at i=1500, val_loss=1.41
saved checkpoint at i=1600, val_loss=1.36
saved checkpoint at i=1700, val_loss=1.31
saved checkpoint at i=1900, val_loss=1.29
saved checkpoint at i=2100, val_loss=1.27
saved checkpoint at i=2200, val_loss=1.27
saved checkpoint at i=2300, val_loss=1.27
saved checkpoint at i=2500, val_loss=1.25
saved checkpoint at i=2600, val_loss=1.25
