saved checkpoint at i=100, val_loss=2.18
saved checkpoint at i=200, val_loss=1.89
saved checkpoint at i=300, val_loss=1.79
saved checkpoint at i=400, val_loss=1.76
saved checkpoint at i=500, val_loss=1.75
saved checkpoint at i=600, val_loss=1.74
saved checkpoint at i=700, val_loss=1.71
saved checkpoint at i=800, val_loss=1.68
saved checkpoint at i=900, val_loss=1.66
saved checkpoint at i=1000, val_loss=1.65
saved checkpoint at i=1100, val_loss=1.64
saved checkpoint at i=1200, val_loss=1.61
saved checkpoint at i=1300, val_loss=1.61
saved checkpoint at i=1400, val_loss=1.61
saved checkpoint at i=1500, val_loss=1.46
saved checkpoint at i=1600, val_loss=1.38
saved checkpoint at i=1700, val_loss=1.33
saved checkpoint at i=1800, val_loss=1.30
saved checkpoint at i=1900, val_loss=1.29
saved checkpoint at i=2000, val_loss=1.27
saved checkpoint at i=2100, val_loss=1.27
saved checkpoint at i=2200, val_loss=1.26
saved checkpoint at i=2300, val_loss=1.26
saved checkpoint at i=2700, val_loss=1.25
