saved checkpoint at i=100, val_loss=2.14
saved checkpoint at i=200, val_loss=1.85
saved checkpoint at i=300, val_loss=1.80
saved checkpoint at i=400, val_loss=1.77
saved checkpoint at i=500, val_loss=1.76
saved checkpoint at i=600, val_loss=1.75
saved checkpoint at i=700, val_loss=1.73
saved checkpoint at i=800, val_loss=1.71
saved checkpoint at i=900, val_loss=1.69
saved checkpoint at i=1000, val_loss=1.67
saved checkpoint at i=1100, val_loss=1.66
saved checkpoint at i=1200, val_loss=1.64
saved checkpoint at i=1300, val_loss=1.64
saved checkpoint at i=1600, val_loss=1.63
saved checkpoint at i=1700, val_loss=1.51
saved checkpoint at i=1800, val_loss=1.49
saved checkpoint at i=1900, val_loss=1.48
saved checkpoint at i=2000, val_loss=1.43
saved checkpoint at i=2100, val_loss=1.41
saved checkpoint at i=2200, val_loss=1.34
saved checkpoint at i=2400, val_loss=1.31
saved checkpoint at i=2500, val_loss=1.30
saved checkpoint at i=2600, val_loss=1.29
saved checkpoint at i=2700, val_loss=1.29
