63228/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.2, 'block_size': 1024, 'batch_size': 12, 'test_batch_size': 2048, 'max_iters': 6000, 'eval_interval': 100, 'min_lr': 0.0001, 'max_lr': 0.001, 'warmup_iters': 100, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 1, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': False, 'resample_data': True, 'name': 'plain_addition_dollar_signs_false_1_resampled'}
639+801=1430,639+801=1440
675+926=1501,675+926=1601
988+413=1301,988+413=1401
938+642=1570,938+642=1580
371+728=1199,371+728=1099
806+598=1304,806+598=1404
834+846=1670,834+846=1680
614+583=1297,614+583=1197
388+712=1000,388+712=1100
760+636=1496,760+636=1396
773+427=1100,773+427=1200
687+315=902,687+315=1002
978+925=1803,978+925=1903
322+975=1397,322+975=1297
907+995=1802,907+995=1902
733+347=1070,733+347=1080
909+696=1505,909+696=1605
781+719=1400,781+719=1500
965+538=1403,965+538=1503
813+323=1366,813+323=1136
940+660=1500,940+660=1600
732+868=1500,732+868=1600
937+653=1580,937+653=1590
795+508=1203,795+508=1303
486+914=1300,486+914=1400
903+198=1001,903+198=1101
621+878=1599,621+878=1499
814+585=1499,814+585=1399
804+897=1601,804+897=1701
825+955=1770,825+955=1780
787+318=1005,787+318=1105
208+882=1080,208+882=1090
860+849=1719,860+849=1709
685+315=990,685+315=1000
639+951=1580,639+951=1590
344+756=1000,344+756=1100
705+795=1400,705+795=1500
786+818=1504,786+818=1604
986+919=1805,986+919=1905
329+801=1120,329+801=1130
828+682=1500,828+682=1510
531+589=1110,531+589=1120
311+888=1299,311+888=1199
980+780=1750,980+780=1760
695+808=1403,695+808=1503
951+550=1401,951+550=1501
734+368=1002,734+368=1102
954+423=1367,954+423=1377
997+408=1305,997+408=1405
839+965=1704,839+965=1804
974+126=1000,974+126=1100
348+951=1399,348+951=1299
467+932=1499,467+932=1399
892+408=1200,892+408=1300
812+233=1455,812+233=1045
422+877=1399,422+877=1299
825+765=1580,825+765=1590
931+212=1433,931+212=1143
988+180=1158,988+180=1168
558+742=1200,558+742=1300
816+886=1602,816+886=1702
853+747=1590,853+747=1600
422+777=1299,422+777=1199
528+672=1100,528+672=1200
886+514=1300,886+514=1400
853+327=1170,853+327=1180
854+526=1370,854+526=1380
834+956=1780,834+956=1790
944+946=1880,944+946=1890
403+896=1399,403+896=1299
629+451=1070,629+451=1080
428+774=1102,428+774=1202
963+324=1277,963+324=1287
893+107=900,893+107=1000
124+976=1000,124+976=1100
960+955=1925,960+955=1915
297+706=903,297+706=1003
661+636=1397,661+636=1297
704+797=1401,704+797=1501
345+954=1399,345+954=1299
529+574=1003,529+574=1103
530+690=1210,530+690=1220
136+965=1001,136+965=1101
994+908=1802,994+908=1902
541+549=1080,541+549=1090
585+818=1303,585+818=1403
823+211=1344,823+211=1034
698+503=1101,698+503=1201
806+897=1603,806+897=1703
719+871=1580,719+871=1590
903+222=1255,903+222=1125
877+503=1370,877+503=1380
485+919=1304,485+919=1404
888+812=1600,888+812=1700
849+391=1230,849+391=1240
729+471=1100,729+471=1200
641+558=1299,641+558=1199
428+782=1200,428+782=1210
374+826=1100,374+826=1200
600+597=1297,600+597=1197
686+916=1502,686+916=1602
867+633=1400,867+633=1500
686+317=903,686+317=1003
699+305=904,699+305=1004
617+581=1298,617+581=1198
724+675=1499,724+675=1399
933+170=1003,933+170=1103
897+107=904,897+107=1004
629+611=1230,629+611=1240
830+210=1400,830+210=1040
510+885=1495,510+885=1395
191+908=1199,191+908=1099
931+100=1311,931+100=1031
354+647=901,354+647=1001
908+493=1301,908+493=1401
652+428=1070,652+428=1080
963+307=1260,963+307=1270
197+804=901,197+804=1001
932+322=1544,932+322=1254
257+942=1299,257+942=1199
921+121=1422,921+121=1042
697+904=1501,697+904=1601
953+549=1402,953+549=1502
939+266=1105,939+266=1205
360+954=1324,360+954=1314
903+322=1255,903+322=1225
897+704=1501,897+704=1601
129+971=1000,129+971=1100
710+302=1122,710+302=1012
386+919=1205,386+919=1305
460+769=1239,460+769=1229
754+646=1390,754+646=1400
977+528=1405,977+528=1505
340+959=1399,340+959=1299
678+722=1300,678+722=1400
454+747=1101,454+747=1201
323+975=1398,323+975=1298
693+808=1401,693+808=1501
808+792=1500,808+792=1600
645+455=1000,645+455=1100
822+888=1700,822+888=1710
708+592=1200,708+592=1300
572+526=1198,572+526=1098
869+140=1019,869+140=1009
175+927=1002,175+927=1102
934+946=1870,934+946=1880
