39936/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 4000, 'eval_interval': 100, 'min_lr': 6e-05, 'max_lr': 0.0006, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'seed': 3, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': False, 'resample_data': True, 'name': 'plain_addition_dollar_signs_false_3_resampled'}
51+217=166,51+217=268
28+252=108,28+252=280
51+933=157,51+933=984
336+63=499,336+63=399
68+607=137,68+607=675
10+269=107,10+269=279
43+934=157,43+934=977
39+955=159,39+955=994
41+132=107,41+132=173
802+37=938,802+37=839
71+908=108,71+908=979
871+19=880,871+19=890
71+791=117,71+791=862
477+99=676,477+99=576
24+668=129,24+668=692
236+86=223,236+86=322
82+229=101,82+229=311
83+705=119,83+705=788
97+324=102,97+324=421
14+294=100,14+294=308
53+826=157,53+826=879
888+73=951,888+73=961
598+72=671,598+72=670
823+49=961,823+49=872
101+84=275,101+84=185
91+673=116,91+673=764
61+357=102,61+357=418
959+35=103,959+35=994
36+400=154,36+400=436
87+500=119,87+500=587
65+109=107,65+109=174
19+871=139,19+871=890
82+544=142,82+544=626
20+882=100,20+882=902
62+881=114,62+881=943
66+888=125,66+888=954
19+530=134,19+530=549
935+53=104,935+53=988
70+208=108,70+208=278
23+832=135,23+832=855
51+303=105,51+303=354
15+414=102,15+414=429
82+850=113,82+850=932
45+423=105,45+423=468
69+557=122,69+557=626
69+811=108,69+811=880
66+596=127,66+596=662
86+126=101,86+126=212
108+82=281,108+82=190
47+295=105,47+295=342
13+772=178,13+772=785
48+930=157,48+930=978
188+21=219,188+21=209
305+57=352,305+57=362
91+495=108,91+495=586
32+811=104,32+811=843
11+151=155,11+151=162
485+58=544,485+58=543
65+232=100,65+232=297
41+295=103,41+295=336
46+647=128,46+647=693
602+72=774,602+72=674
521+56=677,521+56=577
43+515=135,43+515=558
25+945=157,25+945=970
832+34=966,832+34=866
116+76=103,116+76=192
35+494=132,35+494=529
11+809=131,11+809=820
86+519=100,86+519=605
74+317=108,74+317=391
58+821=157,58+821=879
30+747=187,30+747=777
37+502=153,37+502=539
83+717=110,83+717=800
50+874=112,50+874=924
665+74=740,665+74=739
69+431=129,69+431=500
778+64=832,778+64=842
656+89=755,656+89=745
97+509=150,97+509=606
14+537=135,14+537=551
58+442=120,58+442=500
509+51=550,509+51=560
568+70=648,568+70=638
74+487=107,74+487=561
27+439=167,27+439=466
89+606=150,89+606=695
54+757=121,54+757=811
88+773=165,88+773=861
27+860=138,27+860=887
293+40=433,293+40=333
211+78=389,211+78=289
930+67=103,930+67=997
845+28=973,845+28=873
914+81=985,914+81=995
493+62=654,493+62=555
102+89=281,102+89=191
88+456=144,88+456=544
737+75=802,737+75=812
14+593=100,14+593=607
782+27=819,782+27=809
756+60=103,756+60=816
19+842=176,19+842=861
18+967=157,18+967=985
217+89=396,217+89=306
732+41=763,732+41=773
430+80=529,430+80=510
35+336=127,35+336=371
24+436=156,24+436=460
484+19=516,484+19=503
54+581=123,54+581=635
493+93=686,493+93=586
388+81=479,388+81=469
88+752=114,88+752=840
433+86=629,433+86=519
16+528=134,16+528=544
55+767=152,55+767=822
33+937=157,33+937=970
487+76=564,487+76=563
32+749=138,32+749=781
324+33=457,324+33=357
331+50=471,331+50=381
569+94=653,569+94=663
90+328=102,90+328=418
96+231=102,96+231=327
92+882=107,92+882=974
567+89=646,567+89=656
292+57=144,292+57=349
630+95=655,630+95=725
67+826=159,67+826=893
23+299=102,23+299=322
645+73=728,645+73=718
584+51=634,584+51=635
20+237=155,20+237=257
33+752=138,33+752=785
43+623=136,43+623=666
72+594=116,72+594=666
84+375=105,84+375=459
123+81=203,123+81=204
85+444=131,85+444=529
67+388=125,67+388=455
43+386=122,43+386=429
289+90=389,289+90=379
31+960=109,31+960=991
84+808=110,84+808=892
673+34=706,673+34=707
45+217=107,45+217=262
26+464=129,26+464=490
56+939=158,56+939=995
522+18=530,522+18=540
64+188=105,64+188=252
77+543=112,77+543=620
223+54=477,223+54=277
20+975=109,20+975=995
964+33=102,964+33=997
192+26=124,192+26=218
802+60=952,802+60=862
589+26=625,589+26=615
49+398=103,49+398=447
14+574=128,14+574=588
43+930=157,43+930=973
28+461=128,28+461=489
824+49=962,824+49=873
50+173=122,50+173=223
325+40=465,325+40=365
25+725=135,25+725=750
729+32=751,729+32=761
82+290=107,82+290=372
68+374=124,68+374=442
35+936=157,35+936=971
35+644=157,35+644=679
811+93=924,811+93=904
144+19=253,144+19=163
455+99=544,455+99=554
59+130=108,59+130=189
15+287=100,15+287=302
21+555=177,21+555=576
59+239=108,59+239=298
72+658=113,72+658=730
74+164=103,74+164=238
21+854=197,21+854=875
80+728=111,80+728=808
179+20=208,179+20=199
41+590=133,41+590=631
61+327=108,61+327=388
18+743=166,18+743=761
21+923=104,21+923=944
551+37=578,551+37=588
495+64=570,495+64=559
10+817=132,10+817=827
395+19=415,395+19=414
541+20=562,541+20=561
96+733=162,96+733=829
74+120=100,74+120=194
295+70=375,295+70=365
244+38=272,244+38=282
408+90=598,408+90=498
81+348=102,81+348=429
66+230=100,66+230=296
325+88=423,325+88=413
29+166=129,29+166=195
882+97=107,882+97=979
90+868=115,90+868=958
27+283=101,27+283=310
592+97=679,592+97=689
35+623=145,35+623=658
899+98=987,899+98=997
244+64=208,244+64=308
89+524=102,89+524=613
77+782=115,77+782=859
249+37=296,249+37=286
46+687=133,46+687=733
48+496=125,48+496=544
58+249=100,58+249=307
46+568=121,46+568=614
18+122=133,18+122=140
43+106=104,43+106=149
92+886=107,92+886=978
28+134=156,28+134=162
91+842=103,91+842=933
491+92=693,491+92=583
818+83=801,818+83=901
28+785=131,28+785=813
857+39=996,857+39=896
64+213=107,64+213=277
84+442=102,84+442=526
17+210=122,17+210=227
920+26=104,920+26=946
54+813=156,54+813=867
34+732=136,34+732=766
293+82=274,293+82=375
29+522=135,29+522=551
12+268=127,12+268=280
37+655=129,37+655=692
784+37=811,784+37=821
16+860=177,16+860=876
21+490=101,21+490=511
411+76=577,411+76=487
86+580=117,86+580=666
38+536=127,38+536=574
187+98=275,187+98=285
30+305=103,30+305=335
442+24=566,442+24=466
35+373=120,35+373=408
451+88=549,451+88=539
94+527=152,94+527=621
92+779=177,92+779=871
56+757=152,56+757=813
764+15=879,764+15=779
87+891=118,87+891=978
57+186=154,57+186=243
15+137=155,15+137=152
67+275=124,67+275=342
92+619=101,92+619=711
911+18=949,911+18=929
64+475=124,64+475=539
63+414=127,63+414=477
798+14=712,798+14=812
533+85=628,533+85=618
61+293=105,61+293=354
80+418=100,80+418=498
614+17=641,614+17=631
55+785=154,55+785=840
164+99=254,164+99=263
500+98=588,500+98=598
670+39=658,670+39=709
144+69=203,144+69=213
737+86=824,737+86=823
386+11=307,386+11=397
26+248=167,26+248=274
394+13=417,394+13=407
782+38=810,782+38=820
65+786=155,65+786=851
61+363=122,61+363=424
62+684=154,62+684=746
14+616=132,14+616=630
576+10=576,576+10=586
667+33=600,667+33=700
604+11=624,604+11=615
90+169=105,90+169=259
78+490=117,78+490=568
33+545=127,33+545=578
764+64=829,764+64=828
34+221=104,34+221=255
98+808=120,98+808=906
45+761=130,45+761=806
461+47=518,461+47=508
418+55=573,418+55=473
72+603=147,72+603=675
92+618=100,92+618=710
25+840=146,25+840=865
764+37=800,764+37=801
466+76=102,466+76=542
54+243=109,54+243=297
14+219=122,14+219=233
185+99=275,185+99=284
55+449=120,55+449=504
59+242=109,59+242=301
676+78=755,676+78=754
29+892=152,29+892=921
441+31=462,441+31=472
722+64=876,722+64=786
77+400=128,77+400=477
904+80=108,904+80=984
207+97=394,207+97=304
151+23=175,151+23=174
17+388=100,17+388=405
704+97=881,704+97=801
190+66=145,190+66=256
227+38=375,227+38=265
58+216=107,58+216=274
410+56=576,410+56=466
78+122=100,78+122=200
174+16=271,174+16=190
567+42=509,567+42=609
13+109=112,13+109=122
93+259=105,93+259=352
18+370=138,18+370=388
66+444=121,66+444=510
98+320=102,98+320=418
71+538=101,71+538=609
19+613=133,19+613=632
68+399=107,68+399=467
72+529=131,72+529=601
538+78=626,538+78=616
756+42=708,756+42=798
68+599=157,68+599=667
27+302=103,27+302=329
12+670=128,12+670=682
64+226=109,64+226=290
297+70=377,297+70=367
50+931=157,50+931=981
71+676=114,71+676=747
83+346=122,83+346=429
18+789=122,18+789=807
334+45=478,334+45=379
88+766=125,88+766=854
89+582=117,89+582=671
84+784=117,84+784=868
16+665=167,16+665=681
22+522=154,22+522=544
12+717=112,12+717=729
640+79=629,640+79=719
811+62=863,811+62=873
663+58=720,663+58=721
606+90=796,606+90=696
18+423=144,18+423=441
79+665=113,79+665=744
89+541=113,89+541=630
87+104=109,87+104=191
735+45=870,735+45=780
17+202=102,17+202=219
825+77=992,825+77=902
14+166=177,14+166=180
47+629=137,47+629=676
801+14=825,801+14=815
17+228=133,17+228=245
16+689=120,16+689=705
137+44=261,137+44=181
679+90=778,679+90=769
33+284=101,33+284=317
705+91=895,705+91=796
924+52=103,924+52=976
79+856=112,79+856=935
296+82=278,296+82=378
19+423=144,19+423=442
84+542=112,84+542=626
674+95=860,674+95=769
75+604=118,75+604=679
372+19=471,372+19=391
37+730=136,37+730=767
