66069/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 4000, 'eval_interval': 100, 'min_lr': 6e-05, 'max_lr': 0.0006, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'seed': 2, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': True, 'resample_data': True, 'name': 'plain_addition_dollar_signs_true_2_resampled'}
$784+867=1641$,$784+867=1651$
$789+265=1044$,$789+265=1054$
$465+935=1300$,$465+935=1400$
$461+574=1135$,$461+574=1035$
$989+805=1894$,$989+805=1794$
$545+949=1594$,$545+949=1494$
$576+493=1169$,$576+493=1069$
$419+641=1050$,$419+641=1060$
$989+969=1948$,$989+969=1958$
$712+487=1299$,$712+487=1199$
$378+929=1207$,$378+929=1307$
$666+334=900$,$666+334=1000$
$567+507=1174$,$567+507=1074$
$451+582=1133$,$451+582=1033$
$673+528=1101$,$673+528=1201$
$552+940=1592$,$552+940=1492$
$523+519=1142$,$523+519=1042$
$653+608=1271$,$653+608=1261$
$686+767=1443$,$686+767=1453$
$505+571=1176$,$505+571=1076$
$843+756=1699$,$843+756=1599$
$547+744=1391$,$547+744=1291$
$819+541=1350$,$819+541=1360$
$510+884=1494$,$510+884=1394$
$904+365=1259$,$904+365=1269$
$664+836=1400$,$664+836=1500$
$575+520=1195$,$575+520=1095$
$551+642=1293$,$551+642=1193$
$509+588=1197$,$509+588=1097$
$789+364=1143$,$789+364=1153$
$939+451=1380$,$939+451=1390$
$654+406=1070$,$654+406=1060$
$526+509=1135$,$526+509=1035$
$513+980=1593$,$513+980=1493$
$541+852=1493$,$541+852=1393$
$789+212=901$,$789+212=1001$
$859+241=1090$,$859+241=1100$
$987+266=1243$,$987+266=1253$
$800+967=1757$,$800+967=1767$
$589+603=1292$,$589+603=1192$
$329+761=1080$,$329+761=1090$
$595+445=1140$,$595+445=1040$
$592+804=1496$,$592+804=1396$
$522+877=1499$,$522+877=1399$
$573+465=1138$,$573+465=1038$
$474+575=1149$,$474+575=1049$
$556+643=1299$,$556+643=1199$
$441+850=1391$,$441+850=1291$
$652+408=1070$,$652+408=1060$
$976+624=1500$,$976+624=1600$
$640+451=1191$,$640+451=1091$
$977+523=1400$,$977+523=1500$
$638+762=1300$,$638+762=1400$
$586+486=1172$,$586+486=1072$
$949+531=1470$,$949+531=1480$
$507+588=1195$,$507+588=1095$
$485+591=1176$,$485+591=1076$
$789+765=1544$,$789+765=1554$
$366+834=1100$,$366+834=1200$
$705+893=1588$,$705+893=1598$
$582+869=1441$,$582+869=1451$
$588+609=1297$,$588+609=1197$
$534+493=1127$,$534+493=1027$
$959+891=1840$,$959+891=1850$
$867+233=1000$,$867+233=1100$
$540+545=1185$,$540+545=1085$
$700+462=1152$,$700+462=1162$
$209+891=1000$,$209+891=1100$
$609+791=1300$,$609+791=1400$
$651+938=1599$,$651+938=1589$
$866+534=1300$,$866+534=1400$
$177+829=906$,$177+829=1006$
$545+534=1179$,$545+534=1079$
$546+470=1116$,$546+470=1016$
$689+409=1198$,$689+409=1098$
$739+601=1330$,$739+601=1340$
$447+644=1191$,$447+644=1091$
$615+484=1199$,$615+484=1099$
$465+562=1127$,$465+562=1027$
$515+523=1138$,$515+523=1038$
$585+768=1343$,$585+768=1353$
$996+404=1300$,$996+404=1400$
$529+544=1173$,$529+544=1073$
$580+514=1194$,$580+514=1094$
$566+505=1171$,$566+505=1071$
$982+468=1440$,$982+468=1450$
$527+524=1151$,$527+524=1051$
$788+506=1394$,$788+506=1294$
$743+959=1712$,$743+959=1702$
$654+507=1171$,$654+507=1161$
$949+781=1720$,$949+781=1730$
$564+485=1149$,$564+485=1049$
$701+861=1552$,$701+861=1562$
$988+565=1543$,$988+565=1553$
$887+468=1345$,$887+468=1355$
$394+707=1001$,$394+707=1101$
$281+919=1100$,$281+919=1200$
$534+523=1157$,$534+523=1057$
$613+484=1197$,$613+484=1097$
$642+455=1197$,$642+455=1097$
$877+423=1200$,$877+423=1300$
$999+681=1670$,$999+681=1680$
$979+826=1705$,$979+826=1805$
$778+227=905$,$778+227=1005$
$587+868=1445$,$587+868=1455$
$998+110=1008$,$998+110=1108$
$534+564=1198$,$534+564=1098$
$453+569=1122$,$453+569=1022$
$486+569=1045$,$486+569=1055$
$709+491=1100$,$709+491=1200$
$904+464=1358$,$904+464=1368$
$862+938=1700$,$862+938=1800$
$565+471=1136$,$565+471=1036$
$958+842=1700$,$958+842=1800$
$535+481=1116$,$535+481=1016$
$514+529=1143$,$514+529=1043$
$377+729=1006$,$377+729=1106$
$589+471=1150$,$589+471=1060$
$600+965=1555$,$600+965=1565$
$675+425=1000$,$675+425=1100$
$469+621=1080$,$469+621=1090$
$277+924=1101$,$277+924=1201$
$587+909=1596$,$587+909=1496$
$656+708=1374$,$656+708=1364$
$979+341=1310$,$979+341=1320$
$783+767=1540$,$783+767=1550$
$879+711=1580$,$879+711=1590$
$700+661=1351$,$700+661=1361$
$799+561=1350$,$799+561=1360$
$700+968=1658$,$700+968=1668$
$886+506=1492$,$886+506=1392$
$787+413=1100$,$787+413=1200$
$532+559=1191$,$532+559=1091$
$537+515=1152$,$537+515=1052$
$673+353=1016$,$673+353=1026$
$709+881=1580$,$709+881=1590$
$919+841=1750$,$919+841=1760$
$989+369=1348$,$989+369=1358$
$475+563=1138$,$475+563=1038$
$987+165=1142$,$987+165=1152$
$808+692=1400$,$808+692=1500$
$379+621=990$,$379+621=1000$
$527+555=1182$,$527+555=1082$
$564+493=1157$,$564+493=1057$
$552+521=1173$,$552+521=1073$
$976+828=1704$,$976+828=1804$
$598+471=1169$,$598+471=1069$
$901+964=1855$,$901+964=1865$
$546+481=1127$,$546+481=1027$
$548+800=1448$,$548+800=1348$
$929+281=1200$,$929+281=1210$
$564+454=1118$,$564+454=1018$
$276+926=1102$,$276+926=1202$
$245+937=1172$,$245+937=1182$
$563+495=1158$,$563+495=1058$
$966+334=1200$,$966+334=1300$
$534+503=1137$,$534+503=1037$
$708+353=1051$,$708+353=1061$
$849+251=1190$,$849+251=1100$
$883+868=1741$,$883+868=1751$
$718+662=1370$,$718+662=1380$
$949+301=1240$,$949+301=1250$
$705+355=1050$,$705+355=1060$
$888+564=1442$,$888+564=1452$
$862+164=1016$,$862+164=1026$
$541+558=1199$,$541+558=1099$
$278+928=1106$,$278+928=1206$
$586+508=1194$,$586+508=1094$
$619+968=1577$,$619+968=1587$
$775+426=1101$,$775+426=1201$
$886+469=1345$,$886+469=1355$
$670+330=900$,$670+330=1000$
$539+539=1178$,$539+539=1078$
$579+821=1300$,$579+821=1400$
$715+563=1268$,$715+563=1278$
$269+741=1000$,$269+741=1010$
$987+767=1744$,$987+767=1754$
$455+590=1145$,$455+590=1045$
$672+329=901$,$672+329=1001$
$556+605=1171$,$556+605=1161$
$604+495=1199$,$604+495=1099$
$563+469=1132$,$563+469=1032$
$557+705=1272$,$557+705=1262$
$566+453=1119$,$566+453=1019$
$986+868=1844$,$986+868=1854$
$598+421=1119$,$598+421=1019$
$825+575=1300$,$825+575=1400$
$996+304=1200$,$996+304=1300$
$555+502=1157$,$555+502=1057$
$986+222=1108$,$986+222=1208$
$572+502=1174$,$572+502=1074$
$841+854=1795$,$841+854=1695$
$719+951=1660$,$719+951=1670$
$963+637=1500$,$963+637=1600$
$669+331=990$,$669+331=1000$
$700+962=1652$,$700+962=1662$
$694+313=907$,$694+313=1007$
$552+840=1492$,$552+840=1392$
$987+506=1593$,$987+506=1493$
$319+861=1170$,$319+861=1180$
$869+311=1170$,$869+311=1180$
$721+679=1300$,$721+679=1400$
$587+511=1198$,$587+511=1098$
$972+331=1203$,$972+331=1303$
$693+399=1093$,$693+399=1092$
$504+577=1181$,$504+577=1081$
$236+964=1100$,$236+964=1200$
$589+907=1596$,$589+907=1496$
$493+605=1198$,$493+605=1098$
$944+159=1113$,$944+159=1103$
$589+505=1194$,$589+505=1094$
$452+583=1135$,$452+583=1035$
$249+951=1100$,$249+951=1200$
$766+834=1500$,$766+834=1600$
$749+301=1040$,$749+301=1050$
$544+540=1184$,$544+540=1084$
$787+466=1243$,$787+466=1253$
$789+462=1241$,$789+462=1251$
$555+522=1177$,$555+522=1077$
$525+553=1178$,$525+553=1078$
$574+492=1166$,$574+492=1066$
$837+263=1000$,$837+263=1100$
$769+741=1500$,$769+741=1510$
$861+739=1500$,$861+739=1600$
$897+103=900$,$897+103=1000$
$334+866=1100$,$334+866=1200$
$959+821=1770$,$959+821=1780$
$788+505=1393$,$788+505=1293$
$984+221=1105$,$984+221=1205$
$678+623=1201$,$678+623=1301$
$466+561=1127$,$466+561=1027$
$939+351=1280$,$939+351=1290$
$563+445=1108$,$563+445=1008$
$624+474=1198$,$624+474=1098$
$584+511=1195$,$584+511=1095$
$983+867=1840$,$983+867=1850$
$989+101=1080$,$989+101=1090$
$989+463=1442$,$989+463=1452$
$619+671=1280$,$619+671=1290$
$587+769=1346$,$587+769=1356$
$789+561=1340$,$789+561=1350$
$887+367=1244$,$887+367=1254$
$516+573=1189$,$516+573=1089$
$979+581=1550$,$979+581=1560$
$269+851=1110$,$269+851=1120$
$689+465=1144$,$689+465=1154$
$601+665=1256$,$601+665=1266$
$785+469=1244$,$785+469=1254$
$442+852=1394$,$442+852=1294$
$987+665=1642$,$987+665=1652$
$536+521=1157$,$536+521=1057$
$668+732=1300$,$668+732=1400$
$968+432=1300$,$968+432=1400$
$459+671=1120$,$459+671=1130$
$779+222=901$,$779+222=1001$
$554+494=1148$,$554+494=1048$
$379+827=1106$,$379+827=1206$
$653+509=1172$,$653+509=1162$
$885+465=1340$,$885+465=1350$
$556+543=1199$,$556+543=1099$
$963+240=1103$,$963+240=1203$
$954+247=1101$,$954+247=1201$
$769+351=1110$,$769+351=1120$
$939+921=1850$,$939+921=1860$
$859+861=1710$,$859+861=1720$
$885+609=1594$,$885+609=1494$
$349+761=1100$,$349+761=1110$
$719+341=1050$,$719+341=1060$
$542+469=1111$,$542+469=1011$
$487+608=1195$,$487+608=1095$
$966+238=1104$,$966+238=1204$
$556+519=1175$,$556+519=1075$
$784+816=1500$,$784+816=1600$
$889+566=1445$,$889+566=1455$
$547+507=1154$,$547+507=1054$
$799+261=1050$,$799+261=1060$
$949+561=1500$,$949+561=1510$
$565+835=1300$,$565+835=1400$
$919+651=1560$,$919+651=1570$
$275+933=1108$,$275+933=1208$
$307+946=1153$,$307+946=1253$
$536+553=1189$,$536+553=1089$
$954+645=1699$,$954+645=1599$
$517+496=1113$,$517+496=1013$
$927+276=1103$,$927+276=1203$
$516+488=1104$,$516+488=1004$
$555+495=1150$,$555+495=1050$
$139+911=1040$,$139+911=1050$
$514+498=1112$,$514+498=1012$
$845+254=1199$,$845+254=1099$
$526+545=1171$,$526+545=1071$
$774+627=1301$,$774+627=1401$
$976+727=1603$,$976+727=1703$
$901+961=1852$,$901+961=1862$
$699+301=990$,$699+301=1000$
$537+524=1161$,$537+524=1061$
$861+166=1017$,$861+166=1027$
$566+468=1134$,$566+468=1034$
$789+241=1020$,$789+241=1030$
$989+365=1344$,$989+365=1354$
$376+725=1001$,$376+725=1101$
$939+261=1190$,$939+261=1200$
$535+552=1187$,$535+552=1087$
$965+435=1300$,$965+435=1400$
$919+371=1280$,$919+371=1290$
$785+467=1242$,$785+467=1252$
$655+634=1299$,$655+634=1289$
$555+706=1271$,$555+706=1261$
$986+967=1943$,$986+967=1953$
$455+574=1129$,$455+574=1029$
$979+142=1111$,$979+142=1121$
$779+621=1390$,$779+621=1400$
$533+524=1157$,$533+524=1057$
$987+668=1645$,$987+668=1655$
$689+666=1345$,$689+666=1355$
$552+545=1197$,$552+545=1097$
$989+691=1670$,$989+691=1680$
$459+661=1110$,$459+661=1120$
$533+532=1165$,$533+532=1065$
$552+841=1493$,$552+841=1393$
$889+821=1700$,$889+821=1710$
$265+839=1004$,$265+839=1104$
$700+660=1350$,$700+660=1360$
$979+451=1420$,$979+451=1430$
$359+861=1210$,$359+861=1220$
$742+557=1399$,$742+557=1299$
$457+545=1102$,$457+545=1002$
$409+691=1000$,$409+691=1100$
$538+800=1438$,$538+800=1338$
$549+843=1492$,$549+843=1392$
$879+641=1510$,$879+641=1520$
$445+568=1113$,$445+568=1013$
$542+503=1145$,$542+503=1045$
$676+328=904$,$676+328=1004$
$511+987=1598$,$511+987=1498$
$602+963=1555$,$602+963=1565$
$539+529=1168$,$539+529=1068$
$988+506=1594$,$988+506=1494$
$461+575=1136$,$461+575=1036$
$569+502=1171$,$569+502=1071$
$869+151=1010$,$869+151=1020$
$849+601=1440$,$849+601=1450$
$491+590=1181$,$491+590=1081$
$855+607=1472$,$855+607=1462$
$973+132=1005$,$973+132=1105$
$799+431=1220$,$799+431=1230$
$569+651=1210$,$569+651=1220$
$679+828=1407$,$679+828=1507$
$457+806=1273$,$457+806=1263$
$900+162=1052$,$900+162=1062$
$709+861=1560$,$709+861=1570$
$703+564=1257$,$703+564=1267$
$699+441=1130$,$699+441=1140$
$269+791=1050$,$269+791=1060$
$363+938=1201$,$363+938=1301$
$534+526=1160$,$534+526=1060$
$554+475=1129$,$554+475=1029$
$488+762=1240$,$488+762=1250$
$511+784=1395$,$511+784=1295$
$573+521=1194$,$573+521=1094$
$949+821=1760$,$949+821=1770$
$787+865=1642$,$787+865=1652$
$843+656=1599$,$843+656=1499$
$729+411=1130$,$729+411=1140$
$905+962=1857$,$905+962=1867$
$543+462=1105$,$543+462=1005$
$559+803=1372$,$559+803=1362$
$445+588=1133$,$445+588=1033$
$789+365=1144$,$789+365=1154$
$879+422=1201$,$879+422=1301$
$533+503=1136$,$533+503=1036$
$819+761=1570$,$819+761=1580$
$308+968=1176$,$308+968=1276$
$735+965=1600$,$735+965=1700$
$688+964=1642$,$688+964=1652$
$866+834=1600$,$866+834=1700$
$889+609=1598$,$889+609=1498$
$185+917=1002$,$185+917=1102$
$309+691=990$,$309+691=1000$
$718+782=1400$,$718+782=1500$
$566+445=1111$,$566+445=1011$
$976+130=1006$,$976+130=1106$
$785+315=1000$,$785+315=1100$
$889+507=1496$,$889+507=1396$
$949+881=1820$,$949+881=1830$
$455+551=1106$,$455+551=1006$
$562+518=1180$,$562+518=1080$
$588+909=1597$,$588+909=1497$
$441+752=1293$,$441+752=1193$
$878+229=1007$,$878+229=1107$
$781+769=1540$,$781+769=1550$
$586+473=1159$,$586+473=1059$
$988+867=1845$,$988+867=1855$
$463+552=1115$,$463+552=1015$
$583+502=1185$,$583+502=1085$
$441+565=1106$,$441+565=1006$
$309+871=1170$,$309+871=1180$
$399+951=1340$,$399+951=1350$
$758+605=1373$,$758+605=1363$
$444+851=1395$,$444+851=1295$
$909+592=1401$,$909+592=1501$
$679+622=1201$,$679+622=1301$
$524+499=1123$,$524+499=1023$
$879+861=1730$,$879+861=1740$
$533+959=1592$,$533+959=1492$
$231+809=1030$,$231+809=1040$
$637+963=1500$,$637+963=1600$
$451+586=1137$,$451+586=1037$
$315+947=1162$,$315+947=1262$
$308+895=1103$,$308+895=1203$
$569+501=1170$,$569+501=1070$
$557+469=1126$,$557+469=1026$
$643+754=1497$,$643+754=1397$
$512+881=1493$,$512+881=1393$
$519+561=1070$,$519+561=1080$
$876+927=1703$,$876+927=1803$
$467+575=1142$,$467+575=1042$
$755+509=1274$,$755+509=1264$
$687+606=1393$,$687+606=1293$
$266+837=1003$,$266+837=1103$
$929+981=1900$,$929+981=1910$
$889+968=1847$,$889+968=1857$
$869+801=1660$,$869+801=1670$
$986+568=1544$,$986+568=1554$
$594+435=1129$,$594+435=1029$
$564+444=1108$,$564+444=1008$
$915+865=1770$,$915+865=1780$
$949+221=1160$,$949+221=1170$
$788+969=1747$,$788+969=1757$
$939+901=1830$,$939+901=1840$
$536+525=1161$,$536+525=1061$
$705+965=1660$,$705+965=1670$
$455+608=1073$,$455+608=1063$
$558+804=1372$,$558+804=1362$
$304+918=1122$,$304+918=1222$
$522+558=1180$,$522+558=1080$
$904+262=1156$,$904+262=1166$
$879+601=1470$,$879+601=1480$
$589+669=1248$,$589+669=1258$
$309+991=1200$,$309+991=1300$
$574+523=1197$,$574+523=1097$
$999+171=1160$,$999+171=1170$
$859+371=1220$,$859+371=1230$
$557+535=1192$,$557+535=1092$
$546+852=1498$,$546+852=1398$
$776+624=1300$,$776+624=1400$
$488+969=1447$,$488+969=1457$
$874+227=1001$,$874+227=1101$
$543+654=1297$,$543+654=1197$
$533+496=1129$,$533+496=1029$
$542+557=1199$,$542+557=1099$
$839+781=1610$,$839+781=1620$
$644+851=1595$,$644+851=1495$
$838+762=1500$,$838+762=1600$
$709+611=1310$,$709+611=1320$
$888+963=1841$,$888+963=1851$
$619+661=1270$,$619+661=1280$
$565+461=1126$,$565+461=1026$
$785+715=1400$,$785+715=1500$
$829+951=1770$,$829+951=1780$
$756+808=1574$,$756+808=1564$
$465+576=1141$,$465+576=1041$
$548+644=1292$,$548+644=1192$
$564+515=1179$,$564+515=1079$
$406+794=1100$,$406+794=1200$
$701+760=1451$,$701+760=1461$
$546+907=1463$,$546+907=1453$
$401+699=1000$,$401+699=1100$
$788+712=1400$,$788+712=1500$
$593+434=1127$,$593+434=1027$
$419+601=1010$,$419+601=1020$
$485+546=1131$,$485+546=1031$
$962+239=1101$,$962+239=1201$
$524+537=1161$,$524+537=1061$
$939+801=1730$,$939+801=1740$
$587+708=1395$,$587+708=1295$
$573+485=1158$,$573+485=1058$
$579+651=1220$,$579+651=1230$
$639+721=1350$,$639+721=1360$
$567+503=1170$,$567+503=1070$
$555+914=1479$,$555+914=1469$
$445+583=1128$,$445+583=1028$
$960+247=1107$,$960+247=1207$
$395+719=1014$,$395+719=1114$
$706+762=1458$,$706+762=1468$
$703+561=1254$,$703+561=1264$
$587+805=1492$,$587+805=1392$
$576+444=1120$,$576+444=1020$
$550+649=1299$,$550+649=1199$
$879+241=1110$,$879+241=1120$
$785+768=1543$,$785+768=1553$
$307+968=1175$,$307+968=1275$
$804+862=1656$,$804+862=1666$
$876+228=1004$,$876+228=1104$
$551+844=1495$,$551+844=1395$
$590+603=1293$,$590+603=1193$
$544+751=1395$,$544+751=1295$
$556+456=1112$,$556+456=1012$
$789+463=1242$,$789+463=1252$
$557+606=1173$,$557+606=1163$
$751+949=1600$,$751+949=1700$
$919+362=1271$,$919+362=1281$
$329+831=1150$,$329+831=1160$
$962+539=1401$,$962+539=1501$
$543+495=1138$,$543+495=1038$
$563+507=1170$,$563+507=1070$
$592+506=1198$,$592+506=1098$
$782+668=1440$,$782+668=1450$
$909+421=1320$,$909+421=1330$
$556+463=1119$,$556+463=1019$
$535+506=1141$,$535+506=1041$
$149+871=1010$,$149+871=1020$
$888+265=1143$,$888+265=1153$
$566+461=1127$,$566+461=1027$
$550+642=1292$,$550+642=1192$
$542+527=1169$,$542+527=1069$
$592+805=1497$,$592+805=1397$
$689+362=1041$,$689+362=1051$
$699+421=1110$,$699+421=1120$
$540+851=1491$,$540+851=1391$
$547+508=1155$,$547+508=1055$
$989+251=1230$,$989+251=1240$
$488+709=1297$,$488+709=1197$
$546+541=1187$,$546+541=1087$
$523+563=1186$,$523+563=1086$
$786+668=1444$,$786+668=1454$
$532+509=1141$,$532+509=1041$
$582+617=1299$,$582+617=1199$
$964+238=1102$,$964+238=1202$
