45260/75000
{'task': 'reversed_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 4000, 'eval_interval': 100, 'min_lr': 6e-05, 'max_lr': 0.0006, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'seed': 2, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': False, 'resample_data': True, 'name': 'reversed_addition_dollar_signs_false_2_resampled'}
275+961=6421,275+961=6321
607+710=7031,607+710=7131
798+983=1771,798+983=1871
265+871=6211,265+871=6311
126+995=131,126+995=1211
115+961=5611,115+961=6701
852+551=3931,852+551=3041
628+657=5721,628+657=5821
855+590=4441,855+590=5441
171+960=1411,171+960=1311
989+805=4871,989+805=4971
852+359=1221,852+359=1121
674+560=3421,674+560=4321
951+298=9321,951+298=9421
556+585=141,556+585=1411
818+423=1321,818+423=1421
664+660=3231,664+660=4231
959+595=4451,959+595=4551
767+849=6261,767+849=6161
957+396=3431,957+396=3531
306+776=2701,306+776=2801
784+819=3951,784+819=3061
363+670=2201,363+670=3301
866+168=4401,866+168=4301
799+672=1641,799+672=1741
806+572=7731,806+572=8731
480+889=9731,480+889=9631
920+206=6221,920+206=6211
932+151=3811,932+151=3801
756+778=4251,756+778=4351
950+249=9021,950+249=9911
758+774=2251,758+774=2351
648+626=4621,648+626=4721
688+989=7661,688+989=7761
827+205=1301,827+205=2301
624+970=3951,624+970=4951
973+492=5541,973+492=5641
869+984=3481,869+984=3581
753+810=3551,753+810=3651
523+560=2801,523+560=3801
707+415=111,707+415=2211
866+408=4621,866+408=4721
514+671=4811,514+671=5811
842+759=1951,842+759=1061
721+737=8441,721+737=8541
676+789=5541,676+789=5641
324+708=1401,324+708=2301
749+530=9821,749+530=9721
817+820=7261,817+820=7361
812+505=7231,812+505=7131
184+901=5701,184+901=5801
776+281=7401,776+281=7501
673+565=8421,673+565=8321
659+973=2261,659+973=2361
655+958=3171,655+958=3161
587+625=1121,587+625=2121
