31161/75000
{'task': 'reversed_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.2, 'block_size': 1024, 'batch_size': 12, 'test_batch_size': 2048, 'max_iters': 6000, 'eval_interval': 100, 'min_lr': 0.0001, 'max_lr': 0.001, 'warmup_iters': 100, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 3, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': False, 'resample_data': True, 'name': 'reversed_addition_dollar_signs_false_3_resampled'}
51+217=96,51+217=862
51+933=396,51+933=489
336+63=204,336+63=993
68+607=479,68+607=576
10+269=97,10+269=972
43+934=971,43+934=779
39+955=391,39+955=499
41+132=274,41+132=371
802+37=248,802+37=938
71+908=978,71+908=979
579+75=45,579+75=456
66+994=161,66+994=601
71+791=266,71+791=268
477+99=275,477+99=675
24+668=291,24+668=296
783+64=448,783+64=748
47+963=901,47+963=101
82+229=111,82+229=113
83+705=785,83+705=887
97+324=226,97+324=124
14+294=904,14+294=803
53+826=875,53+826=978
888+73=469,888+73=169
521+80=206,521+80=106
101+84=281,101+84=581
91+673=466,91+673=467
61+357=911,61+357=814
36+400=737,36+400=634
853+18=478,853+18=178
87+500=784,87+500=785
65+109=372,65+109=471
82+544=621,82+544=626
20+882=206,20+882=209
62+881=346,62+881=349
66+888=951,66+888=459
19+530=946,19+530=945
935+53=299,935+53=889
70+208=97,70+208=872
23+832=451,23+832=558
51+303=254,51+303=453
15+414=921,15+414=924
82+850=236,82+850=239
45+423=66,45+423=864
69+557=121,69+557=626
66+596=160,66+596=266
86+126=111,86+126=212
47+295=24,47+295=243
13+772=685,13+772=587
48+930=871,48+930=879
188+21=402,188+21=902
91+495=784,91+495=685
32+811=346,32+811=348
469+82=455,469+82=155
485+58=445,485+58=345
65+232=694,65+232=792
41+295=733,41+295=633
46+647=292,46+647=396
602+72=276,602+72=476
149+97=242,149+97=642
521+56=285,521+56=775
975+55=430,975+55=301
43+515=850,43+515=855
832+34=278,832+34=668
35+494=131,35+494=925
86+519=401,86+519=506
74+317=296,74+317=193
396+18=214,396+18=414
834+73=219,834+73=709
58+821=871,58+821=978
30+747=872,30+747=777
37+502=831,37+502=935
50+874=426,50+874=429
665+74=247,665+74=937
778+64=448,778+64=248
656+89=247,656+89=547
97+509=502,97+509=606
14+537=251,14+537=155
186+61=442,186+61=742
568+70=436,568+70=836
74+487=261,74+487=165
27+439=467,27+439=664
89+606=398,89+606=596
54+757=111,54+757=118
88+773=151,88+773=168
145+22=461,145+22=761
27+860=782,27+860=788
293+40=133,293+40=333
211+78=292,211+78=982
930+67=200,930+67=799
845+28=478,845+28=378
914+81=299,914+81=599
493+62=455,493+62=555
102+89=291,102+89=191
811+47=268,811+47=858
88+456=341,88+456=445
14+593=501,14+593=706
782+27=418,782+27=908
756+60=418,756+60=618
19+842=951,19+842=168
18+967=381,18+967=589
217+89=203,217+89=603
732+41=277,732+41=377
35+336=27,35+336=173
588+54=446,588+54=246
678+25=407,678+25=307
484+19=405,484+19=305
54+581=531,54+581=536
493+93=195,493+93=685
388+81=474,388+81=964
433+86=225,433+86=915
16+528=447,16+528=445
55+767=721,55+767=228
487+76=465,487+76=365
349+15=263,349+15=463
32+749=184,32+749=187
324+33=263,324+33=753
331+50=283,331+50=183
569+94=266,569+94=366
90+328=911,90+328=814
96+231=724,96+231=723
92+882=476,92+882=479
567+89=456,567+89=656
292+57=653,292+57=943
630+95=227,630+95=527
67+826=191,67+826=398
23+299=221,23+299=223
785+32=418,785+32=718
645+73=227,645+73=817
584+51=436,584+51=536
20+237=95,20+237=752
33+752=582,33+752=587
43+623=560,43+623=666
72+594=664,72+594=666
84+375=851,84+375=954
123+81=202,123+81=402
85+444=921,85+444=925
67+388=456,67+388=554
43+386=921,43+386=924
289+90=473,289+90=973
31+960=396,31+960=199
84+808=296,84+808=298
673+34=407,673+34=707
45+217=16,45+217=262
56+939=391,56+939=599
