"Step","clutrr_finetuning_encoder - val_accuracy","clutrr_finetuning_encoder - val_accuracy__MIN","clutrr_finetuning_encoder - val_accuracy__MAX","clutrr_finetuning_decoder - val_accuracy","clutrr_finetuning_decoder - val_accuracy__MIN","clutrr_finetuning_decoder - val_accuracy__MAX"
"50","0.15406460773872915","0.15406460773872915","0.15406460773872915","0.16045438409655663","0.16045438409655663","0.16045438409655663"
"100","0.24068157614483493","0.24068157614483493","0.24068157614483493","0.24494142705005326","0.24494142705005326","0.24494142705005326"
"150","0.3919062832800852","0.3919062832800852","0.3919062832800852","0.42137025204117856","0.42137025204117856","0.42137025204117856"
"200","0.5292864749733759","0.5292864749733759","0.5292864749733759","0.5335463258785943","0.5335463258785943","0.5335463258785943"
"250","0.6741214057507987","0.6741214057507987","0.6741214057507987","0.6751863684771033","0.6751863684771033","0.6751863684771033"
"300","0.7515086971955982","0.7515086971955982","0.7515086971955982","0.7231096911608094","0.7231096911608094","0.7231096911608094"
"350","0.8281860134895279","0.8281860134895279","0.8281860134895279","0.8416755413560525","0.8416755413560525","0.8416755413560525"
"400","0.8477103301384451","0.8477103301384451","0.8477103301384451","0.8541001064962727","0.8541001064962727","0.8541001064962727"
"450","0.8697195598154065","0.8697195598154065","0.8697195598154065","0.8718494852680156","0.8718494852680156","0.8718494852680156"
"500","0.868299609513667","0.868299609513667","0.868299609513667","0.8849840255591054","0.8849840255591054","0.8849840255591054"
"550","0.8761093361732339","0.8761093361732339","0.8761093361732339","0.883564075257366","0.883564075257366","0.883564075257366"
"600","0.88604898828541","0.88604898828541","0.88604898828541","0.9034433794817182","0.9034433794817182","0.9034433794817182"
"650","0.8945686900958466","0.8945686900958466","0.8945686900958466","0.9045083422080227","0.9045083422080227","0.9045083422080227"
"700","0.8956336528221512","0.8956336528221512","0.8956336528221512","0.9140930067447639","0.9140930067447639","0.9140930067447639"
"750","0.9105431309904153","0.9105431309904153","0.9105431309904153","0.9371671991480298","0.9371671991480298","0.9371671991480298"
"800","0.9336173233936812","0.9336173233936812","0.9336173233936812","0.9382321618743344","0.9382321618743344","0.9382321618743344"
"850","0.9389421370252041","0.9389421370252041","0.9389421370252041","0.9456869009584664","0.9456869009584664","0.9456869009584664"
"900","0.9446219382321619","0.9446219382321619","0.9446219382321619","0.9495917642882499","0.9495917642882499","0.9495917642882499"
"950","0.946751863684771","0.946751863684771","0.946751863684771","0.9524316648917288","0.9524316648917288","0.9524316648917288"
"1000","0.9588214412495563","0.9588214412495563","0.9588214412495563","0.9552715654952076","0.9552715654952076","0.9552715654952076"
"1050","0.9556265530706425","0.9556265530706425","0.9556265530706425","0.9527866524671637","0.9527866524671637","0.9527866524671637"
"1100","0.9616613418530351","0.9616613418530351","0.9616613418530351","0.9566915157969471","0.9566915157969471","0.9566915157969471"
"1150","0.9659211927582535","0.9659211927582535","0.9659211927582535","0.9623713170039049","0.9623713170039049","0.9623713170039049"
"1200","0.9652112176073837","0.9652112176073837","0.9652112176073837","0.9641462548810792","0.9641462548810792","0.9641462548810792"
"1250","0.9623713170039049","0.9623713170039049","0.9623713170039049","0.9616613418530351","0.9616613418530351","0.9616613418530351"
"1300","0.9623713170039049","0.9623713170039049","0.9623713170039049","0.9634362797302094","0.9634362797302094","0.9634362797302094"
"1350","0.9740859069932553","0.9740859069932553","0.9740859069932553","0.9684061057862975","0.9684061057862975","0.9684061057862975"
"1400","0.969471068512602","0.969471068512602","0.969471068512602","0.9627263045793397","0.9627263045793397","0.9627263045793397"
"1450","0.9687610933617323","0.9687610933617323","0.9687610933617323","0.9680511182108626","0.9680511182108626","0.9680511182108626"
"1500","0.9659211927582535","0.9659211927582535","0.9659211927582535","0.9634362797302094","0.9634362797302094","0.9634362797302094"
"1550","0.9673411430599929","0.9673411430599929","0.9673411430599929","0.9676961306354278","0.9676961306354278","0.9676961306354278"
"1600","0.9730209442669506","0.9730209442669506","0.9730209442669506","0.9588214412495563","0.9588214412495563","0.9588214412495563"
"1650","0.979765708200213","0.979765708200213","0.979765708200213","0.964501242456514","0.964501242456514","0.964501242456514"
"1700","0.9708910188143415","0.9708910188143415","0.9708910188143415","0.9708910188143415","0.9708910188143415","0.9708910188143415"
"1750","0.9794107206247782","0.9794107206247782","0.9794107206247782","0.9765708200212992","0.9765708200212992","0.9765708200212992"
"1800","0.9801206957756479","0.9801206957756479","0.9801206957756479","0.9684061057862975","0.9684061057862975","0.9684061057862975"
"1850","0.9779907703230387","0.9779907703230387","0.9779907703230387","0.9634362797302094","0.9634362797302094","0.9634362797302094"
"1900","0.9794107206247782","0.9794107206247782","0.9794107206247782","0.9691160809371672","0.9691160809371672","0.9691160809371672"
"1950","0.9659211927582535","0.9659211927582535","0.9659211927582535","0.9733759318423855","0.9733759318423855","0.9733759318423855"
"2000","0.9808306709265175","0.9808306709265175","0.9808306709265175","0.9687610933617323","0.9687610933617323","0.9687610933617323"
