"Step","clutrr_finetuning_7.5k_encoder - val_accuracy","clutrr_finetuning_7.5k_encoder - val_accuracy__MIN","clutrr_finetuning_7.5k_encoder - val_accuracy__MAX","clutrr_finetuning_7.5k_decoder - val_accuracy","clutrr_finetuning_7.5k_decoder - val_accuracy__MIN","clutrr_finetuning_7.5k_decoder - val_accuracy__MAX","clutrr_finetuning_5k_encoder - val_accuracy","clutrr_finetuning_5k_encoder - val_accuracy__MIN","clutrr_finetuning_5k_encoder - val_accuracy__MAX","clutrr_finetuning_5k_decoder - val_accuracy","clutrr_finetuning_5k_decoder - val_accuracy__MIN","clutrr_finetuning_5k_decoder - val_accuracy__MAX","clutrr_finetuning_2.5k_encoder - val_accuracy","clutrr_finetuning_2.5k_encoder - val_accuracy__MIN","clutrr_finetuning_2.5k_encoder - val_accuracy__MAX","clutrr_finetuning_2.5k_decoder - val_accuracy","clutrr_finetuning_2.5k_decoder - val_accuracy__MIN","clutrr_finetuning_2.5k_decoder - val_accuracy__MAX","clutrr_finetuning_10k_encoder - val_accuracy","clutrr_finetuning_10k_encoder - val_accuracy__MIN","clutrr_finetuning_10k_encoder - val_accuracy__MAX","clutrr_finetuning_10k_decoder - val_accuracy","clutrr_finetuning_10k_decoder - val_accuracy__MIN","clutrr_finetuning_10k_decoder - val_accuracy__MAX"
"50","0.1597444089456869","0.1597444089456869","0.1597444089456869","0.15299964501242458","0.15299964501242458","0.15299964501242458","0.154419595314164","0.154419595314164","0.154419595314164","0.1508697195598154","0.1508697195598154","0.1508697195598154","0.1395101171458999","0.1395101171458999","0.1395101171458999","0.14518991835285766","0.14518991835285766","0.14518991835285766","0.15406460773872915","0.15406460773872915","0.15406460773872915","0.1419950301739439","0.1419950301739439","0.1419950301739439"
"100","0.25275115370962015","0.25275115370962015","0.25275115370962015","0.2719204827831026","0.2719204827831026","0.2719204827831026","0.24245651402200924","0.24245651402200924","0.24245651402200924","0.2410365637202698","0.2410365637202698","0.2410365637202698","0.19737309194178204","0.19737309194178204","0.19737309194178204","0.21583244586439473","0.21583244586439473","0.21583244586439473","0.22790202342917998","0.22790202342917998","0.22790202342917998","0.2339368122115726","0.2339368122115726","0.2339368122115726"
"150","0.3031593894213703","0.3031593894213703","0.3031593894213703","0.3372381966631168","0.3372381966631168","0.3372381966631168","0.3599574014909478","0.3599574014909478","0.3599574014909478","0.3734469293574725","0.3734469293574725","0.3734469293574725","0.2623358182463614","0.2623358182463614","0.2623358182463614","0.30670926517571884","0.30670926517571884","0.30670926517571884","0.3787717429889954","0.3787717429889954","0.3787717429889954","0.3766418175363862","0.3766418175363862","0.3766418175363862"
"200","0.45154419595314166","0.45154419595314166","0.45154419595314166","0.4490592829250976","0.4490592829250976","0.4490592829250976","0.43734469293574724","0.43734469293574724","0.43734469293574724","0.40930067447639334","0.40930067447639334","0.40930067447639334","0.33155839545615906","0.33155839545615906","0.33155839545615906","0.33155839545615906","0.33155839545615906","0.33155839545615906","0.5307064252751154","0.5307064252751154","0.5307064252751154","0.514022009229677","0.514022009229677","0.514022009229677"
"250","0.5303514376996805","0.5303514376996805","0.5303514376996805","0.567270145544906","0.567270145544906","0.567270145544906","0.48313809016684417","0.48313809016684417","0.48313809016684417","0.5157969471068513","0.5157969471068513","0.5157969471068513","0.3599574014909478","0.3599574014909478","0.3599574014909478","0.3830315938942137","0.3830315938942137","0.3830315938942137","0.6425275115370962","0.6425275115370962","0.6425275115370962","0.6233581824636137","0.6233581824636137","0.6233581824636137"
"300","0.6091586794462194","0.6091586794462194","0.6091586794462194","0.6162584309549166","0.6162584309549166","0.6162584309549166","0.5679801206957756","0.5679801206957756","0.5679801206957756","0.6013489527866525","0.6013489527866525","0.6013489527866525","0.37131700390486333","0.37131700390486333","0.37131700390486333","0.40007099751508696","0.40007099751508696","0.40007099751508696","0.7355342563010294","0.7355342563010294","0.7355342563010294","0.7678381256656017","0.7678381256656017","0.7678381256656017"
"350","0.64572239971601","0.64572239971601","0.64572239971601","0.6648917287894923","0.6648917287894923","0.6648917287894923","0.5839545615903443","0.5839545615903443","0.5839545615903443","0.5977990770323038","0.5977990770323038","0.5977990770323038","0.39226127085552004","0.39226127085552004","0.39226127085552004","0.40042598509052185","0.40042598509052185","0.40042598509052185","0.8374156904508342","0.8374156904508342","0.8374156904508342","0.8324458643947462","0.8324458643947462","0.8324458643947462"
"400","0.6691515796947107","0.6691515796947107","0.6691515796947107","0.6815761448349308","0.6815761448349308","0.6815761448349308","0.6180333688320909","0.6180333688320909","0.6180333688320909","0.615193468228612","0.615193468228612","0.615193468228612","0.3972310969116081","0.3972310969116081","0.3972310969116081","0.4039758608448704","0.4039758608448704","0.4039758608448704","0.8491302804401846","0.8491302804401846","0.8491302804401846","0.8477103301384451","0.8477103301384451","0.8477103301384451"
"450","0.6787362442314518","0.6787362442314518","0.6787362442314518","0.6904508342208022","0.6904508342208022","0.6904508342208022","0.6364927227547036","0.6364927227547036","0.6364927227547036","0.6173233936812211","0.6173233936812211","0.6173233936812211","0.3933262335818246","0.3933262335818246","0.3933262335818246","0.42385516506922255","0.42385516506922255","0.42385516506922255","0.8633297834575789","0.8633297834575789","0.8633297834575789","0.8512602058927937","0.8512602058927937","0.8512602058927937"
"500","0.6872559460418886","0.6872559460418886","0.6872559460418886","0.6979055733049343","0.6979055733049343","0.6979055733049343","0.6521121760738374","0.6521121760738374","0.6521121760738374","0.64572239971601","0.64572239971601","0.64572239971601","0.40042598509052185","0.40042598509052185","0.40042598509052185","0.4185303514376997","0.4185303514376997","0.4185303514376997","0.8665246716364927","0.8665246716364927","0.8665246716364927","0.8661696840610579","0.8661696840610579","0.8661696840610579"
