"Step","clutrr_finetuning_7.5k_encoder_1 - val_accuracy","clutrr_finetuning_7.5k_encoder_1 - val_accuracy__MIN","clutrr_finetuning_7.5k_encoder_1 - val_accuracy__MAX","clutrr_finetuning_7.5k_encoder_0 - val_accuracy","clutrr_finetuning_7.5k_encoder_0 - val_accuracy__MIN","clutrr_finetuning_7.5k_encoder_0 - val_accuracy__MAX","clutrr_finetuning_7.5k_decoder_2 - val_accuracy","clutrr_finetuning_7.5k_decoder_2 - val_accuracy__MIN","clutrr_finetuning_7.5k_decoder_2 - val_accuracy__MAX","clutrr_finetuning_7.5k_decoder_1 - val_accuracy","clutrr_finetuning_7.5k_decoder_1 - val_accuracy__MIN","clutrr_finetuning_7.5k_decoder_1 - val_accuracy__MAX","clutrr_finetuning_7.5k_decoder_0 - val_accuracy","clutrr_finetuning_7.5k_decoder_0 - val_accuracy__MIN","clutrr_finetuning_7.5k_decoder_0 - val_accuracy__MAX","clutrr_finetuning_5k_encoder_2 - val_accuracy","clutrr_finetuning_5k_encoder_2 - val_accuracy__MIN","clutrr_finetuning_5k_encoder_2 - val_accuracy__MAX","clutrr_finetuning_5k_encoder_1 - val_accuracy","clutrr_finetuning_5k_encoder_1 - val_accuracy__MIN","clutrr_finetuning_5k_encoder_1 - val_accuracy__MAX","clutrr_finetuning_5k_encoder_0 - val_accuracy","clutrr_finetuning_5k_encoder_0 - val_accuracy__MIN","clutrr_finetuning_5k_encoder_0 - val_accuracy__MAX","clutrr_finetuning_5k_decoder_2 - val_accuracy","clutrr_finetuning_5k_decoder_2 - val_accuracy__MIN","clutrr_finetuning_5k_decoder_2 - val_accuracy__MAX","clutrr_finetuning_5k_decoder_1 - val_accuracy","clutrr_finetuning_5k_decoder_1 - val_accuracy__MIN","clutrr_finetuning_5k_decoder_1 - val_accuracy__MAX","clutrr_finetuning_5k_decoder_0 - val_accuracy","clutrr_finetuning_5k_decoder_0 - val_accuracy__MIN","clutrr_finetuning_5k_decoder_0 - val_accuracy__MAX","clutrr_finetuning_2.5k_encoder_2 - val_accuracy","clutrr_finetuning_2.5k_encoder_2 - val_accuracy__MIN","clutrr_finetuning_2.5k_encoder_2 - val_accuracy__MAX","clutrr_finetuning_2.5k_encoder_1 - val_accuracy","clutrr_finetuning_2.5k_encoder_1 - val_accuracy__MIN","clutrr_finetuning_2.5k_encoder_1 - val_accuracy__MAX","clutrr_finetuning_2.5k_encoder_0 - val_accuracy","clutrr_finetuning_2.5k_encoder_0 - val_accuracy__MIN","clutrr_finetuning_2.5k_encoder_0 - val_accuracy__MAX","clutrr_finetuning_2.5k_decoder_2 - val_accuracy","clutrr_finetuning_2.5k_decoder_2 - val_accuracy__MIN","clutrr_finetuning_2.5k_decoder_2 - val_accuracy__MAX","clutrr_finetuning_2.5k_decoder_1 - val_accuracy","clutrr_finetuning_2.5k_decoder_1 - val_accuracy__MIN","clutrr_finetuning_2.5k_decoder_1 - val_accuracy__MAX","clutrr_finetuning_2.5k_decoder_0 - val_accuracy","clutrr_finetuning_2.5k_decoder_0 - val_accuracy__MIN","clutrr_finetuning_2.5k_decoder_0 - val_accuracy__MAX","clutrr_finetuning_1.25k_encoder_2 - val_accuracy","clutrr_finetuning_1.25k_encoder_2 - val_accuracy__MIN","clutrr_finetuning_1.25k_encoder_2 - val_accuracy__MAX","clutrr_finetuning_1.25k_encoder_1 - val_accuracy","clutrr_finetuning_1.25k_encoder_1 - val_accuracy__MIN","clutrr_finetuning_1.25k_encoder_1 - val_accuracy__MAX","clutrr_finetuning_1.25k_encoder_0 - val_accuracy","clutrr_finetuning_1.25k_encoder_0 - val_accuracy__MIN","clutrr_finetuning_1.25k_encoder_0 - val_accuracy__MAX","clutrr_finetuning_1.25k_decoder_2 - val_accuracy","clutrr_finetuning_1.25k_decoder_2 - val_accuracy__MIN","clutrr_finetuning_1.25k_decoder_2 - val_accuracy__MAX","clutrr_finetuning_1.25k_decoder_1 - val_accuracy","clutrr_finetuning_1.25k_decoder_1 - val_accuracy__MIN","clutrr_finetuning_1.25k_decoder_1 - val_accuracy__MAX","clutrr_finetuning_1.25k_decoder_0 - val_accuracy","clutrr_finetuning_1.25k_decoder_0 - val_accuracy__MIN","clutrr_finetuning_1.25k_decoder_0 - val_accuracy__MAX","clutrr_finetuning_10k_encoder_2 - val_accuracy","clutrr_finetuning_10k_encoder_2 - val_accuracy__MIN","clutrr_finetuning_10k_encoder_2 - val_accuracy__MAX","clutrr_finetuning_10k_encoder_1 - val_accuracy","clutrr_finetuning_10k_encoder_1 - val_accuracy__MIN","clutrr_finetuning_10k_encoder_1 - val_accuracy__MAX","clutrr_finetuning_10k_encoder_0 - val_accuracy","clutrr_finetuning_10k_encoder_0 - val_accuracy__MIN","clutrr_finetuning_10k_encoder_0 - val_accuracy__MAX","clutrr_finetuning_10k_decoder_2 - val_accuracy","clutrr_finetuning_10k_decoder_2 - val_accuracy__MIN","clutrr_finetuning_10k_decoder_2 - val_accuracy__MAX","clutrr_finetuning_10k_decoder_1 - val_accuracy","clutrr_finetuning_10k_decoder_1 - val_accuracy__MIN","clutrr_finetuning_10k_decoder_1 - val_accuracy__MAX","clutrr_finetuning_10k_decoder_0 - val_accuracy","clutrr_finetuning_10k_decoder_0 - val_accuracy__MIN","clutrr_finetuning_10k_decoder_0 - val_accuracy__MAX"
"50","0.1686190983315584","0.1686190983315584","0.1686190983315584","0.1597444089456869","0.1597444089456869","0.1597444089456869","0.13738019169329074","0.13738019169329074","0.13738019169329074","0.14980475683351083","0.14980475683351083","0.14980475683351083","0.15299964501242458","0.15299964501242458","0.15299964501242458","0.14447994320198793","0.14447994320198793","0.14447994320198793","0.16080937167199147","0.16080937167199147","0.16080937167199147","0.154419595314164","0.154419595314164","0.154419595314164","0.14341498047568335","0.14341498047568335","0.14341498047568335","0.16293929712460065","0.16293929712460065","0.16293929712460065","0.1508697195598154","0.1508697195598154","0.1508697195598154","0.1402200922967696","0.1402200922967696","0.1402200922967696","0.1299254526091587","0.1299254526091587","0.1299254526091587","0.1395101171458999","0.1395101171458999","0.1395101171458999","0.14447994320198793","0.14447994320198793","0.14447994320198793","0.13915512957046502","0.13915512957046502","0.13915512957046502","0.14518991835285766","0.14518991835285766","0.14518991835285766","0.15725949591764288","0.15725949591764288","0.15725949591764288","0.13205537806176784","0.13205537806176784","0.13205537806176784","0.14767483138090168","0.14767483138090168","0.14767483138090168","0.156904508342208","0.156904508342208","0.156904508342208","0.14909478168264112","0.14909478168264112","0.14909478168264112","0.15193468228611998","0.15193468228611998","0.15193468228611998","0.16009939652112176","0.16009939652112176","0.16009939652112176","0.16719914802981894","0.16719914802981894","0.16719914802981894","0.15406460773872915","0.15406460773872915","0.15406460773872915","0.1554845580404686","0.1554845580404686","0.1554845580404686","0.16364927227547035","0.16364927227547035","0.16364927227547035","0.1419950301739439","0.1419950301739439","0.1419950301739439"
"100","0.22612708555200567","0.22612708555200567","0.22612708555200567","0.25275115370962015","0.25275115370962015","0.25275115370962015","0.2374866879659212","0.2374866879659212","0.2374866879659212","0.26198083067092653","0.26198083067092653","0.26198083067092653","0.2719204827831026","0.2719204827831026","0.2719204827831026","0.2073127440539581","0.2073127440539581","0.2073127440539581","0.22541711040113596","0.22541711040113596","0.22541711040113596","0.24245651402200924","0.24245651402200924","0.24245651402200924","0.2548810791622293","0.2548810791622293","0.2548810791622293","0.2417465388711395","0.2417465388711395","0.2417465388711395","0.2410365637202698","0.2410365637202698","0.2410365637202698","0.20305289314873978","0.20305289314873978","0.20305289314873978","0.17181398651047214","0.17181398651047214","0.17181398651047214","0.19737309194178204","0.19737309194178204","0.19737309194178204","0.22293219737309194","0.22293219737309194","0.22293219737309194","0.19914802981895632","0.19914802981895632","0.19914802981895632","0.21583244586439473","0.21583244586439473","0.21583244586439473","0.20163294284700037","0.20163294284700037","0.20163294284700037","0.20234291799787008","0.20234291799787008","0.20234291799787008","0.21512247071352503","0.21512247071352503","0.21512247071352503","0.2222222222222222","0.2222222222222222","0.2222222222222222","0.24139155129570464","0.24139155129570464","0.24139155129570464","0.22932197373091942","0.22932197373091942","0.22932197373091942","0.2452964146254881","0.2452964146254881","0.2452964146254881","0.22186723464678737","0.22186723464678737","0.22186723464678737","0.22790202342917998","0.22790202342917998","0.22790202342917998","0.2538161164359247","0.2538161164359247","0.2538161164359247","0.24849130280440185","0.24849130280440185","0.24849130280440185","0.2339368122115726","0.2339368122115726","0.2339368122115726"
"150","0.3510827121050763","0.3510827121050763","0.3510827121050763","0.3031593894213703","0.3031593894213703","0.3031593894213703","0.3539226127085552","0.3539226127085552","0.3539226127085552","0.35498757543485976","0.35498757543485976","0.35498757543485976","0.3372381966631168","0.3372381966631168","0.3372381966631168","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3272985445509407","0.3272985445509407","0.3272985445509407","0.3599574014909478","0.3599574014909478","0.3599574014909478","0.344337948171814","0.344337948171814","0.344337948171814","0.3390131345402911","0.3390131345402911","0.3390131345402911","0.3734469293574725","0.3734469293574725","0.3734469293574725","0.30990415335463256","0.30990415335463256","0.30990415335463256","0.28895988640397585","0.28895988640397585","0.28895988640397585","0.2623358182463614","0.2623358182463614","0.2623358182463614","0.29250976215832447","0.29250976215832447","0.29250976215832447","0.2988995385161519","0.2988995385161519","0.2988995385161519","0.30670926517571884","0.30670926517571884","0.30670926517571884","0.3017394391196308","0.3017394391196308","0.3017394391196308","0.30244941427050054","0.30244941427050054","0.30244941427050054","0.3081292154774583","0.3081292154774583","0.3081292154774583","0.31167909123180687","0.31167909123180687","0.31167909123180687","0.3003194888178914","0.3003194888178914","0.3003194888178914","0.3134540291089812","0.3134540291089812","0.3134540291089812","0.3780617678381257","0.3780617678381257","0.3780617678381257","0.34611288604898827","0.34611288604898827","0.34611288604898827","0.3787717429889954","0.3787717429889954","0.3787717429889954","0.41072062477813276","0.41072062477813276","0.41072062477813276","0.38622648207312743","0.38622648207312743","0.38622648207312743","0.3766418175363862","0.3766418175363862","0.3766418175363862"
"200","0.44799432019879304","0.44799432019879304","0.44799432019879304","0.45154419595314166","0.45154419595314166","0.45154419595314166","0.45864394746183884","0.45864394746183884","0.45864394746183884","0.46183883564075257","0.46183883564075257","0.46183883564075257","0.4490592829250976","0.4490592829250976","0.4490592829250976","0.4323748668796592","0.4323748668796592","0.4323748668796592","0.4220802271920483","0.4220802271920483","0.4220802271920483","0.43734469293574724","0.43734469293574724","0.43734469293574724","0.44089456869009586","0.44089456869009586","0.44089456869009586","0.4263400780972666","0.4263400780972666","0.4263400780972666","0.40930067447639334","0.40930067447639334","0.40930067447639334","0.33262335818246364","0.33262335818246364","0.33262335818246364","0.3436279730209443","0.3436279730209443","0.3436279730209443","0.33155839545615906","0.33155839545615906","0.33155839545615906","0.3347532836350728","0.3347532836350728","0.3347532836350728","0.362087326943557","0.362087326943557","0.362087326943557","0.33155839545615906","0.33155839545615906","0.33155839545615906","0.32694355697550587","0.32694355697550587","0.32694355697550587","0.34149804756833513","0.34149804756833513","0.34149804756833513","0.3226837060702875","0.3226837060702875","0.3226837060702875","0.3635072772452964","0.3635072772452964","0.3635072772452964","0.3514376996805112","0.3514376996805112","0.3514376996805112","0.3585374511892084","0.3585374511892084","0.3585374511892084","0.5186368477103301","0.5186368477103301","0.5186368477103301","0.4923677671281505","0.4923677671281505","0.4923677671281505","0.5307064252751154","0.5307064252751154","0.5307064252751154","0.46219382321618746","0.46219382321618746","0.46219382321618746","0.47994320198793045","0.47994320198793045","0.47994320198793045","0.514022009229677","0.514022009229677","0.514022009229677"
"250","0.5260915867944622","0.5260915867944622","0.5260915867944622","0.5303514376996805","0.5303514376996805","0.5303514376996805","0.5630102946396877","0.5630102946396877","0.5630102946396877","0.5715299964501243","0.5715299964501243","0.5715299964501243","0.567270145544906","0.567270145544906","0.567270145544906","0.49307774227902024","0.49307774227902024","0.49307774227902024","0.49378771742988997","0.49378771742988997","0.49378771742988997","0.48313809016684417","0.48313809016684417","0.48313809016684417","0.5133120340788072","0.5133120340788072","0.5133120340788072","0.5069222577209798","0.5069222577209798","0.5069222577209798","0.5157969471068513","0.5157969471068513","0.5157969471068513","0.3457578984735534","0.3457578984735534","0.3457578984735534","0.3844515441959531","0.3844515441959531","0.3844515441959531","0.3599574014909478","0.3599574014909478","0.3599574014909478","0.3904863329783458","0.3904863329783458","0.3904863329783458","0.3840965566205183","0.3840965566205183","0.3840965566205183","0.3830315938942137","0.3830315938942137","0.3830315938942137","0.36705715299964503","0.36705715299964503","0.36705715299964503","0.3599574014909478","0.3599574014909478","0.3599574014909478","0.35498757543485976","0.35498757543485976","0.35498757543485976","0.3606673766418175","0.3606673766418175","0.3606673766418175","0.38054668086616966","0.38054668086616966","0.38054668086616966","0.3759318423855165","0.3759318423855165","0.3759318423855165","0.640397586084487","0.640397586084487","0.640397586084487","0.5899893503727369","0.5899893503727369","0.5899893503727369","0.6425275115370962","0.6425275115370962","0.6425275115370962","0.6031238906638268","0.6031238906638268","0.6031238906638268","0.5878594249201278","0.5878594249201278","0.5878594249201278","0.6233581824636137","0.6233581824636137","0.6233581824636137"
"300","0.6017039403620873","0.6017039403620873","0.6017039403620873","0.6091586794462194","0.6091586794462194","0.6091586794462194","0.6066737664181754","0.6066737664181754","0.6066737664181754","0.6215832445864394","0.6215832445864394","0.6215832445864394","0.6162584309549166","0.6162584309549166","0.6162584309549166","0.5420660276890309","0.5420660276890309","0.5420660276890309","0.5221867234646788","0.5221867234646788","0.5221867234646788","0.5679801206957756","0.5679801206957756","0.5679801206957756","0.5843095491657792","0.5843095491657792","0.5843095491657792","0.559460418885339","0.559460418885339","0.559460418885339","0.6013489527866525","0.6013489527866525","0.6013489527866525","0.3698970536031239","0.3698970536031239","0.3698970536031239","0.3798367057153","0.3798367057153","0.3798367057153","0.37131700390486333","0.37131700390486333","0.37131700390486333","0.39829605963791265","0.39829605963791265","0.39829605963791265","0.4068157614483493","0.4068157614483493","0.4068157614483493","0.40007099751508696","0.40007099751508696","0.40007099751508696","0.3887113951011715","0.3887113951011715","0.3887113951011715","0.387291444799432","0.387291444799432","0.387291444799432","0.3965211217607384","0.3965211217607384","0.3965211217607384","0.37557685481008163","0.37557685481008163","0.37557685481008163","0.3936812211572595","0.3936812211572595","0.3936812211572595","0.40042598509052185","0.40042598509052185","0.40042598509052185","0.729144479943202","0.729144479943202","0.729144479943202","0.736599219027334","0.736599219027334","0.736599219027334","0.7355342563010294","0.7355342563010294","0.7355342563010294","0.7277245296414625","0.7277245296414625","0.7277245296414625","0.729144479943202","0.729144479943202","0.729144479943202","0.7678381256656017","0.7678381256656017","0.7678381256656017"
"350","0.6315228966986155","0.6315228966986155","0.6315228966986155","0.64572239971601","0.64572239971601","0.64572239971601","0.6641817536386226","0.6641817536386226","0.6641817536386226","0.6414625488107917","0.6414625488107917","0.6414625488107917","0.6648917287894923","0.6648917287894923","0.6648917287894923","0.5889243876464324","0.5889243876464324","0.5889243876464324","0.5899893503727369","0.5899893503727369","0.5899893503727369","0.5839545615903443","0.5839545615903443","0.5839545615903443","0.6066737664181754","0.6066737664181754","0.6066737664181754","0.6095136670216542","0.6095136670216542","0.6095136670216542","0.5977990770323038","0.5977990770323038","0.5977990770323038","0.38232161874334397","0.38232161874334397","0.38232161874334397","0.4068157614483493","0.4068157614483493","0.4068157614483493","0.39226127085552004","0.39226127085552004","0.39226127085552004","0.4110756123535676","0.4110756123535676","0.4110756123535676","0.4128505502307419","0.4128505502307419","0.4128505502307419","0.40042598509052185","0.40042598509052185","0.40042598509052185","0.3936812211572595","0.3936812211572595","0.3936812211572595","0.38693645722399717","0.38693645722399717","0.38693645722399717","0.40468583599574015","0.40468583599574015","0.40468583599574015","0.4014909478168264","0.4014909478168264","0.4014909478168264","0.3929712460063898","0.3929712460063898","0.3929712460063898","0.4022009229676961","0.4022009229676961","0.4022009229676961","0.8171813986510472","0.8171813986510472","0.8171813986510472","0.7990770323038694","0.7990770323038694","0.7990770323038694","0.8374156904508342","0.8374156904508342","0.8374156904508342","0.8065317713880015","0.8065317713880015","0.8065317713880015","0.8260560880369187","0.8260560880369187","0.8260560880369187","0.8324458643947462","0.8324458643947462","0.8324458643947462"
"400","0.6574369897053604","0.6574369897053604","0.6574369897053604","0.6691515796947107","0.6691515796947107","0.6691515796947107","0.6925807596734115","0.6925807596734115","0.6925807596734115","0.6656017039403621","0.6656017039403621","0.6656017039403621","0.6815761448349308","0.6815761448349308","0.6815761448349308","0.6222932197373092","0.6222932197373092","0.6222932197373092","0.6112886048988285","0.6112886048988285","0.6112886048988285","0.6180333688320909","0.6180333688320909","0.6180333688320909","0.6198083067092651","0.6198083067092651","0.6198083067092651","0.5942492012779552","0.5942492012779552","0.5942492012779552","0.615193468228612","0.615193468228612","0.615193468228612","0.3954561590344338","0.3954561590344338","0.3954561590344338","0.410010649627263","0.410010649627263","0.410010649627263","0.3972310969116081","0.3972310969116081","0.3972310969116081","0.41356052538161164","0.41356052538161164","0.41356052538161164","0.41995030173943915","0.41995030173943915","0.41995030173943915","0.4039758608448704","0.4039758608448704","0.4039758608448704","0.4039758608448704","0.4039758608448704","0.4039758608448704","0.4014909478168264","0.4014909478168264","0.4014909478168264","0.40291089811856584","0.40291089811856584","0.40291089811856584","0.40113596024139153","0.40113596024139153","0.40113596024139153","0.3990060347887824","0.3990060347887824","0.3990060347887824","0.4164004259850905","0.4164004259850905","0.4164004259850905","0.84806531771388","0.84806531771388","0.84806531771388","0.8636847710330139","0.8636847710330139","0.8636847710330139","0.8491302804401846","0.8491302804401846","0.8491302804401846","0.8459353922612709","0.8459353922612709","0.8459353922612709","0.850550230741924","0.850550230741924","0.850550230741924","0.8477103301384451","0.8477103301384451","0.8477103301384451"
"450","0.6964856230031949","0.6964856230031949","0.6964856230031949","0.6787362442314518","0.6787362442314518","0.6787362442314518","0.6947106851260206","0.6947106851260206","0.6947106851260206","0.6925807596734115","0.6925807596734115","0.6925807596734115","0.6904508342208022","0.6904508342208022","0.6904508342208022","0.6393326233581824","0.6393326233581824","0.6393326233581824","0.635427760028399","0.635427760028399","0.635427760028399","0.6364927227547036","0.6364927227547036","0.6364927227547036","0.6325878594249201","0.6325878594249201","0.6325878594249201","0.6205182818601349","0.6205182818601349","0.6205182818601349","0.6173233936812211","0.6173233936812211","0.6173233936812211","0.420305289314874","0.420305289314874","0.420305289314874","0.4043308484203053","0.4043308484203053","0.4043308484203053","0.3933262335818246","0.3933262335818246","0.3933262335818246","0.41959531416400425","0.41959531416400425","0.41959531416400425","0.4192403265885694","0.4192403265885694","0.4192403265885694","0.42385516506922255","0.42385516506922255","0.42385516506922255","0.4036208732694356","0.4036208732694356","0.4036208732694356","0.3997160099396521","0.3997160099396521","0.3997160099396521","0.3972310969116081","0.3972310969116081","0.3972310969116081","0.40113596024139153","0.40113596024139153","0.40113596024139153","0.4078807241746539","0.4078807241746539","0.4078807241746539","0.4096556620518282","0.4096556620518282","0.4096556620518282","0.8690095846645367","0.8690095846645367","0.8690095846645367","0.8391906283280085","0.8391906283280085","0.8391906283280085","0.8633297834575789","0.8633297834575789","0.8633297834575789","0.8580049698260561","0.8580049698260561","0.8580049698260561","0.8409655662051828","0.8409655662051828","0.8409655662051828","0.8512602058927937","0.8512602058927937","0.8512602058927937"
"500","0.7160099396521121","0.7160099396521121","0.7160099396521121","0.6872559460418886","0.6872559460418886","0.6872559460418886","0.7096201632942847","0.7096201632942847","0.7096201632942847","0.7209797657082002","0.7209797657082002","0.7209797657082002","0.6979055733049343","0.6979055733049343","0.6979055733049343","0.6467873624423145","0.6467873624423145","0.6467873624423145","0.6435924742634008","0.6435924742634008","0.6435924742634008","0.6521121760738374","0.6521121760738374","0.6521121760738374","0.6439474618388357","0.6439474618388357","0.6439474618388357","0.6347177848775293","0.6347177848775293","0.6347177848775293","0.64572239971601","0.64572239971601","0.64572239971601","0.4039758608448704","0.4039758608448704","0.4039758608448704","0.4217252396166134","0.4217252396166134","0.4217252396166134","0.40042598509052185","0.40042598509052185","0.40042598509052185","0.42243521476748314","0.42243521476748314","0.42243521476748314","0.4185303514376997","0.4185303514376997","0.4185303514376997","0.4185303514376997","0.4185303514376997","0.4185303514376997","0.39581114660986866","0.39581114660986866","0.39581114660986866","0.3951011714589989","0.3951011714589989","0.3951011714589989","0.3919062832800852","0.3919062832800852","0.3919062832800852","0.4057507987220447","0.4057507987220447","0.4057507987220447","0.41178558750443733","0.41178558750443733","0.41178558750443733","0.4132055378061768","0.4132055378061768","0.4132055378061768","0.8679446219382322","0.8679446219382322","0.8679446219382322","0.8746893858714945","0.8746893858714945","0.8746893858714945","0.8665246716364927","0.8665246716364927","0.8665246716364927","0.8686545970891019","0.8686545970891019","0.8686545970891019","0.868299609513667","0.868299609513667","0.868299609513667","0.8661696840610579","0.8661696840610579","0.8661696840610579"
