"Step","plain_addition_medium_decoder_0 - val_acc","plain_addition_medium_decoder_0 - val_acc__MIN","plain_addition_medium_decoder_0 - val_acc__MAX"
"100","0.0009","0.0009","0.0009"
"200","0.0017","0.0017","0.0017"
"300","0.0023","0.0023","0.0023"
"400","0.0022","0.0022","0.0022"
"500","0.0044","0.0044","0.0044"
"600","0.0035","0.0035","0.0035"
"700","0.0099","0.0099","0.0099"
"800","0.0141","0.0141","0.0141"
"900","0.0508","0.0508","0.0508"
"1000","0.314","0.314","0.314"
"1100","0.4316","0.4316","0.4316"
"1200","0.5307","0.5307","0.5307"
"1300","0.5771","0.5771","0.5771"
"1400","0.6043","0.6043","0.6043"
"1500","0.627","0.627","0.627"
"1600","0.6498","0.6498","0.6498"
"1700","0.6427","0.6427","0.6427"
"1800","0.6327","0.6327","0.6327"
"1900","0.6467","0.6467","0.6467"
"2000","0.6132","0.6132","0.6132"
"2100","0.6549","0.6549","0.6549"
"2200","0.635","0.635","0.635"
"2300","0.6448","0.6448","0.6448"
"2400","0.6033","0.6033","0.6033"
"2500","0.6455","0.6455","0.6455"
"2600","0.6347","0.6347","0.6347"
"2700","0.6335","0.6335","0.6335"
"2800","0.6256","0.6256","0.6256"
"2900","0.6349","0.6349","0.6349"
"3000","0.6317","0.6317","0.6317"
"3100","0.6139","0.6139","0.6139"
"3200","0.6481","0.6481","0.6481"
"3300","0.6248","0.6248","0.6248"
"3400","0.6298","0.6298","0.6298"
"3500","0.615","0.615","0.615"
"3600","0.6403","0.6403","0.6403"
