"Step","plain_addition_medium_decoder_0 - train_acc","plain_addition_medium_decoder_0 - train_acc__MIN","plain_addition_medium_decoder_0 - train_acc__MAX"
"100","0.0024","0.0024","0.0024"
"200","0.0044","0.0044","0.0044"
"300","0.006","0.006","0.006"
"400","0.0048","0.0048","0.0048"
"500","0.0152","0.0152","0.0152"
"600","0.0144","0.0144","0.0144"
"700","0.0176","0.0176","0.0176"
"800","0.046","0.046","0.046"
"900","0.1024","0.1024","0.1024"
"1000","0.4008","0.4008","0.4008"
"1100","0.5436","0.5436","0.5436"
"1200","0.6936","0.6936","0.6936"
"1300","0.7604","0.7604","0.7604"
"1400","0.8092","0.8092","0.8092"
"1500","0.882","0.882","0.882"
"1600","0.9188","0.9188","0.9188"
"1700","0.9396","0.9396","0.9396"
"1800","0.9172","0.9172","0.9172"
"1900","0.948","0.948","0.948"
"2000","0.926","0.926","0.926"
"2100","0.9592","0.9592","0.9592"
"2200","0.9524","0.9524","0.9524"
"2300","0.9692","0.9692","0.9692"
"2400","0.9436","0.9436","0.9436"
"2500","0.9812","0.9812","0.9812"
"2600","0.9644","0.9644","0.9644"
"2700","0.9676","0.9676","0.9676"
"2800","0.9636","0.9636","0.9636"
"2900","0.9836","0.9836","0.9836"
"3000","0.9768","0.9768","0.9768"
"3100","0.9844","0.9844","0.9844"
"3200","0.9868","0.9868","0.9868"
"3300","0.9848","0.9848","0.9848"
"3400","0.992","0.992","0.992"
"3500","0.9936","0.9936","0.9936"
"3600","0.9956","0.9956","0.9956"
