"Step","plain_addition_medium_decoder_0 - val_loss","plain_addition_medium_decoder_0 - val_loss__MIN","plain_addition_medium_decoder_0 - val_loss__MAX"
"100","1.632007292509079","1.632007292509079","1.632007292509079"
"200","1.5293237805366515","1.5293237805366515","1.5293237805366515"
"300","1.5158324885368346","1.5158324885368346","1.5158324885368346"
"400","1.4875640642642975","1.4875640642642975","1.4875640642642975"
"500","1.4444885861873626","1.4444885861873626","1.4444885861873626"
"600","1.432817063331604","1.432817063331604","1.432817063331604"
"700","1.4139396286010741","1.4139396286010741","1.4139396286010741"
"800","1.4257457602024077","1.4257457602024077","1.4257457602024077"
"900","1.3279657697677612","1.3279657697677612","1.3279657697677612"
"1000","1.2483391928672791","1.2483391928672791","1.2483391928672791"
"1100","1.2262767374515533","1.2262767374515533","1.2262767374515533"
"1200","1.275932811498642","1.275932811498642","1.275932811498642"
"1300","1.4307645320892335","1.4307645320892335","1.4307645320892335"
"1400","1.6781816947460175","1.6781816947460175","1.6781816947460175"
"1500","2.001214598417282","2.001214598417282","2.001214598417282"
"1600","2.3530594992637632","2.3530594992637632","2.3530594992637632"
"1700","2.566299262046814","2.566299262046814","2.566299262046814"
"1800","2.6479999470710753","2.6479999470710753","2.6479999470710753"
"1900","2.780442988872528","2.780442988872528","2.780442988872528"
"2000","2.837237765789032","2.837237765789032","2.837237765789032"
"2100","2.8648081111907957","2.8648081111907957","2.8648081111907957"
"2200","2.9285273027420042","2.9285273027420042","2.9285273027420042"
"2300","3.031494901180267","3.031494901180267","3.031494901180267"
"2400","3.0025192427635194","3.0025192427635194","3.0025192427635194"
"2500","3.0273662877082823","3.0273662877082823","3.0273662877082823"
"2600","3.100918297767639","3.100918297767639","3.100918297767639"
"2700","3.252574188709259","3.252574188709259","3.252574188709259"
"2800","3.2525426602363585","3.2525426602363585","3.2525426602363585"
"2900","3.231877529621124","3.231877529621124","3.231877529621124"
"3000","3.323082594871521","3.323082594871521","3.323082594871521"
"3100","3.3281451225280763","3.3281451225280763","3.3281451225280763"
"3200","3.356479425430298","3.356479425430298","3.356479425430298"
"3300","3.465801694393158","3.465801694393158","3.465801694393158"
"3400","3.4759649729728697","3.4759649729728697","3.4759649729728697"
"3500","3.5424498438835146","3.5424498438835146","3.5424498438835146"
"3600","3.560984971523285","3.560984971523285","3.560984971523285"
