"Step","plain_addition_medium_encoder_0 - train_acc","plain_addition_medium_encoder_0 - train_acc__MIN","plain_addition_medium_encoder_0 - train_acc__MAX"
"100","0","0","0"
"200","0.0028","0.0028","0.0028"
"300","0.0036","0.0036","0.0036"
"400","0.0064","0.0064","0.0064"
"500","0.0156","0.0156","0.0156"
"600","0.0164","0.0164","0.0164"
"700","0.016","0.016","0.016"
"800","0.036","0.036","0.036"
"900","0.1024","0.1024","0.1024"
"1000","0.4396","0.4396","0.4396"
"1100","0.6904","0.6904","0.6904"
"1200","0.8156","0.8156","0.8156"
"1300","0.7832","0.7832","0.7832"
"1400","0.8372","0.8372","0.8372"
"1500","0.884","0.884","0.884"
"1600","0.8932","0.8932","0.8932"
"1700","0.9264","0.9264","0.9264"
"1800","0.9192","0.9192","0.9192"
"1900","0.9212","0.9212","0.9212"
"2000","0.9284","0.9284","0.9284"
"2100","0.938","0.938","0.938"
"2200","0.9352","0.9352","0.9352"
"2300","0.9336","0.9336","0.9336"
"2400","0.9584","0.9584","0.9584"
"2500","0.962","0.962","0.962"
"2600","0.9616","0.9616","0.9616"
"2700","0.9444","0.9444","0.9444"
"2800","0.9604","0.9604","0.9604"
"2900","0.9716","0.9716","0.9716"
"3000","0.982","0.982","0.982"
"3100","0.9692","0.9692","0.9692"
"3200","0.9836","0.9836","0.9836"
"3300","0.9912","0.9912","0.9912"
"3400","0.9888","0.9888","0.9888"
"3500","0.9772","0.9772","0.9772"
"3600","0.9936","0.9936","0.9936"
