"Step","plain_addition_medium_encoder_0 - val_acc","plain_addition_medium_encoder_0 - val_acc__MIN","plain_addition_medium_encoder_0 - val_acc__MAX"
"100","0.0004","0.0004","0.0004"
"200","0.0005","0.0005","0.0005"
"300","0.002","0.002","0.002"
"400","0.003","0.003","0.003"
"500","0.005","0.005","0.005"
"600","0.0056","0.0056","0.0056"
"700","0.0065","0.0065","0.0065"
"800","0.0103","0.0103","0.0103"
"900","0.0604","0.0604","0.0604"
"1000","0.3048","0.3048","0.3048"
"1100","0.5315","0.5315","0.5315"
"1200","0.6029","0.6029","0.6029"
"1300","0.5698","0.5698","0.5698"
"1400","0.5979","0.5979","0.5979"
"1500","0.6036","0.6036","0.6036"
"1600","0.6048","0.6048","0.6048"
"1700","0.6217","0.6217","0.6217"
"1800","0.6414","0.6414","0.6414"
"1900","0.6258","0.6258","0.6258"
"2000","0.6207","0.6207","0.6207"
"2100","0.6426","0.6426","0.6426"
"2200","0.6179","0.6179","0.6179"
"2300","0.6307","0.6307","0.6307"
"2400","0.645","0.645","0.645"
"2500","0.6412","0.6412","0.6412"
"2600","0.6464","0.6464","0.6464"
"2700","0.5893","0.5893","0.5893"
"2800","0.6302","0.6302","0.6302"
"2900","0.6348","0.6348","0.6348"
"3000","0.6522","0.6522","0.6522"
"3100","0.6375","0.6375","0.6375"
"3200","0.6553","0.6553","0.6553"
"3300","0.6723","0.6723","0.6723"
"3400","0.6544","0.6544","0.6544"
"3500","0.635","0.635","0.635"
"3600","0.6491","0.6491","0.6491"
