"Step","plain_addition_medium_encoder_0 - val_loss","plain_addition_medium_encoder_0 - val_loss__MIN","plain_addition_medium_encoder_0 - val_loss__MAX"
"100","1.7807171988487243","1.7807171988487243","1.7807171988487243"
"200","1.5540138840675355","1.5540138840675355","1.5540138840675355"
"300","1.5201259708404542","1.5201259708404542","1.5201259708404542"
"400","1.4715930318832398","1.4715930318832398","1.4715930318832398"
"500","1.4376414489746094","1.4376414489746094","1.4376414489746094"
"600","1.408023977279663","1.408023977279663","1.408023977279663"
"700","1.4072437822818755","1.4072437822818755","1.4072437822818755"
"800","1.4002913212776185","1.4002913212776185","1.4002913212776185"
"900","1.3210625672340393","1.3210625672340393","1.3210625672340393"
"1000","1.231242597103119","1.231242597103119","1.231242597103119"
"1100","1.210065598487854","1.210065598487854","1.210065598487854"
"1200","1.2770611596107484","1.2770611596107484","1.2770611596107484"
"1300","1.4875153088569641","1.4875153088569641","1.4875153088569641"
"1400","1.8884983623027802","1.8884983623027802","1.8884983623027802"
"1500","2.2551419878005983","2.2551419878005983","2.2551419878005983"
"1600","2.496162779331207","2.496162779331207","2.496162779331207"
"1700","2.5574874114990234","2.5574874114990234","2.5574874114990234"
"1800","2.6721930646896364","2.6721930646896364","2.6721930646896364"
"1900","2.7868459892272948","2.7868459892272948","2.7868459892272948"
"2000","2.8456681966781616","2.8456681966781616","2.8456681966781616"
"2100","2.7965328979492186","2.7965328979492186","2.7965328979492186"
"2200","2.9594720506668093","2.9594720506668093","2.9594720506668093"
"2300","2.904974088668823","2.904974088668823","2.904974088668823"
"2400","2.910898163318634","2.910898163318634","2.910898163318634"
"2500","2.951676650047302","2.951676650047302","2.951676650047302"
"2600","3.0496546602249146","3.0496546602249146","3.0496546602249146"
"2700","3.08565642118454","3.08565642118454","3.08565642118454"
"2800","3.1207597756385805","3.1207597756385805","3.1207597756385805"
"2900","3.2019651460647585","3.2019651460647585","3.2019651460647585"
"3000","3.262714877128601","3.262714877128601","3.262714877128601"
"3100","3.1972706079483033","3.1972706079483033","3.1972706079483033"
"3200","3.292788417339325","3.292788417339325","3.292788417339325"
"3300","3.391532530784607","3.391532530784607","3.391532530784607"
"3400","3.348197305202484","3.348197305202484","3.348197305202484"
"3500","3.3809849500656126","3.3809849500656126","3.3809849500656126"
"3600","3.4473252439498903","3.4473252439498903","3.4473252439498903"
