"Step","plain_addition_small_decoder_0 - train_acc","plain_addition_small_decoder_0 - train_acc__MIN","plain_addition_small_decoder_0 - train_acc__MAX"
"100","0.0036","0.0036","0.0036"
"200","0.0036","0.0036","0.0036"
"300","0.0056","0.0056","0.0056"
"400","0.0072","0.0072","0.0072"
"500","0.0084","0.0084","0.0084"
"600","0.0096","0.0096","0.0096"
"700","0.0096","0.0096","0.0096"
"800","0.0112","0.0112","0.0112"
"900","0.0136","0.0136","0.0136"
"1000","0.0296","0.0296","0.0296"
"1100","0.0392","0.0392","0.0392"
"1200","0.1856","0.1856","0.1856"
"1300","0.2988","0.2988","0.2988"
"1400","0.4504","0.4504","0.4504"
"1500","0.544","0.544","0.544"
"1600","0.5516","0.5516","0.5516"
"1700","0.6936","0.6936","0.6936"
"1800","0.6884","0.6884","0.6884"
"1900","0.708","0.708","0.708"
"2000","0.7376","0.7376","0.7376"
"2100","0.7648","0.7648","0.7648"
"2200","0.7968","0.7968","0.7968"
"2300","0.808","0.808","0.808"
"2400","0.8476","0.8476","0.8476"
"2500","0.85","0.85","0.85"
"2600","0.862","0.862","0.862"
"2700","0.8664","0.8664","0.8664"
"2800","0.8936","0.8936","0.8936"
"2900","0.8884","0.8884","0.8884"
"3000","0.9184","0.9184","0.9184"
"3100","0.8796","0.8796","0.8796"
"3200","0.9324","0.9324","0.9324"
"3300","0.918","0.918","0.918"
"3400","0.936","0.936","0.936"
"3500","0.9328","0.9328","0.9328"
"3600","0.9436","0.9436","0.9436"
"3700","0.9492","0.9492","0.9492"
"3800","0.9628","0.9628","0.9628"
"3900","0.9596","0.9596","0.9596"
"4000","0.9652","0.9652","0.9652"
