"Step","plain_addition_small_decoder_0 - val_acc","plain_addition_small_decoder_0 - val_acc__MIN","plain_addition_small_decoder_0 - val_acc__MAX"
"100","0","0","0"
"200","0.0017","0.0017","0.0017"
"300","0.0021","0.0021","0.0021"
"400","0.0017","0.0017","0.0017"
"500","0.002","0.002","0.002"
"600","0.003","0.003","0.003"
"700","0.0035","0.0035","0.0035"
"800","0.0035","0.0035","0.0035"
"900","0.005","0.005","0.005"
"1000","0.0082","0.0082","0.0082"
"1100","0.0176","0.0176","0.0176"
"1200","0.1171","0.1171","0.1171"
"1300","0.2182","0.2182","0.2182"
"1400","0.3176","0.3176","0.3176"
"1500","0.375","0.375","0.375"
"1600","0.3794","0.3794","0.3794"
"1700","0.4723","0.4723","0.4723"
"1800","0.4599","0.4599","0.4599"
"1900","0.4558","0.4558","0.4558"
"2000","0.4775","0.4775","0.4775"
"2100","0.4849","0.4849","0.4849"
"2200","0.493","0.493","0.493"
"2300","0.5114","0.5114","0.5114"
"2400","0.5099","0.5099","0.5099"
"2500","0.5029","0.5029","0.5029"
"2600","0.4981","0.4981","0.4981"
"2700","0.4951","0.4951","0.4951"
"2800","0.5005","0.5005","0.5005"
"2900","0.4988","0.4988","0.4988"
"3000","0.4943","0.4943","0.4943"
"3100","0.4826","0.4826","0.4826"
"3200","0.5031","0.5031","0.5031"
"3300","0.4772","0.4772","0.4772"
"3400","0.4901","0.4901","0.4901"
"3500","0.4796","0.4796","0.4796"
"3600","0.4848","0.4848","0.4848"
"3700","0.4927","0.4927","0.4927"
"3800","0.4977","0.4977","0.4977"
"3900","0.4799","0.4799","0.4799"
"4000","0.4951","0.4951","0.4951"
