"Step","plain_addition_small_encoder_0 - train_acc","plain_addition_small_encoder_0 - train_acc__MIN","plain_addition_small_encoder_0 - train_acc__MAX"
"100","0.0004","0.0004","0.0004"
"200","0.0036","0.0036","0.0036"
"300","0.0024","0.0024","0.0024"
"400","0.006","0.006","0.006"
"500","0.0032","0.0032","0.0032"
"600","0.008","0.008","0.008"
"700","0.0072","0.0072","0.0072"
"800","0.0148","0.0148","0.0148"
"900","0.0236","0.0236","0.0236"
"1000","0.0644","0.0644","0.0644"
"1100","0.2964","0.2964","0.2964"
"1200","0.4212","0.4212","0.4212"
"1300","0.6456","0.6456","0.6456"
"1400","0.6868","0.6868","0.6868"
"1500","0.7504","0.7504","0.7504"
"1600","0.728","0.728","0.728"
"1700","0.882","0.882","0.882"
"1800","0.8864","0.8864","0.8864"
"1900","0.8776","0.8776","0.8776"
"2000","0.9004","0.9004","0.9004"
"2100","0.8808","0.8808","0.8808"
"2200","0.912","0.912","0.912"
"2300","0.88","0.88","0.88"
"2400","0.922","0.922","0.922"
"2500","0.9164","0.9164","0.9164"
"2600","0.9208","0.9208","0.9208"
"2700","0.9344","0.9344","0.9344"
"2800","0.94","0.94","0.94"
"2900","0.9484","0.9484","0.9484"
"3000","0.9468","0.9468","0.9468"
"3100","0.962","0.962","0.962"
"3200","0.962","0.962","0.962"
"3300","0.9668","0.9668","0.9668"
"3400","0.9736","0.9736","0.9736"
"3500","0.972","0.972","0.972"
"3600","0.98","0.98","0.98"
"3700","0.9816","0.9816","0.9816"
"3800","0.984","0.984","0.984"
"3900","0.9832","0.9832","0.9832"
"4000","0.9876","0.9876","0.9876"
