"Step","plain_addition_small_encoder_0 - val_acc","plain_addition_small_encoder_0 - val_acc__MIN","plain_addition_small_encoder_0 - val_acc__MAX"
"100","0.0004","0.0004","0.0004"
"200","0.0002","0.0002","0.0002"
"300","0.002","0.002","0.002"
"400","0.0014","0.0014","0.0014"
"500","0.0015","0.0015","0.0015"
"600","0.0017","0.0017","0.0017"
"700","0.0023","0.0023","0.0023"
"800","0.0041","0.0041","0.0041"
"900","0.0075","0.0075","0.0075"
"1000","0.0355","0.0355","0.0355"
"1100","0.2312","0.2312","0.2312"
"1200","0.3562","0.3562","0.3562"
"1300","0.556","0.556","0.556"
"1400","0.5975","0.5975","0.5975"
"1500","0.6433","0.6433","0.6433"
"1600","0.6295","0.6295","0.6295"
"1700","0.7596","0.7596","0.7596"
"1800","0.7499","0.7499","0.7499"
"1900","0.7368","0.7368","0.7368"
"2000","0.7439","0.7439","0.7439"
"2100","0.7093","0.7093","0.7093"
"2200","0.7259","0.7259","0.7259"
"2300","0.6928","0.6928","0.6928"
"2400","0.7164","0.7164","0.7164"
"2500","0.6927","0.6927","0.6927"
"2600","0.6922","0.6922","0.6922"
"2700","0.6888","0.6888","0.6888"
"2800","0.69","0.69","0.69"
"2900","0.697","0.697","0.697"
"3000","0.6728","0.6728","0.6728"
"3100","0.6997","0.6997","0.6997"
"3200","0.7044","0.7044","0.7044"
"3300","0.6893","0.6893","0.6893"
"3400","0.7103","0.7103","0.7103"
"3500","0.7055","0.7055","0.7055"
"3600","0.71","0.71","0.71"
"3700","0.7075","0.7075","0.7075"
"3800","0.7093","0.7093","0.7093"
"3900","0.7164","0.7164","0.7164"
"4000","0.7085","0.7085","0.7085"
