"Step","shakespeare_small_encoder_no_wpe_0 - train_loss","shakespeare_small_encoder_no_wpe_0 - train_loss__MIN","shakespeare_small_encoder_no_wpe_0 - train_loss__MAX"
"1","4.261695861816406","4.261695861816406","4.261695861816406"
"2","4.226512908935547","4.226512908935547","4.226512908935547"
"3","4.194484710693359","4.194484710693359","4.194484710693359"
"4","4.152046203613281","4.152046203613281","4.152046203613281"
"5","4.085895538330078","4.085895538330078","4.085895538330078"
"6","3.9959754943847656","3.9959754943847656","3.9959754943847656"
"7","3.924144744873047","3.924144744873047","3.924144744873047"
"8","3.8475875854492188","3.8475875854492188","3.8475875854492188"
"9","3.77398681640625","3.77398681640625","3.77398681640625"
"10","3.714153289794922","3.714153289794922","3.714153289794922"
"11","3.6763954162597656","3.6763954162597656","3.6763954162597656"
"12","3.647846221923828","3.647846221923828","3.647846221923828"
"13","3.6004066467285156","3.6004066467285156","3.6004066467285156"
"14","3.570169448852539","3.570169448852539","3.570169448852539"
"15","3.5519981384277344","3.5519981384277344","3.5519981384277344"
"16","3.5108718872070312","3.5108718872070312","3.5108718872070312"
"17","3.4874916076660156","3.4874916076660156","3.4874916076660156"
"18","3.4706592559814453","3.4706592559814453","3.4706592559814453"
"19","3.4467735290527344","3.4467735290527344","3.4467735290527344"
"20","3.415060043334961","3.415060043334961","3.415060043334961"
"21","3.3944034576416016","3.3944034576416016","3.3944034576416016"
"22","3.3541030883789062","3.3541030883789062","3.3541030883789062"
"23","3.325002670288086","3.325002670288086","3.325002670288086"
"24","3.290628433227539","3.290628433227539","3.290628433227539"
"25","3.2589187622070312","3.2589187622070312","3.2589187622070312"
"26","3.2560291290283203","3.2560291290283203","3.2560291290283203"
"27","3.2017135620117188","3.2017135620117188","3.2017135620117188"
"28","3.182985305786133","3.182985305786133","3.182985305786133"
"29","3.201627731323242","3.201627731323242","3.201627731323242"
"30","3.157695770263672","3.157695770263672","3.157695770263672"
"31","3.1525211334228516","3.1525211334228516","3.1525211334228516"
"32","3.099667549133301","3.099667549133301","3.099667549133301"
"33","3.0916948318481445","3.0916948318481445","3.0916948318481445"
"34","3.065937042236328","3.065937042236328","3.065937042236328"
"35","3.0573997497558594","3.0573997497558594","3.0573997497558594"
"36","3.0265798568725586","3.0265798568725586","3.0265798568725586"
"37","2.983644485473633","2.983644485473633","2.983644485473633"
"38","3.000823974609375","3.000823974609375","3.000823974609375"
"39","2.956631660461426","2.956631660461426","2.956631660461426"
"40","2.956925392150879","2.956925392150879","2.956925392150879"
"41","2.9157114028930664","2.9157114028930664","2.9157114028930664"
"42","2.925638198852539","2.925638198852539","2.925638198852539"
"43","2.9156274795532227","2.9156274795532227","2.9156274795532227"
"44","2.8836231231689453","2.8836231231689453","2.8836231231689453"
"45","2.907114028930664","2.907114028930664","2.907114028930664"
"46","2.89365291595459","2.89365291595459","2.89365291595459"
"47","2.8478755950927734","2.8478755950927734","2.8478755950927734"
"48","2.852161407470703","2.852161407470703","2.852161407470703"
"49","2.835111618041992","2.835111618041992","2.835111618041992"
"50","2.8600730895996094","2.8600730895996094","2.8600730895996094"
"51","2.824197769165039","2.824197769165039","2.824197769165039"
"52","2.841658592224121","2.841658592224121","2.841658592224121"
"53","2.783895492553711","2.783895492553711","2.783895492553711"
"54","2.7772130966186523","2.7772130966186523","2.7772130966186523"
"55","2.7477169036865234","2.7477169036865234","2.7477169036865234"
"56","2.7728471755981445","2.7728471755981445","2.7728471755981445"
"57","2.7471280097961426","2.7471280097961426","2.7471280097961426"
"58","2.709334373474121","2.709334373474121","2.709334373474121"
"59","2.725470542907715","2.725470542907715","2.725470542907715"
"60","2.7593955993652344","2.7593955993652344","2.7593955993652344"
"61","2.7194766998291016","2.7194766998291016","2.7194766998291016"
"62","2.697770118713379","2.697770118713379","2.697770118713379"
"63","2.7283568382263184","2.7283568382263184","2.7283568382263184"
"64","2.6843719482421875","2.6843719482421875","2.6843719482421875"
"65","2.6873507499694824","2.6873507499694824","2.6873507499694824"
"66","2.6680517196655273","2.6680517196655273","2.6680517196655273"
"67","2.6577463150024414","2.6577463150024414","2.6577463150024414"
"68","2.687044620513916","2.687044620513916","2.687044620513916"
"69","2.691135883331299","2.691135883331299","2.691135883331299"
"70","2.6565237045288086","2.6565237045288086","2.6565237045288086"
"71","2.6829700469970703","2.6829700469970703","2.6829700469970703"
"72","2.6305432319641113","2.6305432319641113","2.6305432319641113"
"73","2.614187240600586","2.614187240600586","2.614187240600586"
"74","2.64260196685791","2.64260196685791","2.64260196685791"
"75","2.6270833015441895","2.6270833015441895","2.6270833015441895"
"76","2.6192612648010254","2.6192612648010254","2.6192612648010254"
"77","2.636678695678711","2.636678695678711","2.636678695678711"
"78","2.6290435791015625","2.6290435791015625","2.6290435791015625"
"79","2.63875675201416","2.63875675201416","2.63875675201416"
"80","2.621298313140869","2.621298313140869","2.621298313140869"
"81","2.6114988327026367","2.6114988327026367","2.6114988327026367"
"82","2.5925040245056152","2.5925040245056152","2.5925040245056152"
"83","2.5844767093658447","2.5844767093658447","2.5844767093658447"
"84","2.567967414855957","2.567967414855957","2.567967414855957"
"85","2.561570405960083","2.561570405960083","2.561570405960083"
"86","2.557781219482422","2.557781219482422","2.557781219482422"
"87","2.5809693336486816","2.5809693336486816","2.5809693336486816"
"88","2.5420029163360596","2.5420029163360596","2.5420029163360596"
"89","2.564234495162964","2.564234495162964","2.564234495162964"
"90","2.5517168045043945","2.5517168045043945","2.5517168045043945"
"91","2.570223569869995","2.570223569869995","2.570223569869995"
"92","2.572035551071167","2.572035551071167","2.572035551071167"
"93","2.5384294986724854","2.5384294986724854","2.5384294986724854"
"94","2.5641942024230957","2.5641942024230957","2.5641942024230957"
"95","2.5375924110412598","2.5375924110412598","2.5375924110412598"
"96","2.5107176303863525","2.5107176303863525","2.5107176303863525"
"97","2.555732250213623","2.555732250213623","2.555732250213623"
"98","2.521280288696289","2.521280288696289","2.521280288696289"
"99","2.514794111251831","2.514794111251831","2.514794111251831"
"100","2.522806406021118","2.522806406021118","2.522806406021118"
"101","2.5058932304382324","2.5058932304382324","2.5058932304382324"
"102","2.551705837249756","2.551705837249756","2.551705837249756"
"103","2.5062241554260254","2.5062241554260254","2.5062241554260254"
"104","2.523689031600952","2.523689031600952","2.523689031600952"
"105","2.535662889480591","2.535662889480591","2.535662889480591"
"106","2.516218900680542","2.516218900680542","2.516218900680542"
"107","2.5433640480041504","2.5433640480041504","2.5433640480041504"
"108","2.514112710952759","2.514112710952759","2.514112710952759"
"109","2.5197272300720215","2.5197272300720215","2.5197272300720215"
"110","2.5226244926452637","2.5226244926452637","2.5226244926452637"
"111","2.4856655597686768","2.4856655597686768","2.4856655597686768"
"112","2.530050039291382","2.530050039291382","2.530050039291382"
"113","2.4956705570220947","2.4956705570220947","2.4956705570220947"
"114","2.5167508125305176","2.5167508125305176","2.5167508125305176"
"115","2.4923434257507324","2.4923434257507324","2.4923434257507324"
"116","2.5226781368255615","2.5226781368255615","2.5226781368255615"
"117","2.5366225242614746","2.5366225242614746","2.5366225242614746"
"118","2.5390098094940186","2.5390098094940186","2.5390098094940186"
"119","2.5179660320281982","2.5179660320281982","2.5179660320281982"
