"Step","shakespeare_medium_encoder_no_wpe_0 - train_loss","shakespeare_medium_encoder_no_wpe_0 - train_loss__MIN","shakespeare_medium_encoder_no_wpe_0 - train_loss__MAX"
"1","4.270305633544922","4.270305633544922","4.270305633544922"
"2","4.132762908935547","4.132762908935547","4.132762908935547"
"3","3.8858642578125","3.8858642578125","3.8858642578125"
"4","3.691661834716797","3.691661834716797","3.691661834716797"
"5","3.591012954711914","3.591012954711914","3.591012954711914"
"6","3.486431121826172","3.486431121826172","3.486431121826172"
"7","3.448843002319336","3.448843002319336","3.448843002319336"
"8","3.397106170654297","3.397106170654297","3.397106170654297"
"9","3.369640350341797","3.369640350341797","3.369640350341797"
"10","3.3245182037353516","3.3245182037353516","3.3245182037353516"
"11","3.263782501220703","3.263782501220703","3.263782501220703"
"12","3.221179962158203","3.221179962158203","3.221179962158203"
"13","3.1670913696289062","3.1670913696289062","3.1670913696289062"
"14","3.176553726196289","3.176553726196289","3.176553726196289"
"15","3.1068506240844727","3.1068506240844727","3.1068506240844727"
"16","3.063715934753418","3.063715934753418","3.063715934753418"
"17","3.0881991386413574","3.0881991386413574","3.0881991386413574"
"18","2.9638447761535645","2.9638447761535645","2.9638447761535645"
"19","2.912029266357422","2.912029266357422","2.912029266357422"
"20","2.8406004905700684","2.8406004905700684","2.8406004905700684"
"21","2.8688530921936035","2.8688530921936035","2.8688530921936035"
"22","2.797773838043213","2.797773838043213","2.797773838043213"
"23","2.750046968460083","2.750046968460083","2.750046968460083"
"24","2.7898049354553223","2.7898049354553223","2.7898049354553223"
"25","2.7707314491271973","2.7707314491271973","2.7707314491271973"
"26","2.7513625621795654","2.7513625621795654","2.7513625621795654"
"27","2.7136807441711426","2.7136807441711426","2.7136807441711426"
"28","2.6998839378356934","2.6998839378356934","2.6998839378356934"
"29","2.6833927631378174","2.6833927631378174","2.6833927631378174"
"30","2.6736888885498047","2.6736888885498047","2.6736888885498047"
"31","2.679656982421875","2.679656982421875","2.679656982421875"
"32","2.6284873485565186","2.6284873485565186","2.6284873485565186"
"33","2.6474103927612305","2.6474103927612305","2.6474103927612305"
"34","2.62595534324646","2.62595534324646","2.62595534324646"
"35","2.5987155437469482","2.5987155437469482","2.5987155437469482"
"36","2.614823341369629","2.614823341369629","2.614823341369629"
"37","2.594409704208374","2.594409704208374","2.594409704208374"
"38","2.6008496284484863","2.6008496284484863","2.6008496284484863"
"39","2.565124273300171","2.565124273300171","2.565124273300171"
"40","2.621800422668457","2.621800422668457","2.621800422668457"
"41","2.6004486083984375","2.6004486083984375","2.6004486083984375"
"42","2.574551582336426","2.574551582336426","2.574551582336426"
"43","2.5564310550689697","2.5564310550689697","2.5564310550689697"
"44","2.5641403198242188","2.5641403198242188","2.5641403198242188"
"45","2.543123960494995","2.543123960494995","2.543123960494995"
"46","2.546604633331299","2.546604633331299","2.546604633331299"
"47","2.558711290359497","2.558711290359497","2.558711290359497"
"48","2.543484687805176","2.543484687805176","2.543484687805176"
"49","2.5239274501800537","2.5239274501800537","2.5239274501800537"
"50","2.55021071434021","2.55021071434021","2.55021071434021"
"51","2.5231447219848633","2.5231447219848633","2.5231447219848633"
"52","2.5364861488342285","2.5364861488342285","2.5364861488342285"
"53","2.5078816413879395","2.5078816413879395","2.5078816413879395"
"54","2.504882335662842","2.504882335662842","2.504882335662842"
"55","2.495184898376465","2.495184898376465","2.495184898376465"
"56","2.5196988582611084","2.5196988582611084","2.5196988582611084"
"57","2.499607801437378","2.499607801437378","2.499607801437378"
"58","2.4851768016815186","2.4851768016815186","2.4851768016815186"
"59","2.5027849674224854","2.5027849674224854","2.5027849674224854"
"60","2.4561123847961426","2.4561123847961426","2.4561123847961426"
"61","2.4682114124298096","2.4682114124298096","2.4682114124298096"
"62","2.5004894733428955","2.5004894733428955","2.5004894733428955"
"63","2.503779888153076","2.503779888153076","2.503779888153076"
"64","2.4966750144958496","2.4966750144958496","2.4966750144958496"
"65","2.4665751457214355","2.4665751457214355","2.4665751457214355"
"66","2.468472480773926","2.468472480773926","2.468472480773926"
"67","2.4748778343200684","2.4748778343200684","2.4748778343200684"
"68","2.4688963890075684","2.4688963890075684","2.4688963890075684"
"69","2.4768624305725098","2.4768624305725098","2.4768624305725098"
"70","2.4437685012817383","2.4437685012817383","2.4437685012817383"
"71","2.4874298572540283","2.4874298572540283","2.4874298572540283"
"72","2.472325325012207","2.472325325012207","2.472325325012207"
"73","2.4802653789520264","2.4802653789520264","2.4802653789520264"
"74","2.443742513656616","2.443742513656616","2.443742513656616"
"75","2.4355406761169434","2.4355406761169434","2.4355406761169434"
"76","2.450253486633301","2.450253486633301","2.450253486633301"
"77","2.467428207397461","2.467428207397461","2.467428207397461"
"78","2.434126377105713","2.434126377105713","2.434126377105713"
"79","2.454773187637329","2.454773187637329","2.454773187637329"
"80","2.421238422393799","2.421238422393799","2.421238422393799"
"81","2.4413931369781494","2.4413931369781494","2.4413931369781494"
"82","2.4512972831726074","2.4512972831726074","2.4512972831726074"
"83","2.3968095779418945","2.3968095779418945","2.3968095779418945"
"84","2.430793523788452","2.430793523788452","2.430793523788452"
"85","2.449845314025879","2.449845314025879","2.449845314025879"
"86","2.4500160217285156","2.4500160217285156","2.4500160217285156"
"87","2.4511795043945312","2.4511795043945312","2.4511795043945312"
"88","2.444803237915039","2.444803237915039","2.444803237915039"
"89","2.4219565391540527","2.4219565391540527","2.4219565391540527"
"90","2.4453959465026855","2.4453959465026855","2.4453959465026855"
"91","2.4965569972991943","2.4965569972991943","2.4965569972991943"
"92","2.4732296466827393","2.4732296466827393","2.4732296466827393"
"93","2.4465699195861816","2.4465699195861816","2.4465699195861816"
"94","2.4423251152038574","2.4423251152038574","2.4423251152038574"
"95","2.430940628051758","2.430940628051758","2.430940628051758"
"96","2.447293996810913","2.447293996810913","2.447293996810913"
"97","2.4330124855041504","2.4330124855041504","2.4330124855041504"
"98","2.4389662742614746","2.4389662742614746","2.4389662742614746"
"99","2.4437057971954346","2.4437057971954346","2.4437057971954346"
"100","2.4625885486602783","2.4625885486602783","2.4625885486602783"
"101","2.466078281402588","2.466078281402588","2.466078281402588"
"102","2.469823122024536","2.469823122024536","2.469823122024536"
"103","2.405250310897827","2.405250310897827","2.405250310897827"
"104","2.4563052654266357","2.4563052654266357","2.4563052654266357"
"105","2.475677728652954","2.475677728652954","2.475677728652954"
"106","2.424539089202881","2.424539089202881","2.424539089202881"
"107","2.4369473457336426","2.4369473457336426","2.4369473457336426"
"108","2.3722620010375977","2.3722620010375977","2.3722620010375977"
"109","2.465104579925537","2.465104579925537","2.465104579925537"
"110","2.4398248195648193","2.4398248195648193","2.4398248195648193"
"111","2.4351515769958496","2.4351515769958496","2.4351515769958496"
"112","2.4603333473205566","2.4603333473205566","2.4603333473205566"
"113","2.4017677307128906","2.4017677307128906","2.4017677307128906"
"114","2.454578161239624","2.454578161239624","2.454578161239624"
"115","2.412452220916748","2.412452220916748","2.412452220916748"
"116","2.4354891777038574","2.4354891777038574","2.4354891777038574"
"117","2.468684434890747","2.468684434890747","2.468684434890747"
"118","2.424992561340332","2.424992561340332","2.424992561340332"
"119","2.4231045246124268","2.4231045246124268","2.4231045246124268"
"120","2.414240598678589","2.414240598678589","2.414240598678589"
"121","2.405787706375122","2.405787706375122","2.405787706375122"
"122","2.4137749671936035","2.4137749671936035","2.4137749671936035"
"123","2.381870985031128","2.381870985031128","2.381870985031128"
"124","2.4010653495788574","2.4010653495788574","2.4010653495788574"
"125","2.4033429622650146","2.4033429622650146","2.4033429622650146"
"126","2.384462594985962","2.384462594985962","2.384462594985962"
"127","2.4189088344573975","2.4189088344573975","2.4189088344573975"
"128","2.3921804428100586","2.3921804428100586","2.3921804428100586"
"129","2.4035558700561523","2.4035558700561523","2.4035558700561523"
"130","2.3824219703674316","2.3824219703674316","2.3824219703674316"
"131","2.4255120754241943","2.4255120754241943","2.4255120754241943"
"132","2.354675054550171","2.354675054550171","2.354675054550171"
"133","2.388564109802246","2.388564109802246","2.388564109802246"
"134","2.3757684230804443","2.3757684230804443","2.3757684230804443"
"135","2.3646762371063232","2.3646762371063232","2.3646762371063232"
"136","2.4161455631256104","2.4161455631256104","2.4161455631256104"
"137","2.384655714035034","2.384655714035034","2.384655714035034"
"138","2.41483998298645","2.41483998298645","2.41483998298645"
"139","2.407439708709717","2.407439708709717","2.407439708709717"
"140","2.3826565742492676","2.3826565742492676","2.3826565742492676"
"141","2.359966993331909","2.359966993331909","2.359966993331909"
"142","2.3926429748535156","2.3926429748535156","2.3926429748535156"
"143","2.378567695617676","2.378567695617676","2.378567695617676"
"144","2.392040252685547","2.392040252685547","2.392040252685547"
"145","2.4268743991851807","2.4268743991851807","2.4268743991851807"
"146","2.36671781539917","2.36671781539917","2.36671781539917"
"147","2.3771462440490723","2.3771462440490723","2.3771462440490723"
"148","2.3601155281066895","2.3601155281066895","2.3601155281066895"
"149","2.356492519378662","2.356492519378662","2.356492519378662"
"150","2.3770320415496826","2.3770320415496826","2.3770320415496826"
"151","2.3622195720672607","2.3622195720672607","2.3622195720672607"
"152","2.3823094367980957","2.3823094367980957","2.3823094367980957"
"153","2.4057793617248535","2.4057793617248535","2.4057793617248535"
"154","2.3650269508361816","2.3650269508361816","2.3650269508361816"
"155","2.3477063179016113","2.3477063179016113","2.3477063179016113"
"156","2.383052110671997","2.383052110671997","2.383052110671997"
"157","2.405229091644287","2.405229091644287","2.405229091644287"
"158","2.3346285820007324","2.3346285820007324","2.3346285820007324"
"159","2.37986421585083","2.37986421585083","2.37986421585083"
"160","2.3600034713745117","2.3600034713745117","2.3600034713745117"
"161","2.3553249835968018","2.3553249835968018","2.3553249835968018"
"162","2.3639965057373047","2.3639965057373047","2.3639965057373047"
"163","2.3743577003479004","2.3743577003479004","2.3743577003479004"
"164","2.314359188079834","2.314359188079834","2.314359188079834"
"165","2.384021043777466","2.384021043777466","2.384021043777466"
"166","2.364234685897827","2.364234685897827","2.364234685897827"
"167","2.3653931617736816","2.3653931617736816","2.3653931617736816"
