"Step","shakespeare_medium_decoder_no_wpe_0 - val_loss","shakespeare_medium_decoder_no_wpe_0 - val_loss__MIN","shakespeare_medium_decoder_no_wpe_0 - val_loss__MAX"
"100","2.435533800125122","2.435533800125122","2.435533800125122"
"200","2.2903853464126587","2.2903853464126587","2.2903853464126587"
"300","2.1651559710502624","2.1651559710502624","2.1651559710502624"
"400","2.0403000724315645","2.0403000724315645","2.0403000724315645"
"500","1.9533612728118896","1.9533612728118896","1.9533612728118896"
"600","1.8837871634960175","1.8837871634960175","1.8837871634960175"
"700","1.8491634941101074","1.8491634941101074","1.8491634941101074"
"800","1.8095157635211945","1.8095157635211945","1.8095157635211945"
"900","1.7844026625156402","1.7844026625156402","1.7844026625156402"
"1000","1.7582746851444244","1.7582746851444244","1.7582746851444244"
"1100","1.717425365447998","1.717425365447998","1.717425365447998"
"1200","1.7216477262973786","1.7216477262973786","1.7216477262973786"
"1300","1.7017285966873168","1.7017285966873168","1.7017285966873168"
"1400","1.7016905331611634","1.7016905331611634","1.7016905331611634"
"1500","1.6758188164234162","1.6758188164234162","1.6758188164234162"
"1600","1.686597043275833","1.686597043275833","1.686597043275833"
"1700","1.6844625580310821","1.6844625580310821","1.6844625580310821"
"1800","1.6678517854213715","1.6678517854213715","1.6678517854213715"
"1900","1.673055638074875","1.673055638074875","1.673055638074875"
"2000","1.660731817483902","1.660731817483902","1.660731817483902"
"2100","1.6580893063545228","1.6580893063545228","1.6580893063545228"
"2200","1.646218091249466","1.646218091249466","1.646218091249466"
"2300","1.6546781730651856","1.6546781730651856","1.6546781730651856"
"2400","1.6451840102672577","1.6451840102672577","1.6451840102672577"
"2500","1.6436914837360381","1.6436914837360381","1.6436914837360381"
"2600","1.6396944665908812","1.6396944665908812","1.6396944665908812"
"2700","1.6439976501464844","1.6439976501464844","1.6439976501464844"
"2800","1.6484903442859649","1.6484903442859649","1.6484903442859649"
"2900","1.6404337644577027","1.6404337644577027","1.6404337644577027"
"3000","1.6572596395015717","1.6572596395015717","1.6572596395015717"
"3100","1.6639188206195832","1.6639188206195832","1.6639188206195832"
"3200","1.6614572513103485","1.6614572513103485","1.6614572513103485"
"3300","1.6645991647243499","1.6645991647243499","1.6645991647243499"
"3400","1.6654608309268952","1.6654608309268952","1.6654608309268952"
"3500","1.6796363759040833","1.6796363759040833","1.6796363759040833"
"3600","1.685358976125717","1.685358976125717","1.685358976125717"
