"Step","shakespeare_medium_decoder_no_wpe_0 - train_loss","shakespeare_medium_decoder_no_wpe_0 - train_loss__MIN","shakespeare_medium_decoder_no_wpe_0 - train_loss__MAX"
"1","4.256725311279297","4.256725311279297","4.256725311279297"
"2","4.134517669677734","4.134517669677734","4.134517669677734"
"3","3.9039039611816406","3.9039039611816406","3.9039039611816406"
"4","3.7066383361816406","3.7066383361816406","3.7066383361816406"
"5","3.602344512939453","3.602344512939453","3.602344512939453"
"6","3.4995460510253906","3.4995460510253906","3.4995460510253906"
"7","3.4564990997314453","3.4564990997314453","3.4564990997314453"
"8","3.400606155395508","3.400606155395508","3.400606155395508"
"9","3.3749465942382812","3.3749465942382812","3.3749465942382812"
"10","3.3358402252197266","3.3358402252197266","3.3358402252197266"
"11","3.276264190673828","3.276264190673828","3.276264190673828"
"12","3.2326889038085938","3.2326889038085938","3.2326889038085938"
"13","3.18389892578125","3.18389892578125","3.18389892578125"
"14","3.2083282470703125","3.2083282470703125","3.2083282470703125"
"15","3.1350936889648438","3.1350936889648438","3.1350936889648438"
"16","3.1024208068847656","3.1024208068847656","3.1024208068847656"
"17","3.0672364234924316","3.0672364234924316","3.0672364234924316"
"18","3.0040879249572754","3.0040879249572754","3.0040879249572754"
"19","2.908402919769287","2.908402919769287","2.908402919769287"
"20","2.8572263717651367","2.8572263717651367","2.8572263717651367"
"21","2.879143714904785","2.879143714904785","2.879143714904785"
"22","2.8052539825439453","2.8052539825439453","2.8052539825439453"
"23","2.7613584995269775","2.7613584995269775","2.7613584995269775"
"24","2.7870986461639404","2.7870986461639404","2.7870986461639404"
"25","2.768197536468506","2.768197536468506","2.768197536468506"
"26","2.7523131370544434","2.7523131370544434","2.7523131370544434"
"27","2.7096614837646484","2.7096614837646484","2.7096614837646484"
"28","2.6980323791503906","2.6980323791503906","2.6980323791503906"
"29","2.6846508979797363","2.6846508979797363","2.6846508979797363"
"30","2.673818588256836","2.673818588256836","2.673818588256836"
"31","2.675553321838379","2.675553321838379","2.675553321838379"
"32","2.6256186962127686","2.6256186962127686","2.6256186962127686"
"33","2.6462457180023193","2.6462457180023193","2.6462457180023193"
"34","2.6212892532348633","2.6212892532348633","2.6212892532348633"
"35","2.593557357788086","2.593557357788086","2.593557357788086"
"36","2.610145092010498","2.610145092010498","2.610145092010498"
"37","2.5882019996643066","2.5882019996643066","2.5882019996643066"
"38","2.598529577255249","2.598529577255249","2.598529577255249"
"39","2.555449962615967","2.555449962615967","2.555449962615967"
"40","2.607578992843628","2.607578992843628","2.607578992843628"
"41","2.589416265487671","2.589416265487671","2.589416265487671"
"42","2.565725326538086","2.565725326538086","2.565725326538086"
"43","2.5432286262512207","2.5432286262512207","2.5432286262512207"
"44","2.541407346725464","2.541407346725464","2.541407346725464"
"45","2.5446791648864746","2.5446791648864746","2.5446791648864746"
"46","2.5324835777282715","2.5324835777282715","2.5324835777282715"
"47","2.553020477294922","2.553020477294922","2.553020477294922"
"48","2.521127223968506","2.521127223968506","2.521127223968506"
"49","2.52573561668396","2.52573561668396","2.52573561668396"
"50","2.5346357822418213","2.5346357822418213","2.5346357822418213"
"51","2.5125105381011963","2.5125105381011963","2.5125105381011963"
"52","2.5295469760894775","2.5295469760894775","2.5295469760894775"
"53","2.500263214111328","2.500263214111328","2.500263214111328"
"54","2.4982504844665527","2.4982504844665527","2.4982504844665527"
"55","2.482325553894043","2.482325553894043","2.482325553894043"
"56","2.5107035636901855","2.5107035636901855","2.5107035636901855"
"57","2.4871890544891357","2.4871890544891357","2.4871890544891357"
"58","2.472524881362915","2.472524881362915","2.472524881362915"
"59","2.4872629642486572","2.4872629642486572","2.4872629642486572"
"60","2.435105800628662","2.435105800628662","2.435105800628662"
"61","2.455475330352783","2.455475330352783","2.455475330352783"
"62","2.486342430114746","2.486342430114746","2.486342430114746"
"63","2.4896421432495117","2.4896421432495117","2.4896421432495117"
"64","2.4720795154571533","2.4720795154571533","2.4720795154571533"
"65","2.4475769996643066","2.4475769996643066","2.4475769996643066"
"66","2.4404897689819336","2.4404897689819336","2.4404897689819336"
"67","2.450437545776367","2.450437545776367","2.450437545776367"
"68","2.4274141788482666","2.4274141788482666","2.4274141788482666"
"69","2.4505860805511475","2.4505860805511475","2.4505860805511475"
"70","2.4054455757141113","2.4054455757141113","2.4054455757141113"
"71","2.458052635192871","2.458052635192871","2.458052635192871"
"72","2.4394350051879883","2.4394350051879883","2.4394350051879883"
"73","2.45430850982666","2.45430850982666","2.45430850982666"
"74","2.4158623218536377","2.4158623218536377","2.4158623218536377"
"75","2.405756950378418","2.405756950378418","2.405756950378418"
"76","2.428156614303589","2.428156614303589","2.428156614303589"
"77","2.424773693084717","2.424773693084717","2.424773693084717"
"78","2.4043161869049072","2.4043161869049072","2.4043161869049072"
"79","2.41229248046875","2.41229248046875","2.41229248046875"
"80","2.389979600906372","2.389979600906372","2.389979600906372"
"81","2.4097347259521484","2.4097347259521484","2.4097347259521484"
"82","2.414900302886963","2.414900302886963","2.414900302886963"
"83","2.366441011428833","2.366441011428833","2.366441011428833"
"84","2.4020485877990723","2.4020485877990723","2.4020485877990723"
"85","2.400601625442505","2.400601625442505","2.400601625442505"
"86","2.3944761753082275","2.3944761753082275","2.3944761753082275"
"87","2.4101109504699707","2.4101109504699707","2.4101109504699707"
"88","2.3953323364257812","2.3953323364257812","2.3953323364257812"
"89","2.3558127880096436","2.3558127880096436","2.3558127880096436"
"90","2.3895516395568848","2.3895516395568848","2.3895516395568848"
"91","2.4434497356414795","2.4434497356414795","2.4434497356414795"
"92","2.4175424575805664","2.4175424575805664","2.4175424575805664"
"93","2.406083583831787","2.406083583831787","2.406083583831787"
"94","2.382481098175049","2.382481098175049","2.382481098175049"
"95","2.3847315311431885","2.3847315311431885","2.3847315311431885"
"96","2.4061474800109863","2.4061474800109863","2.4061474800109863"
"97","2.377955913543701","2.377955913543701","2.377955913543701"
"98","2.4014477729797363","2.4014477729797363","2.4014477729797363"
"99","2.390340566635132","2.390340566635132","2.390340566635132"
"100","2.4124882221221924","2.4124882221221924","2.4124882221221924"
"101","2.426471710205078","2.426471710205078","2.426471710205078"
"102","2.402878522872925","2.402878522872925","2.402878522872925"
"103","2.3576886653900146","2.3576886653900146","2.3576886653900146"
"104","2.3954055309295654","2.3954055309295654","2.3954055309295654"
"105","2.4184741973876953","2.4184741973876953","2.4184741973876953"
"106","2.340670585632324","2.340670585632324","2.340670585632324"
"107","2.382434368133545","2.382434368133545","2.382434368133545"
"108","2.300201416015625","2.300201416015625","2.300201416015625"
"109","2.4086122512817383","2.4086122512817383","2.4086122512817383"
"110","2.371856451034546","2.371856451034546","2.371856451034546"
"111","2.3988611698150635","2.3988611698150635","2.3988611698150635"
"112","2.422025680541992","2.422025680541992","2.422025680541992"
"113","2.359513521194458","2.359513521194458","2.359513521194458"
"114","2.384547233581543","2.384547233581543","2.384547233581543"
"115","2.3568379878997803","2.3568379878997803","2.3568379878997803"
"116","2.4038825035095215","2.4038825035095215","2.4038825035095215"
"117","2.4303641319274902","2.4303641319274902","2.4303641319274902"
"118","2.3551814556121826","2.3551814556121826","2.3551814556121826"
"119","2.3645739555358887","2.3645739555358887","2.3645739555358887"
"120","2.3526318073272705","2.3526318073272705","2.3526318073272705"
"121","2.347867488861084","2.347867488861084","2.347867488861084"
"122","2.3513023853302","2.3513023853302","2.3513023853302"
"123","2.3235793113708496","2.3235793113708496","2.3235793113708496"
"124","2.331632137298584","2.331632137298584","2.331632137298584"
"125","2.342735528945923","2.342735528945923","2.342735528945923"
"126","2.326632022857666","2.326632022857666","2.326632022857666"
"127","2.3569376468658447","2.3569376468658447","2.3569376468658447"
"128","2.308738946914673","2.308738946914673","2.308738946914673"
"129","2.3286428451538086","2.3286428451538086","2.3286428451538086"
"130","2.305210590362549","2.305210590362549","2.305210590362549"
"131","2.3493149280548096","2.3493149280548096","2.3493149280548096"
"132","2.27980375289917","2.27980375289917","2.27980375289917"
"133","2.3115029335021973","2.3115029335021973","2.3115029335021973"
"134","2.29225492477417","2.29225492477417","2.29225492477417"
"135","2.279155731201172","2.279155731201172","2.279155731201172"
"136","2.341904640197754","2.341904640197754","2.341904640197754"
"137","2.295718193054199","2.295718193054199","2.295718193054199"
"138","2.330345630645752","2.330345630645752","2.330345630645752"
"139","2.310267686843872","2.310267686843872","2.310267686843872"
"140","2.288276433944702","2.288276433944702","2.288276433944702"
"141","2.274326801300049","2.274326801300049","2.274326801300049"
"142","2.307227611541748","2.307227611541748","2.307227611541748"
"143","2.2606353759765625","2.2606353759765625","2.2606353759765625"
"144","2.3153393268585205","2.3153393268585205","2.3153393268585205"
"145","2.334352970123291","2.334352970123291","2.334352970123291"
"146","2.2650346755981445","2.2650346755981445","2.2650346755981445"
"147","2.284491777420044","2.284491777420044","2.284491777420044"
"148","2.2800190448760986","2.2800190448760986","2.2800190448760986"
"149","2.2659177780151367","2.2659177780151367","2.2659177780151367"
"150","2.2788825035095215","2.2788825035095215","2.2788825035095215"
"151","2.269606113433838","2.269606113433838","2.269606113433838"
"152","2.281881093978882","2.281881093978882","2.281881093978882"
"153","2.2998621463775635","2.2998621463775635","2.2998621463775635"
"154","2.2720987796783447","2.2720987796783447","2.2720987796783447"
"155","2.247690200805664","2.247690200805664","2.247690200805664"
"156","2.2859139442443848","2.2859139442443848","2.2859139442443848"
