"Step","reversed_addition_medium_decoder_0 - train_acc","reversed_addition_medium_decoder_0 - train_acc__MIN","reversed_addition_medium_decoder_0 - train_acc__MAX"
"100","0.0036","0.0036","0.0036"
"200","0.0024","0.0024","0.0024"
"300","0.0056","0.0056","0.0056"
"400","0.0044","0.0044","0.0044"
"500","0.0048","0.0048","0.0048"
"600","0.0052","0.0052","0.0052"
"700","0.0104","0.0104","0.0104"
"800","0.018","0.018","0.018"
"900","0.1152","0.1152","0.1152"
"1000","0.4912","0.4912","0.4912"
"1100","0.7608","0.7608","0.7608"
"1200","0.6036","0.6036","0.6036"
"1300","0.762","0.762","0.762"
"1400","0.9508","0.9508","0.9508"
"1500","0.9592","0.9592","0.9592"
"1600","0.936","0.936","0.936"
"1700","0.936","0.936","0.936"
"1800","0.978","0.978","0.978"
"1900","0.9684","0.9684","0.9684"
"2000","0.994","0.994","0.994"
"2100","0.9824","0.9824","0.9824"
"2200","0.9892","0.9892","0.9892"
"2300","0.9852","0.9852","0.9852"
"2400","0.99","0.99","0.99"
"2500","0.9996","0.9996","0.9996"
"2600","0.994","0.994","0.994"
"2700","0.998","0.998","0.998"
"2800","0.9948","0.9948","0.9948"
"2900","0.9868","0.9868","0.9868"
"3000","0.9892","0.9892","0.9892"
"3100","0.9668","0.9668","0.9668"
"3200","0.9968","0.9968","0.9968"
"3300","0.9988","0.9988","0.9988"
"3400","0.998","0.998","0.998"
"3500","0.9968","0.9968","0.9968"
"3600","0.996","0.996","0.996"
