"Step","reversed_addition_medium_decoder_0 - val_acc","reversed_addition_medium_decoder_0 - val_acc__MIN","reversed_addition_medium_decoder_0 - val_acc__MAX"
"100","0.0009","0.0009","0.0009"
"200","0.0008","0.0008","0.0008"
"300","0.001","0.001","0.001"
"400","0.0017","0.0017","0.0017"
"500","0.0013","0.0013","0.0013"
"600","0.0026","0.0026","0.0026"
"700","0.0042","0.0042","0.0042"
"800","0.0075","0.0075","0.0075"
"900","0.0836","0.0836","0.0836"
"1000","0.4564","0.4564","0.4564"
"1100","0.7255","0.7255","0.7255"
"1200","0.5699","0.5699","0.5699"
"1300","0.7316","0.7316","0.7316"
"1400","0.9244","0.9244","0.9244"
"1500","0.9312","0.9312","0.9312"
"1600","0.9069","0.9069","0.9069"
"1700","0.8887","0.8887","0.8887"
"1800","0.9387","0.9387","0.9387"
"1900","0.9152","0.9152","0.9152"
"2000","0.9614","0.9614","0.9614"
"2100","0.9519","0.9519","0.9519"
"2200","0.9491","0.9491","0.9491"
"2300","0.942","0.942","0.942"
"2400","0.9419","0.9419","0.9419"
"2500","0.9717","0.9717","0.9717"
"2600","0.9668","0.9668","0.9668"
"2700","0.964","0.964","0.964"
"2800","0.9473","0.9473","0.9473"
"2900","0.9352","0.9352","0.9352"
"3000","0.9395","0.9395","0.9395"
"3100","0.8883","0.8883","0.8883"
"3200","0.9585","0.9585","0.9585"
"3300","0.9554","0.9554","0.9554"
"3400","0.9535","0.9535","0.9535"
"3500","0.9516","0.9516","0.9516"
"3600","0.9463","0.9463","0.9463"
