"Step","reversed_addition_medium_decoder_0 - val_loss","reversed_addition_medium_decoder_0 - val_loss__MIN","reversed_addition_medium_decoder_0 - val_loss__MAX"
"100","1.5845373833179475","1.5845373833179475","1.5845373833179475"
"200","1.541513305902481","1.541513305902481","1.541513305902481"
"300","1.505932273864746","1.505932273864746","1.505932273864746"
"400","1.4965823876857758","1.4965823876857758","1.4965823876857758"
"500","1.500055741071701","1.500055741071701","1.500055741071701"
"600","1.5079568672180175","1.5079568672180175","1.5079568672180175"
"700","1.458165887594223","1.458165887594223","1.458165887594223"
"800","1.414628701210022","1.414628701210022","1.414628701210022"
"900","1.3413715744018555","1.3413715744018555","1.3413715744018555"
"1000","1.157024564743042","1.157024564743042","1.157024564743042"
"1100","1.1084232699871064","1.1084232699871064","1.1084232699871064"
"1200","1.148007926940918","1.148007926940918","1.148007926940918"
"1300","1.1652718210220336","1.1652718210220336","1.1652718210220336"
"1400","1.2185996437072755","1.2185996437072755","1.2185996437072755"
"1500","1.3143916928768158","1.3143916928768158","1.3143916928768158"
"1600","1.52943617105484","1.52943617105484","1.52943617105484"
"1700","1.8100441908836364","1.8100441908836364","1.8100441908836364"
"1800","2.1656918954849242","2.1656918954849242","2.1656918954849242"
"1900","2.215297853946686","2.215297853946686","2.215297853946686"
"2000","2.465236096382141","2.465236096382141","2.465236096382141"
"2100","2.492006301879883","2.492006301879883","2.492006301879883"
"2200","2.613342778682709","2.613342778682709","2.613342778682709"
"2300","2.6939190316200254","2.6939190316200254","2.6939190316200254"
"2400","2.677383208274841","2.677383208274841","2.677383208274841"
"2500","2.7399957585334778","2.7399957585334778","2.7399957585334778"
"2600","2.80797235250473","2.80797235250473","2.80797235250473"
"2700","2.890289387702942","2.890289387702942","2.890289387702942"
"2800","2.864910283088684","2.864910283088684","2.864910283088684"
"2900","2.916215636730194","2.916215636730194","2.916215636730194"
"3000","2.9690788698196413","2.9690788698196413","2.9690788698196413"
"3100","2.944006309509277","2.944006309509277","2.944006309509277"
"3200","3.0475970244407655","3.0475970244407655","3.0475970244407655"
"3300","3.175052511692047","3.175052511692047","3.175052511692047"
"3400","3.13184579372406","3.13184579372406","3.13184579372406"
"3500","3.1168724632263185","3.1168724632263185","3.1168724632263185"
"3600","3.21812025308609","3.21812025308609","3.21812025308609"
