"Step","reversed_addition_medium_encoder_0 - train_acc","reversed_addition_medium_encoder_0 - train_acc__MIN","reversed_addition_medium_encoder_0 - train_acc__MAX"
"100","0","0","0"
"200","0.0048","0.0048","0.0048"
"300","0.0048","0.0048","0.0048"
"400","0.0056","0.0056","0.0056"
"500","0.0036","0.0036","0.0036"
"600","0.0068","0.0068","0.0068"
"700","0.0056","0.0056","0.0056"
"800","0.0128","0.0128","0.0128"
"900","0.02","0.02","0.02"
"1000","0.148","0.148","0.148"
"1100","0.8004","0.8004","0.8004"
"1200","0.7052","0.7052","0.7052"
"1300","0.8696","0.8696","0.8696"
"1400","0.9452","0.9452","0.9452"
"1500","0.8232","0.8232","0.8232"
"1600","0.926","0.926","0.926"
"1700","0.94","0.94","0.94"
"1800","0.934","0.934","0.934"
"1900","0.922","0.922","0.922"
"2000","0.9716","0.9716","0.9716"
"2100","0.966","0.966","0.966"
"2200","0.9812","0.9812","0.9812"
"2300","0.9628","0.9628","0.9628"
"2400","0.9672","0.9672","0.9672"
"2500","0.9764","0.9764","0.9764"
"2600","0.9844","0.9844","0.9844"
"2700","0.99","0.99","0.99"
"2800","0.9932","0.9932","0.9932"
"2900","0.992","0.992","0.992"
"3000","0.9788","0.9788","0.9788"
"3100","0.9936","0.9936","0.9936"
"3200","0.984","0.984","0.984"
"3300","0.994","0.994","0.994"
"3400","0.9904","0.9904","0.9904"
"3500","0.9908","0.9908","0.9908"
"3600","0.9904","0.9904","0.9904"
"3700","0.9944","0.9944","0.9944"
"3800","0.996","0.996","0.996"
"3900","0.996","0.996","0.996"
