"Step","reversed_addition_medium_encoder_0 - val_acc","reversed_addition_medium_encoder_0 - val_acc__MIN","reversed_addition_medium_encoder_0 - val_acc__MAX"
"100","0.0003","0.0003","0.0003"
"200","0.0013","0.0013","0.0013"
"300","0.0009","0.0009","0.0009"
"400","0.0022","0.0022","0.0022"
"500","0.0018","0.0018","0.0018"
"600","0.0018","0.0018","0.0018"
"700","0.0038","0.0038","0.0038"
"800","0.0047","0.0047","0.0047"
"900","0.0149","0.0149","0.0149"
"1000","0.1134","0.1134","0.1134"
"1100","0.7691","0.7691","0.7691"
"1200","0.6719","0.6719","0.6719"
"1300","0.8469","0.8469","0.8469"
"1400","0.9277","0.9277","0.9277"
"1500","0.7856","0.7856","0.7856"
"1600","0.8851","0.8851","0.8851"
"1700","0.8992","0.8992","0.8992"
"1800","0.8728","0.8728","0.8728"
"1900","0.875","0.875","0.875"
"2000","0.9068","0.9068","0.9068"
"2100","0.9084","0.9084","0.9084"
"2200","0.9261","0.9261","0.9261"
"2300","0.9028","0.9028","0.9028"
"2400","0.9026","0.9026","0.9026"
"2500","0.9294","0.9294","0.9294"
"2600","0.929","0.929","0.929"
"2700","0.9374","0.9374","0.9374"
"2800","0.9381","0.9381","0.9381"
"2900","0.9361","0.9361","0.9361"
"3000","0.9311","0.9311","0.9311"
"3100","0.9371","0.9371","0.9371"
"3200","0.9247","0.9247","0.9247"
"3300","0.9412","0.9412","0.9412"
"3400","0.9329","0.9329","0.9329"
"3500","0.9238","0.9238","0.9238"
"3600","0.9308","0.9308","0.9308"
"3700","0.9323","0.9323","0.9323"
"3800","0.9351","0.9351","0.9351"
"3900","0.9328","0.9328","0.9328"
