"Step","reversed_addition_medium_encoder_0 - val_loss","reversed_addition_medium_encoder_0 - val_loss__MIN","reversed_addition_medium_encoder_0 - val_loss__MAX"
"100","1.743623387813568","1.743623387813568","1.743623387813568"
"200","1.5258640766143798","1.5258640766143798","1.5258640766143798"
"300","1.5051856243610382","1.5051856243610382","1.5051856243610382"
"400","1.4994485569000244","1.4994485569000244","1.4994485569000244"
"500","1.5017955112457275","1.5017955112457275","1.5017955112457275"
"600","1.4934575617313386","1.4934575617313386","1.4934575617313386"
"700","1.4532329726219178","1.4532329726219178","1.4532329726219178"
"800","1.4180526089668275","1.4180526089668275","1.4180526089668275"
"900","1.4080396068096162","1.4080396068096162","1.4080396068096162"
"1000","1.2591076242923736","1.2591076242923736","1.2591076242923736"
"1100","1.1159779727458954","1.1159779727458954","1.1159779727458954"
"1200","1.1000315487384795","1.1000315487384795","1.1000315487384795"
"1300","1.0933669686317444","1.0933669686317444","1.0933669686317444"
"1400","1.0875227904319764","1.0875227904319764","1.0875227904319764"
"1500","1.1155931770801544","1.1155931770801544","1.1155931770801544"
"1600","1.1311213099956512","1.1311213099956512","1.1311213099956512"
"1700","1.1794381725788117","1.1794381725788117","1.1794381725788117"
"1800","1.3297101318836213","1.3297101318836213","1.3297101318836213"
"1900","1.6090861785411834","1.6090861785411834","1.6090861785411834"
"2000","1.99394233584404","1.99394233584404","1.99394233584404"
"2100","2.318131010532379","2.318131010532379","2.318131010532379"
"2200","2.470158622264862","2.470158622264862","2.470158622264862"
"2300","2.5414487433433535","2.5414487433433535","2.5414487433433535"
"2400","2.656069793701172","2.656069793701172","2.656069793701172"
"2500","2.657574815750122","2.657574815750122","2.657574815750122"
"2600","2.755507080554962","2.755507080554962","2.755507080554962"
"2700","2.819601318836212","2.819601318836212","2.819601318836212"
"2800","2.907887077331543","2.907887077331543","2.907887077331543"
"2900","2.8211956143379213","2.8211956143379213","2.8211956143379213"
"3000","2.959083545207977","2.959083545207977","2.959083545207977"
"3100","2.968745536804199","2.968745536804199","2.968745536804199"
"3200","3.0440450263023378","3.0440450263023378","3.0440450263023378"
"3300","3.0680482506752016","3.0680482506752016","3.0680482506752016"
"3400","3.0627018427848816","3.0627018427848816","3.0627018427848816"
"3500","3.0889521765708925","3.0889521765708925","3.0889521765708925"
"3600","3.1276213049888613","3.1276213049888613","3.1276213049888613"
"3700","3.1719653463363646","3.1719653463363646","3.1719653463363646"
"3800","3.167061274051666","3.167061274051666","3.167061274051666"
"3900","3.235454246997833","3.235454246997833","3.235454246997833"
