"Step","reversed_addition_small_decoder_0 - train_acc","reversed_addition_small_decoder_0 - train_acc__MIN","reversed_addition_small_decoder_0 - train_acc__MAX"
"100","0.0012","0.0012","0.0012"
"200","0.0032","0.0032","0.0032"
"300","0.0036","0.0036","0.0036"
"400","0.0052","0.0052","0.0052"
"500","0.0076","0.0076","0.0076"
"600","0.0056","0.0056","0.0056"
"700","0.0048","0.0048","0.0048"
"800","0.0064","0.0064","0.0064"
"900","0.014","0.014","0.014"
"1000","0.0384","0.0384","0.0384"
"1100","0.0288","0.0288","0.0288"
"1200","0.0952","0.0952","0.0952"
"1300","0.1032","0.1032","0.1032"
"1400","0.15","0.15","0.15"
"1500","0.2032","0.2032","0.2032"
"1600","0.3556","0.3556","0.3556"
"1700","0.396","0.396","0.396"
"1800","0.7132","0.7132","0.7132"
"1900","0.8676","0.8676","0.8676"
"2000","0.7688","0.7688","0.7688"
"2100","0.8656","0.8656","0.8656"
"2200","0.8648","0.8648","0.8648"
"2300","0.8892","0.8892","0.8892"
"2400","0.8976","0.8976","0.8976"
"2500","0.922","0.922","0.922"
"2600","0.9228","0.9228","0.9228"
"2700","0.8636","0.8636","0.8636"
"2800","0.9372","0.9372","0.9372"
"2900","0.9304","0.9304","0.9304"
"3000","0.9496","0.9496","0.9496"
"3100","0.9448","0.9448","0.9448"
"3200","0.9392","0.9392","0.9392"
"3300","0.9568","0.9568","0.9568"
"3400","0.9532","0.9532","0.9532"
"3500","0.9528","0.9528","0.9528"
"3600","0.9624","0.9624","0.9624"
"3700","0.9572","0.9572","0.9572"
"3800","0.9676","0.9676","0.9676"
"3900","0.9648","0.9648","0.9648"
"4000","0.9656","0.9656","0.9656"
"4100","0.9732","0.9732","0.9732"
"4200","0.9748","0.9748","0.9748"
"4300","0.9688","0.9688","0.9688"
"4400","0.976","0.976","0.976"
"4500","0.9748","0.9748","0.9748"
"4600","0.9724","0.9724","0.9724"
"4700","0.9764","0.9764","0.9764"
"4800","0.9784","0.9784","0.9784"
