"Step","reversed_addition_small_decoder_0 - val_acc","reversed_addition_small_decoder_0 - val_acc__MIN","reversed_addition_small_decoder_0 - val_acc__MAX"
"100","0.0009","0.0009","0.0009"
"200","0.0009","0.0009","0.0009"
"300","0.0006","0.0006","0.0006"
"400","0.0006","0.0006","0.0006"
"500","0.0014","0.0014","0.0014"
"600","0.002","0.002","0.002"
"700","0.0023","0.0023","0.0023"
"800","0.0027","0.0027","0.0027"
"900","0.0047","0.0047","0.0047"
"1000","0.018","0.018","0.018"
"1100","0.0144","0.0144","0.0144"
"1200","0.051","0.051","0.051"
"1300","0.0594","0.0594","0.0594"
"1400","0.0879","0.0879","0.0879"
"1500","0.1297","0.1297","0.1297"
"1600","0.2849","0.2849","0.2849"
"1700","0.3387","0.3387","0.3387"
"1800","0.6224","0.6224","0.6224"
"1900","0.7912","0.7912","0.7912"
"2000","0.7081","0.7081","0.7081"
"2100","0.7958","0.7958","0.7958"
"2200","0.7953","0.7953","0.7953"
"2300","0.8219","0.8219","0.8219"
"2400","0.8054","0.8054","0.8054"
"2500","0.846","0.846","0.846"
"2600","0.8216","0.8216","0.8216"
"2700","0.7825","0.7825","0.7825"
"2800","0.8255","0.8255","0.8255"
"2900","0.8186","0.8186","0.8186"
"3000","0.8399","0.8399","0.8399"
"3100","0.8192","0.8192","0.8192"
"3200","0.8066","0.8066","0.8066"
"3300","0.8353","0.8353","0.8353"
"3400","0.8247","0.8247","0.8247"
"3500","0.8263","0.8263","0.8263"
"3600","0.8332","0.8332","0.8332"
"3700","0.8233","0.8233","0.8233"
"3800","0.834","0.834","0.834"
"3900","0.8309","0.8309","0.8309"
"4000","0.8208","0.8208","0.8208"
"4100","0.8327","0.8327","0.8327"
"4200","0.8302","0.8302","0.8302"
"4300","0.8237","0.8237","0.8237"
"4400","0.8225","0.8225","0.8225"
"4500","0.8245","0.8245","0.8245"
"4600","0.8252","0.8252","0.8252"
"4700","0.8324","0.8324","0.8324"
"4800","0.8253","0.8253","0.8253"
