"Step","reversed_addition_small_decoder_0 - val_loss","reversed_addition_small_decoder_0 - val_loss__MIN","reversed_addition_small_decoder_0 - val_loss__MAX"
"100","1.6919230604171753","1.6919230604171753","1.6919230604171753"
"200","1.5402473986148835","1.5402473986148835","1.5402473986148835"
"300","1.5310529172420502","1.5310529172420502","1.5310529172420502"
"400","1.5113997948169708","1.5113997948169708","1.5113997948169708"
"500","1.5123072135448457","1.5123072135448457","1.5123072135448457"
"600","1.4920969307422638","1.4920969307422638","1.4920969307422638"
"700","1.496864618062973","1.496864618062973","1.496864618062973"
"800","1.4790681266784669","1.4790681266784669","1.4790681266784669"
"900","1.453113502264023","1.453113502264023","1.453113502264023"
"1000","1.3924996423721314","1.3924996423721314","1.3924996423721314"
"1100","1.370678209066391","1.370678209066391","1.370678209066391"
"1200","1.3306972551345826","1.3306972551345826","1.3306972551345826"
"1300","1.3133208405971528","1.3133208405971528","1.3133208405971528"
"1400","1.291555289030075","1.291555289030075","1.291555289030075"
"1500","1.2717572903633119","1.2717572903633119","1.2717572903633119"
"1600","1.189138365983963","1.189138365983963","1.189138365983963"
"1700","1.200209118127823","1.200209118127823","1.200209118127823"
"1800","1.1529617738723754","1.1529617738723754","1.1529617738723754"
"1900","1.131990884542465","1.131990884542465","1.131990884542465"
"2000","1.1349618744850158","1.1349618744850158","1.1349618744850158"
"2100","1.1332980060577393","1.1332980060577393","1.1332980060577393"
"2200","1.1319512796401978","1.1319512796401978","1.1319512796401978"
"2300","1.1266794717311859","1.1266794717311859","1.1266794717311859"
"2400","1.1481850337982178","1.1481850337982178","1.1481850337982178"
"2500","1.1742119526863097","1.1742119526863097","1.1742119526863097"
"2600","1.1829292476177216","1.1829292476177216","1.1829292476177216"
"2700","1.246096875667572","1.246096875667572","1.246096875667572"
"2800","1.2733669090270996","1.2733669090270996","1.2733669090270996"
"2900","1.3243774449825287","1.3243774449825287","1.3243774449825287"
"3000","1.3702996265888214","1.3702996265888214","1.3702996265888214"
"3100","1.4621801888942718","1.4621801888942718","1.4621801888942718"
"3200","1.5030124866962433","1.5030124866962433","1.5030124866962433"
"3300","1.6177533292770385","1.6177533292770385","1.6177533292770385"
"3400","1.6752180576324462","1.6752180576324462","1.6752180576324462"
"3500","1.7748643922805787","1.7748643922805787","1.7748643922805787"
"3600","1.8480694305896759","1.8480694305896759","1.8480694305896759"
"3700","1.9342024803161622","1.9342024803161622","1.9342024803161622"
"3800","2.0515167140960693","2.0515167140960693","2.0515167140960693"
"3900","2.1140899515151976","2.1140899515151976","2.1140899515151976"
"4000","2.196510648727417","2.196510648727417","2.196510648727417"
"4100","2.2904670429229737","2.2904670429229737","2.2904670429229737"
"4200","2.3695058631896972","2.3695058631896972","2.3695058631896972"
"4300","2.405588057041168","2.405588057041168","2.405588057041168"
"4400","2.498728804588318","2.498728804588318","2.498728804588318"
"4500","2.552243230342865","2.552243230342865","2.552243230342865"
"4600","2.594673116207123","2.594673116207123","2.594673116207123"
"4700","2.5975082755088805","2.5975082755088805","2.5975082755088805"
"4800","2.6671204733848572","2.6671204733848572","2.6671204733848572"
