"Step","reversed_addition_small_encoder_0 - train_acc","reversed_addition_small_encoder_0 - train_acc__MIN","reversed_addition_small_encoder_0 - train_acc__MAX"
"100","0.0004","0.0004","0.0004"
"200","0.004","0.004","0.004"
"300","0.0056","0.0056","0.0056"
"400","0.002","0.002","0.002"
"500","0.0028","0.0028","0.0028"
"600","0.0072","0.0072","0.0072"
"700","0.0072","0.0072","0.0072"
"800","0.0108","0.0108","0.0108"
"900","0.01","0.01","0.01"
"1000","0.02","0.02","0.02"
"1100","0.0204","0.0204","0.0204"
"1200","0.0188","0.0188","0.0188"
"1300","0.1768","0.1768","0.1768"
"1400","0.4928","0.4928","0.4928"
"1500","0.772","0.772","0.772"
"1600","0.8776","0.8776","0.8776"
"1700","0.8172","0.8172","0.8172"
"1800","0.9688","0.9688","0.9688"
"1900","0.9164","0.9164","0.9164"
"2000","0.9472","0.9472","0.9472"
"2100","0.8408","0.8408","0.8408"
"2200","0.9512","0.9512","0.9512"
"2300","0.9632","0.9632","0.9632"
"2400","0.9528","0.9528","0.9528"
"2500","0.9644","0.9644","0.9644"
"2600","0.95","0.95","0.95"
"2700","0.9544","0.9544","0.9544"
"2800","0.9528","0.9528","0.9528"
"2900","0.9468","0.9468","0.9468"
"3000","0.9748","0.9748","0.9748"
"3100","0.9648","0.9648","0.9648"
"3200","0.9868","0.9868","0.9868"
"3300","0.9764","0.9764","0.9764"
"3400","0.9748","0.9748","0.9748"
"3500","0.9848","0.9848","0.9848"
"3600","0.9856","0.9856","0.9856"
"3700","0.9844","0.9844","0.9844"
"3800","0.9828","0.9828","0.9828"
"3900","0.9944","0.9944","0.9944"
"4000","0.9928","0.9928","0.9928"
"4100","0.9924","0.9924","0.9924"
