"Step","reversed_addition_small_encoder_0 - val_acc","reversed_addition_small_encoder_0 - val_acc__MIN","reversed_addition_small_encoder_0 - val_acc__MAX"
"100","0.0002","0.0002","0.0002"
"200","0.0008","0.0008","0.0008"
"300","0.0004","0.0004","0.0004"
"400","0.0009","0.0009","0.0009"
"500","0.0019","0.0019","0.0019"
"600","0.0015","0.0015","0.0015"
"700","0.0017","0.0017","0.0017"
"800","0.0057","0.0057","0.0057"
"900","0.0059","0.0059","0.0059"
"1000","0.008","0.008","0.008"
"1100","0.0081","0.0081","0.0081"
"1200","0.0109","0.0109","0.0109"
"1300","0.1586","0.1586","0.1586"
"1400","0.4832","0.4832","0.4832"
"1500","0.7484","0.7484","0.7484"
"1600","0.8537","0.8537","0.8537"
"1700","0.7833","0.7833","0.7833"
"1800","0.9453","0.9453","0.9453"
"1900","0.8847","0.8847","0.8847"
"2000","0.8963","0.8963","0.8963"
"2100","0.7891","0.7891","0.7891"
"2200","0.9073","0.9073","0.9073"
"2300","0.9088","0.9088","0.9088"
"2400","0.8972","0.8972","0.8972"
"2500","0.9041","0.9041","0.9041"
"2600","0.8896","0.8896","0.8896"
"2700","0.8816","0.8816","0.8816"
"2800","0.8714","0.8714","0.8714"
"2900","0.8742","0.8742","0.8742"
"3000","0.9006","0.9006","0.9006"
"3100","0.8893","0.8893","0.8893"
"3200","0.907","0.907","0.907"
"3300","0.8894","0.8894","0.8894"
"3400","0.8913","0.8913","0.8913"
"3500","0.8983","0.8983","0.8983"
"3600","0.9022","0.9022","0.9022"
"3700","0.9073","0.9073","0.9073"
"3800","0.8985","0.8985","0.8985"
"3900","0.911","0.911","0.911"
"4000","0.9163","0.9163","0.9163"
"4100","0.9117","0.9117","0.9117"
