"Step","reversed_addition_small_encoder_0 - val_loss","reversed_addition_small_encoder_0 - val_loss__MIN","reversed_addition_small_encoder_0 - val_loss__MAX"
"100","1.8064344549179077","1.8064344549179077","1.8064344549179077"
"200","1.5901051259040833","1.5901051259040833","1.5901051259040833"
"300","1.5365873968601227","1.5365873968601227","1.5365873968601227"
"400","1.96640970826149","1.96640970826149","1.96640970826149"
"500","1.5031626319885254","1.5031626319885254","1.5031626319885254"
"600","1.4962290167808532","1.4962290167808532","1.4962290167808532"
"700","1.4975140941143037","1.4975140941143037","1.4975140941143037"
"800","1.4427029442787171","1.4427029442787171","1.4427029442787171"
"900","1.4094308471679688","1.4094308471679688","1.4094308471679688"
"1000","1.3902139961719513","1.3902139961719513","1.3902139961719513"
"1100","1.3866881620883942","1.3866881620883942","1.3866881620883942"
"1200","1.375214216709137","1.375214216709137","1.375214216709137"
"1300","1.267176411151886","1.267176411151886","1.267176411151886"
"1400","1.167541093826294","1.167541093826294","1.167541093826294"
"1500","1.1277190959453582","1.1277190959453582","1.1277190959453582"
"1600","1.0988876128196716","1.0988876128196716","1.0988876128196716"
"1700","1.1163086295127869","1.1163086295127869","1.1163086295127869"
"1800","1.1035775661468505","1.1035775661468505","1.1035775661468505"
"1900","1.134071707725525","1.134071707725525","1.134071707725525"
"2000","1.1651871383190155","1.1651871383190155","1.1651871383190155"
"2100","1.220798258781433","1.220798258781433","1.220798258781433"
"2200","1.248952478170395","1.248952478170395","1.248952478170395"
"2300","1.3242934942245483","1.3242934942245483","1.3242934942245483"
"2400","1.4102367532253266","1.4102367532253266","1.4102367532253266"
"2500","1.5245183777809144","1.5245183777809144","1.5245183777809144"
"2600","1.6500280570983887","1.6500280570983887","1.6500280570983887"
"2700","1.8216758811473845","1.8216758811473845","1.8216758811473845"
"2800","1.9608015882968903","1.9608015882968903","1.9608015882968903"
"2900","2.0689289224147798","2.0689289224147798","2.0689289224147798"
"3000","2.1692023944854735","2.1692023944854735","2.1692023944854735"
"3100","2.3110839247703554","2.3110839247703554","2.3110839247703554"
"3200","2.3823681712150573","2.3823681712150573","2.3823681712150573"
"3300","2.435813055038452","2.435813055038452","2.435813055038452"
"3400","2.4829772877693177","2.4829772877693177","2.4829772877693177"
"3500","2.5295286536216737","2.5295286536216737","2.5295286536216737"
"3600","2.5613649010658266","2.5613649010658266","2.5613649010658266"
"3700","2.581280245780945","2.581280245780945","2.581280245780945"
"3800","2.635316698551178","2.635316698551178","2.635316698551178"
"3900","2.662797029018402","2.662797029018402","2.662797029018402"
"4000","2.7022839283943174","2.7022839283943174","2.7022839283943174"
"4100","2.732439489364624","2.732439489364624","2.732439489364624"
