"Step","shakespeare_small_encoder_0 - val_loss","shakespeare_small_encoder_0 - val_loss__MIN","shakespeare_small_encoder_0 - val_loss__MAX"
"100","2.5580121302604675","2.5580121302604675","2.5580121302604675"
"200","2.3266592121124265","2.3266592121124265","2.3266592121124265"
"300","2.1154696488380433","2.1154696488380433","2.1154696488380433"
"400","2.0169771122932434","2.0169771122932434","2.0169771122932434"
"500","1.9351358699798584","1.9351358699798584","1.9351358699798584"
"600","1.8788423550128937","1.8788423550128937","1.8788423550128937"
"700","1.8407001662254334","1.8407001662254334","1.8407001662254334"
"800","1.8142796325683594","1.8142796325683594","1.8142796325683594"
"900","1.7842455947399138","1.7842455947399138","1.7842455947399138"
"1000","1.7777834904193879","1.7777834904193879","1.7777834904193879"
"1100","1.7512175858020782","1.7512175858020782","1.7512175858020782"
"1200","1.745131596326828","1.745131596326828","1.745131596326828"
"1300","1.7342313039302826","1.7342313039302826","1.7342313039302826"
"1400","1.7178017318248748","1.7178017318248748","1.7178017318248748"
"1500","1.695450038909912","1.695450038909912","1.695450038909912"
"1600","1.6989081954956056","1.6989081954956056","1.6989081954956056"
"1700","1.6867381882667543","1.6867381882667543","1.6867381882667543"
"1800","1.6883113849163056","1.6883113849163056","1.6883113849163056"
"1900","1.6795768058300018","1.6795768058300018","1.6795768058300018"
"2000","1.6668063116073608","1.6668063116073608","1.6668063116073608"
"2100","1.6630309927463531","1.6630309927463531","1.6630309927463531"
"2200","1.6680042016506196","1.6680042016506196","1.6680042016506196"
"2300","1.6595601785182952","1.6595601785182952","1.6595601785182952"
"2400","1.6541027414798737","1.6541027414798737","1.6541027414798737"
"2500","1.6492137813568115","1.6492137813568115","1.6492137813568115"
"2600","1.642127104997635","1.642127104997635","1.642127104997635"
"2700","1.6334672689437866","1.6334672689437866","1.6334672689437866"
"2800","1.636891691684723","1.636891691684723","1.636891691684723"
"2900","1.6470268750190735","1.6470268750190735","1.6470268750190735"
"3000","1.630631958246231","1.630631958246231","1.630631958246231"
"3100","1.635840766429901","1.635840766429901","1.635840766429901"
"3200","1.6412609660625457","1.6412609660625457","1.6412609660625457"
"3300","1.631263564825058","1.631263564825058","1.631263564825058"
"3400","1.6344146275520324","1.6344146275520324","1.6344146275520324"
"3500","1.6374320232868194","1.6374320232868194","1.6374320232868194"
"3600","1.6264756429195404","1.6264756429195404","1.6264756429195404"
"3700","1.6302843153476716","1.6302843153476716","1.6302843153476716"
"3800","1.6425902473926544","1.6425902473926544","1.6425902473926544"
"3900","1.6276678037643433","1.6276678037643433","1.6276678037643433"
"4000","1.632581820487976","1.632581820487976","1.632581820487976"
"4100","1.6259745454788208","1.6259745454788208","1.6259745454788208"
"4200","1.633033699989319","1.633033699989319","1.633033699989319"
"4300","1.6251699197292329","1.6251699197292329","1.6251699197292329"
"4400","1.632019227743149","1.632019227743149","1.632019227743149"
"4500","1.6282038855552674","1.6282038855552674","1.6282038855552674"
"4600","1.6247367691993713","1.6247367691993713","1.6247367691993713"
"4700","1.6291895592212677","1.6291895592212677","1.6291895592212677"
"4800","1.6337754762172698","1.6337754762172698","1.6337754762172698"
"4900","1.639963458776474","1.639963458776474","1.639963458776474"
"5000","1.6358164143562317","1.6358164143562317","1.6358164143562317"
"5100","1.6294921219348908","1.6294921219348908","1.6294921219348908"
"5200","1.6359810042381286","1.6359810042381286","1.6359810042381286"
"5300","1.6374106323719024","1.6374106323719024","1.6374106323719024"
"5400","1.646024730205536","1.646024730205536","1.646024730205536"
"5500","1.6351170575618743","1.6351170575618743","1.6351170575618743"
"5600","1.6274340772628784","1.6274340772628784","1.6274340772628784"
