"Step","shakespeare_medium_decoder_0 - val_loss","shakespeare_medium_decoder_0 - val_loss__MIN","shakespeare_medium_decoder_0 - val_loss__MAX"
"100","2.4043798518180846","2.4043798518180846","2.4043798518180846"
"200","2.108889756202698","2.108889756202698","2.108889756202698"
"300","1.9782235038280487","1.9782235038280487","1.9782235038280487"
"400","1.9087005007266997","1.9087005007266997","1.9087005007266997"
"500","1.8459676790237427","1.8459676790237427","1.8459676790237427"
"600","1.7920959675312043","1.7920959675312043","1.7920959675312043"
"700","1.769671882390976","1.769671882390976","1.769671882390976"
"800","1.739355869293213","1.739355869293213","1.739355869293213"
"900","1.7242241489887238","1.7242241489887238","1.7242241489887238"
"1000","1.715412837266922","1.715412837266922","1.715412837266922"
"1100","1.6860869765281676","1.6860869765281676","1.6860869765281676"
"1200","1.697737478017807","1.697737478017807","1.697737478017807"
"1300","1.6638004553318024","1.6638004553318024","1.6638004553318024"
"1400","1.686705974340439","1.686705974340439","1.686705974340439"
"1500","1.6528478419780732","1.6528478419780732","1.6528478419780732"
"1600","1.6569623732566834","1.6569623732566834","1.6569623732566834"
"1700","1.6402130365371703","1.6402130365371703","1.6402130365371703"
"1800","1.644574418067932","1.644574418067932","1.644574418067932"
"1900","1.6461613881587982","1.6461613881587982","1.6461613881587982"
"2000","1.65649942278862","1.65649942278862","1.65649942278862"
"2100","1.6462454688549042","1.6462454688549042","1.6462454688549042"
"2200","1.6434454131126404","1.6434454131126404","1.6434454131126404"
"2300","1.6448260200023652","1.6448260200023652","1.6448260200023652"
"2400","1.6495206224918366","1.6495206224918366","1.6495206224918366"
"2500","1.6598444128036498","1.6598444128036498","1.6598444128036498"
"2600","1.6673608529567718","1.6673608529567718","1.6673608529567718"
"2700","1.6660994148254396","1.6660994148254396","1.6660994148254396"
