"Step","shakespeare_medium_encoder_0 - val_loss","shakespeare_medium_encoder_0 - val_loss__MIN","shakespeare_medium_encoder_0 - val_loss__MAX"
"100","2.4339399933815002","2.4339399933815002","2.4339399933815002"
"200","2.091450390815735","2.091450390815735","2.091450390815735"
"300","1.9525362050533295","1.9525362050533295","1.9525362050533295"
"400","1.8698697638511659","1.8698697638511659","1.8698697638511659"
"500","1.8240704023838044","1.8240704023838044","1.8240704023838044"
"600","1.7770558452606202","1.7770558452606202","1.7770558452606202"
"700","1.7586093485355376","1.7586093485355376","1.7586093485355376"
"800","1.7328538370132447","1.7328538370132447","1.7328538370132447"
"900","1.718905817270279","1.718905817270279","1.718905817270279"
"1000","1.7028449714183806","1.7028449714183806","1.7028449714183806"
"1100","1.683767488002777","1.683767488002777","1.683767488002777"
"1200","1.6858829855918884","1.6858829855918884","1.6858829855918884"
"1300","1.6689212036132812","1.6689212036132812","1.6689212036132812"
"1400","1.6698877108097077","1.6698877108097077","1.6698877108097077"
"1500","1.658077517747879","1.658077517747879","1.658077517747879"
"1600","1.6528343760967255","1.6528343760967255","1.6528343760967255"
"1700","1.6565197789669037","1.6565197789669037","1.6565197789669037"
"1800","1.6519758784770966","1.6519758784770966","1.6519758784770966"
"1900","1.6377497804164887","1.6377497804164887","1.6377497804164887"
"2000","1.6480025899410249","1.6480025899410249","1.6480025899410249"
"2100","1.6560420608520507","1.6560420608520507","1.6560420608520507"
"2200","1.6429473531246186","1.6429473531246186","1.6429473531246186"
"2300","1.6468153095245361","1.6468153095245361","1.6468153095245361"
"2400","1.6397086155414582","1.6397086155414582","1.6397086155414582"
"2500","1.6424636602401734","1.6424636602401734","1.6424636602401734"
"2600","1.6602677714824676","1.6602677714824676","1.6602677714824676"
"2700","1.6599385797977448","1.6599385797977448","1.6599385797977448"
"2800","1.6617930293083192","1.6617930293083192","1.6617930293083192"
"2900","1.6902741694450378","1.6902741694450378","1.6902741694450378"
