"Step","counting_extra_small_decoder_nope_perm_invariant_0 - sequence_accuracy","counting_extra_small_decoder_nope_perm_invariant_0 - sequence_accuracy__MIN","counting_extra_small_decoder_nope_perm_invariant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0.00015625","0.00015625","0.00015625"
"300","0.005","0.005","0.005"
"400","0.11609375","0.11609375","0.11609375"
"500","0.31265625","0.31265625","0.31265625"
"600","0.485","0.485","0.485"
"700","0.041875","0.041875","0.041875"
"800","0.62359375","0.62359375","0.62359375"
"900","0.5996875","0.5996875","0.5996875"
"1000","0","0","0"
"1100","0.04328125","0.04328125","0.04328125"
"1200","0.5340625","0.5340625","0.5340625"
"1300","0.23703125","0.23703125","0.23703125"
"1400","0.2040625","0.2040625","0.2040625"
"1500","0.7390625","0.7390625","0.7390625"
"1600","0.170625","0.170625","0.170625"
"1700","0.80171875","0.80171875","0.80171875"
"1800","0.0471875","0.0471875","0.0471875"
"1900","0.80984375","0.80984375","0.80984375"
"2000","0.0925","0.0925","0.0925"
"2100","0.84953125","0.84953125","0.84953125"
"2200","0.8378125","0.8378125","0.8378125"
"2300","0.0715625","0.0715625","0.0715625"
"2400","0.850625","0.850625","0.850625"
"2500","0.8528125","0.8528125","0.8528125"
"2600","0.86015625","0.86015625","0.86015625"
"2700","0.3878125","0.3878125","0.3878125"
"2800","0.7965625","0.7965625","0.7965625"
"2900","0.86921875","0.86921875","0.86921875"
"3000","0.52","0.52","0.52"
"3100","0.870625","0.870625","0.870625"
"3200","0.85625","0.85625","0.85625"
"3300","0.89703125","0.89703125","0.89703125"
"3400","0.8946875","0.8946875","0.8946875"
"3500","0.461875","0.461875","0.461875"
"3600","0.90578125","0.90578125","0.90578125"
"3700","0.85953125","0.85953125","0.85953125"
"3800","0.90546875","0.90546875","0.90546875"
"3900","0.9065625","0.9065625","0.9065625"
"4000","0.9003125","0.9003125","0.9003125"
"4100","0.90359375","0.90359375","0.90359375"
"4200","0.9215625","0.9215625","0.9215625"
"4300","0.92796875","0.92796875","0.92796875"
"4400","0.93421875","0.93421875","0.93421875"
"4500","0.925625","0.925625","0.925625"
"4600","0.9225","0.9225","0.9225"
"4700","0.93296875","0.93296875","0.93296875"
"4800","0.92546875","0.92546875","0.92546875"
"4900","0.93328125","0.93328125","0.93328125"
"5000","0.92984375","0.92984375","0.92984375"
"5100","0.93078125","0.93078125","0.93078125"
"5200","0.94796875","0.94796875","0.94796875"
"5300","0.92453125","0.92453125","0.92453125"
"5400","0.93375","0.93375","0.93375"
"5500","0.9296875","0.9296875","0.9296875"
"5600","0.94359375","0.94359375","0.94359375"
"5700","0.93921875","0.93921875","0.93921875"
"5800","0.94765625","0.94765625","0.94765625"
"5900","0.93796875","0.93796875","0.93796875"
"6000","0.93953125","0.93953125","0.93953125"
"6100","0.93484375","0.93484375","0.93484375"
"6200","0.9415625","0.9415625","0.9415625"
"6300","0.9490625","0.9490625","0.9490625"
"6400","0.94296875","0.94296875","0.94296875"
"6500","0.9465625","0.9465625","0.9465625"
"6600","0.94625","0.94625","0.94625"
"6700","0.9103125","0.9103125","0.9103125"
"6800","0.94296875","0.94296875","0.94296875"
"6900","0.9453125","0.9453125","0.9453125"
"7000","0.9509375","0.9509375","0.9509375"
"7100","0.9421875","0.9421875","0.9421875"
"7200","0.95140625","0.95140625","0.95140625"
"7300","0.93828125","0.93828125","0.93828125"
"7400","0.94625","0.94625","0.94625"
"7500","0.9496875","0.9496875","0.9496875"
"7600","0.95109375","0.95109375","0.95109375"
"7700","0.94921875","0.94921875","0.94921875"
"7800","0.944375","0.944375","0.944375"
"7900","0.820625","0.820625","0.820625"
"8000","0.94546875","0.94546875","0.94546875"
"8100","0.9528125","0.9528125","0.9528125"
"8200","0.95109375","0.95109375","0.95109375"
"8300","0.9103125","0.9103125","0.9103125"
"8400","0.939375","0.939375","0.939375"
"8500","0.95015625","0.95015625","0.95015625"
"8600","0.95203125","0.95203125","0.95203125"
"8700","0.92328125","0.92328125","0.92328125"
"8800","0.94265625","0.94265625","0.94265625"
"8900","0.95125","0.95125","0.95125"
"9000","0.95046875","0.95046875","0.95046875"
"9100","0.94234375","0.94234375","0.94234375"
"9200","0.9521875","0.9521875","0.9521875"
"9300","0.95453125","0.95453125","0.95453125"
"9400","0.959375","0.959375","0.959375"
"9500","0.95765625","0.95765625","0.95765625"
"9600","0.94546875","0.94546875","0.94546875"
"9700","0.95125","0.95125","0.95125"
"9800","0.93546875","0.93546875","0.93546875"
"9900","0.9509375","0.9509375","0.9509375"
"10000","0.9596875","0.9596875","0.9596875"
