"Step","counting_extra_small_decoder_nope_perm_variant_0 - sequence_accuracy","counting_extra_small_decoder_nope_perm_variant_0 - sequence_accuracy__MIN","counting_extra_small_decoder_nope_perm_variant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0","0","0"
"400","0","0","0"
"500","0","0","0"
"600","0","0","0"
"700","0","0","0"
"800","0.0003125","0.0003125","0.0003125"
"900","0","0","0"
"1000","0.00171875","0.00171875","0.00171875"
"1100","0.00109375","0.00109375","0.00109375"
"1200","0.01109375","0.01109375","0.01109375"
"1300","0.01015625","0.01015625","0.01015625"
"1400","0.01265625","0.01265625","0.01265625"
"1500","0.0228125","0.0228125","0.0228125"
"1600","0.03703125","0.03703125","0.03703125"
"1700","0.1234375","0.1234375","0.1234375"
"1800","0.1428125","0.1428125","0.1428125"
"1900","0.1403125","0.1403125","0.1403125"
"2000","0.11609375","0.11609375","0.11609375"
"2100","0.14703125","0.14703125","0.14703125"
"2200","0.19015625","0.19015625","0.19015625"
"2300","0.17234375","0.17234375","0.17234375"
"2400","0.1978125","0.1978125","0.1978125"
"2500","0.25796875","0.25796875","0.25796875"
"2600","0.2175","0.2175","0.2175"
"2700","0.29078125","0.29078125","0.29078125"
"2800","0.2471875","0.2471875","0.2471875"
"2900","0.33984375","0.33984375","0.33984375"
"3000","0.34546875","0.34546875","0.34546875"
"3100","0.25671875","0.25671875","0.25671875"
"3200","0.34859375","0.34859375","0.34859375"
"3300","0.36890625","0.36890625","0.36890625"
"3400","0.381875","0.381875","0.381875"
"3500","0.39203125","0.39203125","0.39203125"
"3600","0.42265625","0.42265625","0.42265625"
"3700","0.41734375","0.41734375","0.41734375"
"3800","0.44921875","0.44921875","0.44921875"
"3900","0.45546875","0.45546875","0.45546875"
"4000","0.4553125","0.4553125","0.4553125"
"4100","0.4590625","0.4590625","0.4590625"
"4200","0.460625","0.460625","0.460625"
"4300","0.4859375","0.4859375","0.4859375"
"4400","0.48625","0.48625","0.48625"
"4500","0.499375","0.499375","0.499375"
"4600","0.47421875","0.47421875","0.47421875"
"4700","0.50515625","0.50515625","0.50515625"
"4800","0.4915625","0.4915625","0.4915625"
"4900","0.5090625","0.5090625","0.5090625"
"5000","0.51828125","0.51828125","0.51828125"
"5100","0.516875","0.516875","0.516875"
"5200","0.505","0.505","0.505"
"5300","0.53375","0.53375","0.53375"
"5400","0.5490625","0.5490625","0.5490625"
"5500","0.524375","0.524375","0.524375"
"5600","0.495625","0.495625","0.495625"
"5700","0.55546875","0.55546875","0.55546875"
"5800","0.551875","0.551875","0.551875"
"5900","0.54609375","0.54609375","0.54609375"
"6000","0.53140625","0.53140625","0.53140625"
"6100","0.54015625","0.54015625","0.54015625"
"6200","0.534375","0.534375","0.534375"
"6300","0.54625","0.54625","0.54625"
"6400","0.53796875","0.53796875","0.53796875"
"6500","0.54734375","0.54734375","0.54734375"
"6600","0.55421875","0.55421875","0.55421875"
"6700","0.55078125","0.55078125","0.55078125"
"6800","0.5590625","0.5590625","0.5590625"
"6900","0.54953125","0.54953125","0.54953125"
"7000","0.56046875","0.56046875","0.56046875"
"7100","0.5475","0.5475","0.5475"
"7200","0.589375","0.589375","0.589375"
"7300","0.58125","0.58125","0.58125"
"7400","0.58390625","0.58390625","0.58390625"
"7500","0.570625","0.570625","0.570625"
"7600","0.5965625","0.5965625","0.5965625"
"7700","0.5684375","0.5684375","0.5684375"
"7800","0.56671875","0.56671875","0.56671875"
"7900","0.57671875","0.57671875","0.57671875"
"8000","0.5759375","0.5759375","0.5759375"
"8100","0.59203125","0.59203125","0.59203125"
"8200","0.595625","0.595625","0.595625"
"8300","0.5828125","0.5828125","0.5828125"
"8400","0.5828125","0.5828125","0.5828125"
"8500","0.570625","0.570625","0.570625"
"8600","0.59484375","0.59484375","0.59484375"
"8700","0.60671875","0.60671875","0.60671875"
"8800","0.596875","0.596875","0.596875"
"8900","0.59640625","0.59640625","0.59640625"
"9000","0.60421875","0.60421875","0.60421875"
"9100","0.595625","0.595625","0.595625"
"9200","0.584375","0.584375","0.584375"
"9300","0.60484375","0.60484375","0.60484375"
"9400","0.60109375","0.60109375","0.60109375"
"9500","0.59640625","0.59640625","0.59640625"
"9600","0.61015625","0.61015625","0.61015625"
"9700","0.591875","0.591875","0.591875"
"9800","0.61703125","0.61703125","0.61703125"
"9900","0.61234375","0.61234375","0.61234375"
"10000","0.60015625","0.60015625","0.60015625"
