"Step","counting_extra_small_decoder_perm_invariant_0 - sequence_accuracy","counting_extra_small_decoder_perm_invariant_0 - sequence_accuracy__MIN","counting_extra_small_decoder_perm_invariant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0.0040625","0.0040625","0.0040625"
"400","0.0396875","0.0396875","0.0396875"
"500","0.09","0.09","0.09"
"600","0.00203125","0.00203125","0.00203125"
"700","0.33","0.33","0.33"
"800","0.065","0.065","0.065"
"900","0.255","0.255","0.255"
"1000","0.48765625","0.48765625","0.48765625"
"1100","0.0021875","0.0021875","0.0021875"
"1200","0.1253125","0.1253125","0.1253125"
"1300","0.42171875","0.42171875","0.42171875"
"1400","0.54859375","0.54859375","0.54859375"
"1500","0.4640625","0.4640625","0.4640625"
"1600","0.60578125","0.60578125","0.60578125"
"1700","0.58359375","0.58359375","0.58359375"
"1800","0.655","0.655","0.655"
"1900","0.70359375","0.70359375","0.70359375"
"2000","0.75234375","0.75234375","0.75234375"
"2100","0.7071875","0.7071875","0.7071875"
"2200","0.78421875","0.78421875","0.78421875"
"2300","0.770625","0.770625","0.770625"
"2400","0.80296875","0.80296875","0.80296875"
"2500","0.78390625","0.78390625","0.78390625"
"2600","0.80734375","0.80734375","0.80734375"
"2700","0.80921875","0.80921875","0.80921875"
"2800","0.77078125","0.77078125","0.77078125"
"2900","0.8228125","0.8228125","0.8228125"
"3000","0.82859375","0.82859375","0.82859375"
"3100","0.85546875","0.85546875","0.85546875"
"3200","0.8678125","0.8678125","0.8678125"
"3300","0.884375","0.884375","0.884375"
"3400","0.69953125","0.69953125","0.69953125"
"3500","0.9171875","0.9171875","0.9171875"
"3600","0.83453125","0.83453125","0.83453125"
"3700","0.926875","0.926875","0.926875"
"3800","0.91921875","0.91921875","0.91921875"
"3900","0.92515625","0.92515625","0.92515625"
"4000","0.92","0.92","0.92"
"4100","0.93171875","0.93171875","0.93171875"
"4200","0.9253125","0.9253125","0.9253125"
"4300","0.9365625","0.9365625","0.9365625"
"4400","0.92515625","0.92515625","0.92515625"
"4500","0.91921875","0.91921875","0.91921875"
"4600","0.93765625","0.93765625","0.93765625"
"4700","0.9146875","0.9146875","0.9146875"
"4800","0.92140625","0.92140625","0.92140625"
"4900","0.92859375","0.92859375","0.92859375"
"5000","0.92484375","0.92484375","0.92484375"
"5100","0.79640625","0.79640625","0.79640625"
"5200","0.92859375","0.92859375","0.92859375"
"5300","0.9375","0.9375","0.9375"
"5400","0.92828125","0.92828125","0.92828125"
"5500","0.94390625","0.94390625","0.94390625"
"5600","0.92875","0.92875","0.92875"
"5700","0.92875","0.92875","0.92875"
"5800","0.92109375","0.92109375","0.92109375"
"5900","0.93359375","0.93359375","0.93359375"
"6000","0.931875","0.931875","0.931875"
"6100","0.92890625","0.92890625","0.92890625"
"6200","0.92796875","0.92796875","0.92796875"
"6300","0.9325","0.9325","0.9325"
"6400","0.9346875","0.9346875","0.9346875"
"6500","0.94046875","0.94046875","0.94046875"
"6600","0.93578125","0.93578125","0.93578125"
"6700","0.9390625","0.9390625","0.9390625"
"6800","0.94046875","0.94046875","0.94046875"
"6900","0.93921875","0.93921875","0.93921875"
"7000","0.93515625","0.93515625","0.93515625"
"7100","0.87359375","0.87359375","0.87359375"
"7200","0.94125","0.94125","0.94125"
"7300","0.940625","0.940625","0.940625"
"7400","0.9359375","0.9359375","0.9359375"
"7500","0.9340625","0.9340625","0.9340625"
"7600","0.93265625","0.93265625","0.93265625"
"7700","0.9396875","0.9396875","0.9396875"
"7800","0.93109375","0.93109375","0.93109375"
"7900","0.935625","0.935625","0.935625"
"8000","0.92796875","0.92796875","0.92796875"
"8100","0.94890625","0.94890625","0.94890625"
"8200","0.93984375","0.93984375","0.93984375"
"8300","0.941875","0.941875","0.941875"
"8400","0.93703125","0.93703125","0.93703125"
"8500","0.9346875","0.9346875","0.9346875"
"8600","0.9359375","0.9359375","0.9359375"
"8700","0.94125","0.94125","0.94125"
"8800","0.9390625","0.9390625","0.9390625"
"8900","0.93953125","0.93953125","0.93953125"
"9000","0.9409375","0.9409375","0.9409375"
"9100","0.93359375","0.93359375","0.93359375"
"9200","0.91734375","0.91734375","0.91734375"
"9300","0.93984375","0.93984375","0.93984375"
"9400","0.8678125","0.8678125","0.8678125"
"9500","0.94109375","0.94109375","0.94109375"
"9600","0.94578125","0.94578125","0.94578125"
"9700","0.9390625","0.9390625","0.9390625"
"9800","0.94453125","0.94453125","0.94453125"
"9900","0.94828125","0.94828125","0.94828125"
"10000","0.9421875","0.9421875","0.9421875"
