"Step","counting_extra_small_decoder_perm_variant_0 - sequence_accuracy","counting_extra_small_decoder_perm_variant_0 - sequence_accuracy__MIN","counting_extra_small_decoder_perm_variant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0","0","0"
"400","0","0","0"
"500","0","0","0"
"600","0","0","0"
"700","0","0","0"
"800","0.00078125","0.00078125","0.00078125"
"900","0.003125","0.003125","0.003125"
"1000","0.03625","0.03625","0.03625"
"1100","0.09890625","0.09890625","0.09890625"
"1200","0.015625","0.015625","0.015625"
"1300","0","0","0"
"1400","0.26546875","0.26546875","0.26546875"
"1500","0.26421875","0.26421875","0.26421875"
"1600","0.13125","0.13125","0.13125"
"1700","0.42484375","0.42484375","0.42484375"
"1800","0.000625","0.000625","0.000625"
"1900","0.51078125","0.51078125","0.51078125"
"2000","0","0","0"
"2100","0.5234375","0.5234375","0.5234375"
"2200","0.39015625","0.39015625","0.39015625"
"2300","0.5684375","0.5684375","0.5684375"
"2400","0.47953125","0.47953125","0.47953125"
"2500","0.570625","0.570625","0.570625"
"2600","0.54390625","0.54390625","0.54390625"
"2700","0.63734375","0.63734375","0.63734375"
"2800","0.64984375","0.64984375","0.64984375"
"2900","0.62796875","0.62796875","0.62796875"
"3000","0.6253125","0.6253125","0.6253125"
"3100","0.67234375","0.67234375","0.67234375"
"3200","0.67984375","0.67984375","0.67984375"
"3300","0.67171875","0.67171875","0.67171875"
"3400","0.6478125","0.6478125","0.6478125"
"3500","0.7065625","0.7065625","0.7065625"
"3600","0.650625","0.650625","0.650625"
"3700","0.7284375","0.7284375","0.7284375"
"3800","0.68953125","0.68953125","0.68953125"
"3900","0.70625","0.70625","0.70625"
"4000","0.71578125","0.71578125","0.71578125"
"4100","0.72171875","0.72171875","0.72171875"
"4200","0.71390625","0.71390625","0.71390625"
"4300","0.71109375","0.71109375","0.71109375"
"4400","0.7303125","0.7303125","0.7303125"
"4500","0.73453125","0.73453125","0.73453125"
"4600","0.7234375","0.7234375","0.7234375"
"4700","0.7409375","0.7409375","0.7409375"
"4800","0.731875","0.731875","0.731875"
"4900","0.7221875","0.7221875","0.7221875"
"5000","0.731875","0.731875","0.731875"
"5100","0.74765625","0.74765625","0.74765625"
"5200","0.745625","0.745625","0.745625"
"5300","0.7534375","0.7534375","0.7534375"
"5400","0.748125","0.748125","0.748125"
"5500","0.7615625","0.7615625","0.7615625"
"5600","0.76234375","0.76234375","0.76234375"
"5700","0.76234375","0.76234375","0.76234375"
"5800","0.76015625","0.76015625","0.76015625"
"5900","0.78125","0.78125","0.78125"
"6000","0.79234375","0.79234375","0.79234375"
"6100","0.7909375","0.7909375","0.7909375"
"6200","0.8009375","0.8009375","0.8009375"
"6300","0.7875","0.7875","0.7875"
"6400","0.7715625","0.7715625","0.7715625"
"6500","0.78953125","0.78953125","0.78953125"
"6600","0.7825","0.7825","0.7825"
"6700","0.77640625","0.77640625","0.77640625"
"6800","0.79328125","0.79328125","0.79328125"
"6900","0.795625","0.795625","0.795625"
"7000","0.80046875","0.80046875","0.80046875"
"7100","0.79703125","0.79703125","0.79703125"
"7200","0.7959375","0.7959375","0.7959375"
"7300","0.80296875","0.80296875","0.80296875"
"7400","0.8109375","0.8109375","0.8109375"
"7500","0.7859375","0.7859375","0.7859375"
"7600","0.7946875","0.7946875","0.7946875"
"7700","0.7821875","0.7821875","0.7821875"
"7800","0.775625","0.775625","0.775625"
"7900","0.7840625","0.7840625","0.7840625"
"8000","0.803125","0.803125","0.803125"
"8100","0.79484375","0.79484375","0.79484375"
"8200","0.7896875","0.7896875","0.7896875"
"8300","0.789375","0.789375","0.789375"
"8400","0.799375","0.799375","0.799375"
"8500","0.8090625","0.8090625","0.8090625"
"8600","0.80828125","0.80828125","0.80828125"
"8700","0.80453125","0.80453125","0.80453125"
"8800","0.8078125","0.8078125","0.8078125"
"8900","0.80921875","0.80921875","0.80921875"
"9000","0.805625","0.805625","0.805625"
"9100","0.7971875","0.7971875","0.7971875"
"9200","0.77734375","0.77734375","0.77734375"
"9300","0.7659375","0.7659375","0.7659375"
"9400","0.79140625","0.79140625","0.79140625"
"9500","0.78765625","0.78765625","0.78765625"
"9600","0.79859375","0.79859375","0.79859375"
"9700","0.8025","0.8025","0.8025"
"9800","0.80765625","0.80765625","0.80765625"
"9900","0.79796875","0.79796875","0.79796875"
"10000","0.8109375","0.8109375","0.8109375"
