"Step","counting_extra_small_encoder_nope_perm_invariant_0 - sequence_accuracy","counting_extra_small_encoder_nope_perm_invariant_0 - sequence_accuracy__MIN","counting_extra_small_encoder_nope_perm_invariant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0","0","0"
"400","0.000625","0.000625","0.000625"
"500","0.00015625","0.00015625","0.00015625"
"600","0.000625","0.000625","0.000625"
"700","0.00328125","0.00328125","0.00328125"
"800","0.00140625","0.00140625","0.00140625"
"900","0.00625","0.00625","0.00625"
"1000","0.010625","0.010625","0.010625"
"1100","0.0065625","0.0065625","0.0065625"
"1200","0.0134375","0.0134375","0.0134375"
"1300","0.02046875","0.02046875","0.02046875"
"1400","0.014375","0.014375","0.014375"
"1500","0.01625","0.01625","0.01625"
"1600","0.0284375","0.0284375","0.0284375"
"1700","0.02359375","0.02359375","0.02359375"
"1800","0.02734375","0.02734375","0.02734375"
"1900","0.0315625","0.0315625","0.0315625"
"2000","0.03640625","0.03640625","0.03640625"
"2100","0.04","0.04","0.04"
"2200","0.0465625","0.0465625","0.0465625"
"2300","0.039375","0.039375","0.039375"
"2400","0.0609375","0.0609375","0.0609375"
"2500","0.05578125","0.05578125","0.05578125"
"2600","0.09078125","0.09078125","0.09078125"
"2700","0.084375","0.084375","0.084375"
"2800","0.1015625","0.1015625","0.1015625"
"2900","0.141875","0.141875","0.141875"
"3000","0.15015625","0.15015625","0.15015625"
"3100","0.210625","0.210625","0.210625"
"3200","0.3021875","0.3021875","0.3021875"
"3300","0.33125","0.33125","0.33125"
"3400","0.35296875","0.35296875","0.35296875"
"3500","0.39578125","0.39578125","0.39578125"
"3600","0.44296875","0.44296875","0.44296875"
"3700","0.47125","0.47125","0.47125"
"3800","0.44625","0.44625","0.44625"
"3900","0.50796875","0.50796875","0.50796875"
"4000","0.4921875","0.4921875","0.4921875"
"4100","0.5265625","0.5265625","0.5265625"
"4200","0.56796875","0.56796875","0.56796875"
"4300","0.58609375","0.58609375","0.58609375"
"4400","0.58890625","0.58890625","0.58890625"
"4500","0.58125","0.58125","0.58125"
"4600","0.6046875","0.6046875","0.6046875"
"4700","0.635625","0.635625","0.635625"
"4800","0.62890625","0.62890625","0.62890625"
"4900","0.626875","0.626875","0.626875"
"5000","0.59078125","0.59078125","0.59078125"
"5100","0.64875","0.64875","0.64875"
"5200","0.65671875","0.65671875","0.65671875"
"5300","0.6496875","0.6496875","0.6496875"
"5400","0.66625","0.66625","0.66625"
"5500","0.66296875","0.66296875","0.66296875"
"5600","0.66328125","0.66328125","0.66328125"
"5700","0.67921875","0.67921875","0.67921875"
"5800","0.6840625","0.6840625","0.6840625"
"5900","0.6725","0.6725","0.6725"
"6000","0.65984375","0.65984375","0.65984375"
"6100","0.68984375","0.68984375","0.68984375"
"6200","0.6475","0.6475","0.6475"
"6300","0.70859375","0.70859375","0.70859375"
"6400","0.67375","0.67375","0.67375"
"6500","0.701875","0.701875","0.701875"
"6600","0.69984375","0.69984375","0.69984375"
"6700","0.69390625","0.69390625","0.69390625"
"6800","0.6984375","0.6984375","0.6984375"
"6900","0.6975","0.6975","0.6975"
"7000","0.69921875","0.69921875","0.69921875"
"7100","0.70671875","0.70671875","0.70671875"
"7200","0.72","0.72","0.72"
"7300","0.70296875","0.70296875","0.70296875"
"7400","0.73140625","0.73140625","0.73140625"
"7500","0.72015625","0.72015625","0.72015625"
"7600","0.71328125","0.71328125","0.71328125"
"7700","0.720625","0.720625","0.720625"
"7800","0.705","0.705","0.705"
"7900","0.7278125","0.7278125","0.7278125"
"8000","0.72296875","0.72296875","0.72296875"
"8100","0.73671875","0.73671875","0.73671875"
"8200","0.73609375","0.73609375","0.73609375"
"8300","0.73390625","0.73390625","0.73390625"
"8400","0.73453125","0.73453125","0.73453125"
"8500","0.738125","0.738125","0.738125"
"8600","0.73765625","0.73765625","0.73765625"
"8700","0.74921875","0.74921875","0.74921875"
"8800","0.7434375","0.7434375","0.7434375"
"8900","0.724375","0.724375","0.724375"
"9000","0.74796875","0.74796875","0.74796875"
"9100","0.73078125","0.73078125","0.73078125"
"9200","0.74703125","0.74703125","0.74703125"
"9300","0.7625","0.7625","0.7625"
"9400","0.76140625","0.76140625","0.76140625"
"9500","0.74421875","0.74421875","0.74421875"
"9600","0.764375","0.764375","0.764375"
"9700","0.76625","0.76625","0.76625"
"9800","0.74890625","0.74890625","0.74890625"
"9900","0.75671875","0.75671875","0.75671875"
"10000","0.775625","0.775625","0.775625"
