"Step","counting_extra_small_encoder_perm_invariant_0 - sequence_accuracy","counting_extra_small_encoder_perm_invariant_0 - sequence_accuracy__MIN","counting_extra_small_encoder_perm_invariant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0","0","0"
"400","0.04078125","0.04078125","0.04078125"
"500","0.0059375","0.0059375","0.0059375"
"600","0","0","0"
"700","0.20078125","0.20078125","0.20078125"
"800","0.29765625","0.29765625","0.29765625"
"900","0.3734375","0.3734375","0.3734375"
"1000","0.4584375","0.4584375","0.4584375"
"1100","0.47640625","0.47640625","0.47640625"
"1200","0.07515625","0.07515625","0.07515625"
"1300","0.00046875","0.00046875","0.00046875"
"1400","0.6296875","0.6296875","0.6296875"
"1500","0","0","0"
"1600","0.7478125","0.7478125","0.7478125"
"1700","0.7753125","0.7753125","0.7753125"
"1800","0.0946875","0.0946875","0.0946875"
"1900","0.7746875","0.7746875","0.7746875"
"2000","0.79078125","0.79078125","0.79078125"
"2100","0.61953125","0.61953125","0.61953125"
"2200","0.80109375","0.80109375","0.80109375"
"2300","0.79265625","0.79265625","0.79265625"
"2400","0.80203125","0.80203125","0.80203125"
"2500","0.76546875","0.76546875","0.76546875"
"2600","0.84453125","0.84453125","0.84453125"
"2700","0.80671875","0.80671875","0.80671875"
"2800","0.90671875","0.90671875","0.90671875"
"2900","0.91421875","0.91421875","0.91421875"
"3000","0.92015625","0.92015625","0.92015625"
"3100","0.89390625","0.89390625","0.89390625"
"3200","0.93125","0.93125","0.93125"
"3300","0.93640625","0.93640625","0.93640625"
"3400","0.93671875","0.93671875","0.93671875"
"3500","0.93625","0.93625","0.93625"
"3600","0.871875","0.871875","0.871875"
"3700","0.96671875","0.96671875","0.96671875"
"3800","0.94578125","0.94578125","0.94578125"
"3900","0.968125","0.968125","0.968125"
"4000","0.96875","0.96875","0.96875"
"4100","0.97203125","0.97203125","0.97203125"
"4200","0.96859375","0.96859375","0.96859375"
"4300","0.9715625","0.9715625","0.9715625"
"4400","0.96390625","0.96390625","0.96390625"
"4500","0.96984375","0.96984375","0.96984375"
"4600","0.97515625","0.97515625","0.97515625"
"4700","0.97359375","0.97359375","0.97359375"
"4800","0.975625","0.975625","0.975625"
"4900","0.9775","0.9775","0.9775"
"5000","0.9759375","0.9759375","0.9759375"
"5100","0.98125","0.98125","0.98125"
"5200","0.97265625","0.97265625","0.97265625"
"5300","0.645625","0.645625","0.645625"
"5400","0.97546875","0.97546875","0.97546875"
"5500","0.98328125","0.98328125","0.98328125"
"5600","0.98203125","0.98203125","0.98203125"
"5700","0.98078125","0.98078125","0.98078125"
"5800","0.9815625","0.9815625","0.9815625"
"5900","0.98859375","0.98859375","0.98859375"
"6000","0.98421875","0.98421875","0.98421875"
"6100","0.96796875","0.96796875","0.96796875"
"6200","0.98609375","0.98609375","0.98609375"
"6300","0.9909375","0.9909375","0.9909375"
"6400","0.98796875","0.98796875","0.98796875"
"6500","0.98453125","0.98453125","0.98453125"
"6600","0.98765625","0.98765625","0.98765625"
"6700","0.9903125","0.9903125","0.9903125"
"6800","0.99015625","0.99015625","0.99015625"
"6900","0.986875","0.986875","0.986875"
"7000","0.99125","0.99125","0.99125"
"7100","0.989375","0.989375","0.989375"
"7200","0.99","0.99","0.99"
"7300","0.9890625","0.9890625","0.9890625"
"7400","0.98890625","0.98890625","0.98890625"
"7500","0.9928125","0.9928125","0.9928125"
"7600","0.98421875","0.98421875","0.98421875"
"7700","0.986875","0.986875","0.986875"
"7800","0.99140625","0.99140625","0.99140625"
"7900","0.69515625","0.69515625","0.69515625"
"8000","0.99015625","0.99015625","0.99015625"
"8100","0.9871875","0.9871875","0.9871875"
"8200","0.99171875","0.99171875","0.99171875"
"8300","0.98796875","0.98796875","0.98796875"
"8400","0.98859375","0.98859375","0.98859375"
"8500","0.99","0.99","0.99"
"8600","0.98984375","0.98984375","0.98984375"
"8700","0.9903125","0.9903125","0.9903125"
"8800","0.9871875","0.9871875","0.9871875"
"8900","0.9890625","0.9890625","0.9890625"
"9000","0.9903125","0.9903125","0.9903125"
"9100","0.98703125","0.98703125","0.98703125"
"9200","0.9903125","0.9903125","0.9903125"
"9300","0.98984375","0.98984375","0.98984375"
"9400","0.99140625","0.99140625","0.99140625"
"9500","0.9909375","0.9909375","0.9909375"
"9600","0.991875","0.991875","0.991875"
"9700","0.98984375","0.98984375","0.98984375"
"9800","0.99171875","0.99171875","0.99171875"
"9900","0.99171875","0.99171875","0.99171875"
"10000","0.9915625","0.9915625","0.9915625"
