"Step","counting_extra_small_encoder_perm_variant_0 - sequence_accuracy","counting_extra_small_encoder_perm_variant_0 - sequence_accuracy__MIN","counting_extra_small_encoder_perm_variant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0","0","0"
"400","0","0","0"
"500","0","0","0"
"600","0","0","0"
"700","0","0","0"
"800","0.00640625","0.00640625","0.00640625"
"900","0.01390625","0.01390625","0.01390625"
"1000","0.010625","0.010625","0.010625"
"1100","0.03578125","0.03578125","0.03578125"
"1200","0.065","0.065","0.065"
"1300","0.09515625","0.09515625","0.09515625"
"1400","0.09671875","0.09671875","0.09671875"
"1500","0.0878125","0.0878125","0.0878125"
"1600","0.12921875","0.12921875","0.12921875"
"1700","0.29546875","0.29546875","0.29546875"
"1800","0.301875","0.301875","0.301875"
"1900","0.09109375","0.09109375","0.09109375"
"2000","0.39359375","0.39359375","0.39359375"
"2100","0.0778125","0.0778125","0.0778125"
"2200","0.45296875","0.45296875","0.45296875"
"2300","0.06265625","0.06265625","0.06265625"
"2400","0.48859375","0.48859375","0.48859375"
"2500","0.4690625","0.4690625","0.4690625"
"2600","0.48453125","0.48453125","0.48453125"
"2700","0.5390625","0.5390625","0.5390625"
"2800","0.536875","0.536875","0.536875"
"2900","0.39359375","0.39359375","0.39359375"
"3000","0.58","0.58","0.58"
"3100","0.50390625","0.50390625","0.50390625"
"3200","0.588125","0.588125","0.588125"
"3300","0.6196875","0.6196875","0.6196875"
"3400","0.62671875","0.62671875","0.62671875"
"3500","0.6334375","0.6334375","0.6334375"
"3600","0.645","0.645","0.645"
"3700","0.6515625","0.6515625","0.6515625"
"3800","0.6378125","0.6378125","0.6378125"
"3900","0.6615625","0.6615625","0.6615625"
"4000","0.67375","0.67375","0.67375"
"4100","0.66171875","0.66171875","0.66171875"
"4200","0.6840625","0.6840625","0.6840625"
"4300","0.67140625","0.67140625","0.67140625"
"4400","0.68234375","0.68234375","0.68234375"
"4500","0.7015625","0.7015625","0.7015625"
"4600","0.70328125","0.70328125","0.70328125"
"4700","0.68765625","0.68765625","0.68765625"
"4800","0.69484375","0.69484375","0.69484375"
"4900","0.7059375","0.7059375","0.7059375"
"5000","0.70859375","0.70859375","0.70859375"
"5100","0.71609375","0.71609375","0.71609375"
"5200","0.70796875","0.70796875","0.70796875"
"5300","0.71828125","0.71828125","0.71828125"
"5400","0.7134375","0.7134375","0.7134375"
"5500","0.71109375","0.71109375","0.71109375"
"5600","0.7146875","0.7146875","0.7146875"
"5700","0.7321875","0.7321875","0.7321875"
"5800","0.74125","0.74125","0.74125"
"5900","0.73375","0.73375","0.73375"
"6000","0.75546875","0.75546875","0.75546875"
"6100","0.73703125","0.73703125","0.73703125"
"6200","0.753125","0.753125","0.753125"
"6300","0.7678125","0.7678125","0.7678125"
"6400","0.76421875","0.76421875","0.76421875"
"6500","0.74328125","0.74328125","0.74328125"
"6600","0.763125","0.763125","0.763125"
"6700","0.76859375","0.76859375","0.76859375"
"6800","0.72078125","0.72078125","0.72078125"
"6900","0.77984375","0.77984375","0.77984375"
"7000","0.77515625","0.77515625","0.77515625"
"7100","0.76796875","0.76796875","0.76796875"
"7200","0.79171875","0.79171875","0.79171875"
"7300","0.77890625","0.77890625","0.77890625"
"7400","0.79421875","0.79421875","0.79421875"
"7500","0.799375","0.799375","0.799375"
"7600","0.7925","0.7925","0.7925"
"7700","0.77671875","0.77671875","0.77671875"
"7800","0.7853125","0.7853125","0.7853125"
"7900","0.795625","0.795625","0.795625"
"8000","0.80390625","0.80390625","0.80390625"
"8100","0.7953125","0.7953125","0.7953125"
"8200","0.7896875","0.7896875","0.7896875"
"8300","0.8","0.8","0.8"
"8400","0.79703125","0.79703125","0.79703125"
"8500","0.7959375","0.7959375","0.7959375"
"8600","0.8075","0.8075","0.8075"
"8700","0.79578125","0.79578125","0.79578125"
"8800","0.8059375","0.8059375","0.8059375"
"8900","0.80328125","0.80328125","0.80328125"
"9000","0.8146875","0.8146875","0.8146875"
"9100","0.77484375","0.77484375","0.77484375"
"9200","0.80515625","0.80515625","0.80515625"
"9300","0.81","0.81","0.81"
"9400","0.8059375","0.8059375","0.8059375"
"9500","0.79234375","0.79234375","0.79234375"
"9600","0.8065625","0.8065625","0.8065625"
"9700","0.8121875","0.8121875","0.8121875"
"9800","0.80734375","0.80734375","0.80734375"
"9900","0.7978125","0.7978125","0.7978125"
"10000","0.7903125","0.7903125","0.7903125"
