"Step","counting_extra_small_rt_decoder_nope_perm_invariant_0 - sequence_accuracy","counting_extra_small_rt_decoder_nope_perm_invariant_0 - sequence_accuracy__MIN","counting_extra_small_rt_decoder_nope_perm_invariant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0.0803515625","0.0803515625","0.0803515625"
"400","0.04390625","0.04390625","0.04390625"
"500","0.2403125","0.2403125","0.2403125"
"600","0.4984375","0.4984375","0.4984375"
"700","0.1639453125","0.1639453125","0.1639453125"
"800","0.5782421875","0.5782421875","0.5782421875"
"900","0.29421875","0.29421875","0.29421875"
"1000","0.268125","0.268125","0.268125"
"1100","0.5159375","0.5159375","0.5159375"
"1200","0.7037890625","0.7037890625","0.7037890625"
"1300","0.6524609375","0.6524609375","0.6524609375"
"1400","0.588671875","0.588671875","0.588671875"
"1500","0.274296875","0.274296875","0.274296875"
"1600","0.358125","0.358125","0.358125"
"1700","0.7987109375","0.7987109375","0.7987109375"
"1800","0.78828125","0.78828125","0.78828125"
"1900","0.8301171875","0.8301171875","0.8301171875"
"2000","0.834921875","0.834921875","0.834921875"
"2100","0.792421875","0.792421875","0.792421875"
"2200","0.755703125","0.755703125","0.755703125"
"2300","0.8603125","0.8603125","0.8603125"
"2400","0.8463671875","0.8463671875","0.8463671875"
"2500","0.7378125","0.7378125","0.7378125"
"2600","0.8121875","0.8121875","0.8121875"
"2700","0.84265625","0.84265625","0.84265625"
"2800","0.84484375","0.84484375","0.84484375"
"2900","0.8682421875","0.8682421875","0.8682421875"
"3000","0.8712890625","0.8712890625","0.8712890625"
"3100","0.8969921875","0.8969921875","0.8969921875"
"3200","0.873828125","0.873828125","0.873828125"
"3300","0.8881640625","0.8881640625","0.8881640625"
"3400","0.8533984375","0.8533984375","0.8533984375"
"3500","0.885390625","0.885390625","0.885390625"
"3600","0.9019140625","0.9019140625","0.9019140625"
"3700","0.9072265625","0.9072265625","0.9072265625"
"3800","0.904765625","0.904765625","0.904765625"
"3900","0.91296875","0.91296875","0.91296875"
"4000","0.9168359375","0.9168359375","0.9168359375"
"4100","0.9015234375","0.9015234375","0.9015234375"
"4200","0.916484375","0.916484375","0.916484375"
"4300","0.92484375","0.92484375","0.92484375"
"4400","0.91890625","0.91890625","0.91890625"
"4500","0.930859375","0.930859375","0.930859375"
"4600","0.928828125","0.928828125","0.928828125"
"4700","0.9326171875","0.9326171875","0.9326171875"
"4800","0.933828125","0.933828125","0.933828125"
"4900","0.9323046875","0.9323046875","0.9323046875"
"5000","0.9367578125","0.9367578125","0.9367578125"
"5100","0.936875","0.936875","0.936875"
"5200","0.9319921875","0.9319921875","0.9319921875"
"5300","0.9408984375","0.9408984375","0.9408984375"
"5400","0.93421875","0.93421875","0.93421875"
"5500","0.93546875","0.93546875","0.93546875"
"5600","0.9383203125","0.9383203125","0.9383203125"
"5700","0.937421875","0.937421875","0.937421875"
"5800","0.935390625","0.935390625","0.935390625"
"5900","0.9478515625","0.9478515625","0.9478515625"
"6000","0.9325","0.9325","0.9325"
"6100","0.9495703125","0.9495703125","0.9495703125"
"6200","0.9107421875","0.9107421875","0.9107421875"
"6300","0.9432421875","0.9432421875","0.9432421875"
"6400","0.9383203125","0.9383203125","0.9383203125"
"6500","0.938671875","0.938671875","0.938671875"
"6600","0.94421875","0.94421875","0.94421875"
"6700","0.930390625","0.930390625","0.930390625"
"6800","0.9496875","0.9496875","0.9496875"
"6900","0.9476171875","0.9476171875","0.9476171875"
"7000","0.9434765625","0.9434765625","0.9434765625"
"7100","0.945625","0.945625","0.945625"
"7200","0.946484375","0.946484375","0.946484375"
"7300","0.622265625","0.622265625","0.622265625"
"7400","0.952265625","0.952265625","0.952265625"
"7500","0.94515625","0.94515625","0.94515625"
"7600","0.949921875","0.949921875","0.949921875"
"7700","0.95578125","0.95578125","0.95578125"
"7800","0.95109375","0.95109375","0.95109375"
"7900","0.935390625","0.935390625","0.935390625"
"8000","0.951484375","0.951484375","0.951484375"
"8100","0.9487109375","0.9487109375","0.9487109375"
"8200","0.9436328125","0.9436328125","0.9436328125"
"8300","0.9505859375","0.9505859375","0.9505859375"
"8400","0.948203125","0.948203125","0.948203125"
"8500","0.9475390625","0.9475390625","0.9475390625"
"8600","0.9491015625","0.9491015625","0.9491015625"
"8700","0.9583203125","0.9583203125","0.9583203125"
"8800","0.955","0.955","0.955"
"8900","0.939765625","0.939765625","0.939765625"
"9000","0.428125","0.428125","0.428125"
"9100","0.9519921875","0.9519921875","0.9519921875"
"9200","0.962578125","0.962578125","0.962578125"
"9300","0.954765625","0.954765625","0.954765625"
"9400","0.9491015625","0.9491015625","0.9491015625"
"9500","0.9566015625","0.9566015625","0.9566015625"
"9600","0.96109375","0.96109375","0.96109375"
"9700","0.954296875","0.954296875","0.954296875"
"9800","0.956328125","0.956328125","0.956328125"
"9900","0.9509765625","0.9509765625","0.9509765625"
"10000","0.9602734375","0.9602734375","0.9602734375"
"10100","0.9483203125","0.9483203125","0.9483203125"
"10200","0.9607421875","0.9607421875","0.9607421875"
"10300","0.960390625","0.960390625","0.960390625"
"10400","0.96","0.96","0.96"
"10500","0.958203125","0.958203125","0.958203125"
"10600","0.9476171875","0.9476171875","0.9476171875"
"10700","0.955546875","0.955546875","0.955546875"
"10800","0.9566796875","0.9566796875","0.9566796875"
"10900","0.958046875","0.958046875","0.958046875"
"11000","0.9540234375","0.9540234375","0.9540234375"
"11100","0.9609375","0.9609375","0.9609375"
"11200","0.96234375","0.96234375","0.96234375"
"11300","0.95046875","0.95046875","0.95046875"
"11400","0.9584765625","0.9584765625","0.9584765625"
"11500","0.9498046875","0.9498046875","0.9498046875"
"11600","0.9137890625","0.9137890625","0.9137890625"
"11700","0.9614453125","0.9614453125","0.9614453125"
"11800","0.961484375","0.961484375","0.961484375"
"11900","0.9505078125","0.9505078125","0.9505078125"
"12000","0.899453125","0.899453125","0.899453125"
"12100","0.9629296875","0.9629296875","0.9629296875"
"12200","0.9312890625","0.9312890625","0.9312890625"
"12300","0.9662109375","0.9662109375","0.9662109375"
"12400","0.9627734375","0.9627734375","0.9627734375"
"12500","0.960078125","0.960078125","0.960078125"
"12600","0.9555859375","0.9555859375","0.9555859375"
"12700","0.960390625","0.960390625","0.960390625"
"12800","0.9303125","0.9303125","0.9303125"
"12900","0.9502734375","0.9502734375","0.9502734375"
"13000","0.9448828125","0.9448828125","0.9448828125"
"13100","0.9676171875","0.9676171875","0.9676171875"
"13200","0.9566015625","0.9566015625","0.9566015625"
"13300","0.961484375","0.961484375","0.961484375"
"13400","0.9675","0.9675","0.9675"
"13500","0.9563671875","0.9563671875","0.9563671875"
"13600","0.9594921875","0.9594921875","0.9594921875"
"13700","0.9571875","0.9571875","0.9571875"
"13800","0.95734375","0.95734375","0.95734375"
"13900","0.9630078125","0.9630078125","0.9630078125"
"14000","0.96375","0.96375","0.96375"
"14100","0.9565234375","0.9565234375","0.9565234375"
"14200","0.959609375","0.959609375","0.959609375"
"14300","0.9617578125","0.9617578125","0.9617578125"
"14400","0.9705078125","0.9705078125","0.9705078125"
"14500","0.970234375","0.970234375","0.970234375"
"14600","0.9660546875","0.9660546875","0.9660546875"
"14700","0.9480859375","0.9480859375","0.9480859375"
"14800","0.963671875","0.963671875","0.963671875"
"14900","0.9651953125","0.9651953125","0.9651953125"
"15000","0.9520703125","0.9520703125","0.9520703125"
"15100","0.9651953125","0.9651953125","0.9651953125"
"15200","0.9692578125","0.9692578125","0.9692578125"
"15300","0.9690625","0.9690625","0.9690625"
"15400","0.9729296875","0.9729296875","0.9729296875"
"15500","0.968828125","0.968828125","0.968828125"
"15600","0.9692578125","0.9692578125","0.9692578125"
"15700","0.9634375","0.9634375","0.9634375"
"15800","0.968671875","0.968671875","0.968671875"
"15900","0.970703125","0.970703125","0.970703125"
"16000","0.9632421875","0.9632421875","0.9632421875"
"16100","0.965546875","0.965546875","0.965546875"
"16200","0.9714453125","0.9714453125","0.9714453125"
"16300","0.976015625","0.976015625","0.976015625"
"16400","0.971484375","0.971484375","0.971484375"
"16500","0.9709375","0.9709375","0.9709375"
"16600","0.96796875","0.96796875","0.96796875"
"16700","0.9136328125","0.9136328125","0.9136328125"
"16800","0.9748828125","0.9748828125","0.9748828125"
"16900","0.955390625","0.955390625","0.955390625"
"17000","0.9699609375","0.9699609375","0.9699609375"
"17100","0.962265625","0.962265625","0.962265625"
"17200","0.969296875","0.969296875","0.969296875"
"17300","0.96609375","0.96609375","0.96609375"
"17400","0.90625","0.90625","0.90625"
"17500","0.97234375","0.97234375","0.97234375"
"17600","0.9769140625","0.9769140625","0.9769140625"
"17700","0.9714453125","0.9714453125","0.9714453125"
"17800","0.90515625","0.90515625","0.90515625"
"17900","0.9662890625","0.9662890625","0.9662890625"
"18000","0.9612109375","0.9612109375","0.9612109375"
"18100","0.9727734375","0.9727734375","0.9727734375"
"18200","0.97546875","0.97546875","0.97546875"
"18300","0.9504296875","0.9504296875","0.9504296875"
"18400","0.9709375","0.9709375","0.9709375"
"18500","0.976015625","0.976015625","0.976015625"
"18600","0.9715234375","0.9715234375","0.9715234375"
"18700","0.97265625","0.97265625","0.97265625"
"18800","0.970546875","0.970546875","0.970546875"
"18900","0.9759375","0.9759375","0.9759375"
"19000","0.9736328125","0.9736328125","0.9736328125"
"19100","0.9695703125","0.9695703125","0.9695703125"
"19200","0.966875","0.966875","0.966875"
"19300","0.9501953125","0.9501953125","0.9501953125"
"19400","0.9726953125","0.9726953125","0.9726953125"
"19500","0.97125","0.97125","0.97125"
"19600","0.9712109375","0.9712109375","0.9712109375"
"19700","0.9651171875","0.9651171875","0.9651171875"
"19800","0.973203125","0.973203125","0.973203125"
"19900","0.9609375","0.9609375","0.9609375"
"20000","0.9747265625","0.9747265625","0.9747265625"
