"Step","counting_extra_small_rt_decoder_nope_perm_variant_0 - sequence_accuracy","counting_extra_small_rt_decoder_nope_perm_variant_0 - sequence_accuracy__MIN","counting_extra_small_rt_decoder_nope_perm_variant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0","0","0"
"400","0","0","0"
"500","0","0","0"
"600","0","0","0"
"700","0","0","0"
"800","0.000078125","0.000078125","0.000078125"
"900","0.0001953125","0.0001953125","0.0001953125"
"1000","0.003203125","0.003203125","0.003203125"
"1100","0.0059375","0.0059375","0.0059375"
"1200","0.0085546875","0.0085546875","0.0085546875"
"1300","0.01125","0.01125","0.01125"
"1400","0.03","0.03","0.03"
"1500","0.02265625","0.02265625","0.02265625"
"1600","0.0431640625","0.0431640625","0.0431640625"
"1700","0.0389453125","0.0389453125","0.0389453125"
"1800","0.048515625","0.048515625","0.048515625"
"1900","0.1109375","0.1109375","0.1109375"
"2000","0.1434375","0.1434375","0.1434375"
"2100","0.20796875","0.20796875","0.20796875"
"2200","0.1241796875","0.1241796875","0.1241796875"
"2300","0.10734375","0.10734375","0.10734375"
"2400","0.25171875","0.25171875","0.25171875"
"2500","0.258125","0.258125","0.258125"
"2600","0.258671875","0.258671875","0.258671875"
"2700","0.309765625","0.309765625","0.309765625"
"2800","0.279296875","0.279296875","0.279296875"
"2900","0.3213671875","0.3213671875","0.3213671875"
"3000","0.3071484375","0.3071484375","0.3071484375"
"3100","0.3795703125","0.3795703125","0.3795703125"
"3200","0.356875","0.356875","0.356875"
"3300","0.3499609375","0.3499609375","0.3499609375"
"3400","0.39671875","0.39671875","0.39671875"
"3500","0.4036328125","0.4036328125","0.4036328125"
"3600","0.408359375","0.408359375","0.408359375"
"3700","0.43125","0.43125","0.43125"
"3800","0.4455859375","0.4455859375","0.4455859375"
"3900","0.464453125","0.464453125","0.464453125"
"4000","0.4784375","0.4784375","0.4784375"
"4100","0.4628515625","0.4628515625","0.4628515625"
"4200","0.48328125","0.48328125","0.48328125"
"4300","0.459296875","0.459296875","0.459296875"
"4400","0.48265625","0.48265625","0.48265625"
"4500","0.5026171875","0.5026171875","0.5026171875"
"4600","0.5148046875","0.5148046875","0.5148046875"
"4700","0.5072265625","0.5072265625","0.5072265625"
"4800","0.518125","0.518125","0.518125"
"4900","0.519765625","0.519765625","0.519765625"
"5000","0.5069140625","0.5069140625","0.5069140625"
"5100","0.5308984375","0.5308984375","0.5308984375"
"5200","0.5284375","0.5284375","0.5284375"
"5300","0.551796875","0.551796875","0.551796875"
"5400","0.5357421875","0.5357421875","0.5357421875"
"5500","0.55375","0.55375","0.55375"
"5600","0.5442578125","0.5442578125","0.5442578125"
"5700","0.5379296875","0.5379296875","0.5379296875"
"5800","0.5453515625","0.5453515625","0.5453515625"
"5900","0.53671875","0.53671875","0.53671875"
"6000","0.541171875","0.541171875","0.541171875"
"6100","0.5620703125","0.5620703125","0.5620703125"
"6200","0.546953125","0.546953125","0.546953125"
"6300","0.55515625","0.55515625","0.55515625"
"6400","0.56625","0.56625","0.56625"
"6500","0.5530078125","0.5530078125","0.5530078125"
"6600","0.5728125","0.5728125","0.5728125"
"6700","0.563125","0.563125","0.563125"
"6800","0.5815234375","0.5815234375","0.5815234375"
"6900","0.5426171875","0.5426171875","0.5426171875"
"7000","0.582578125","0.582578125","0.582578125"
"7100","0.5837890625","0.5837890625","0.5837890625"
"7200","0.5576171875","0.5576171875","0.5576171875"
"7300","0.5741796875","0.5741796875","0.5741796875"
"7400","0.5785546875","0.5785546875","0.5785546875"
"7500","0.5957421875","0.5957421875","0.5957421875"
"7600","0.57953125","0.57953125","0.57953125"
"7700","0.593671875","0.593671875","0.593671875"
"7800","0.585546875","0.585546875","0.585546875"
"7900","0.579609375","0.579609375","0.579609375"
"8000","0.595859375","0.595859375","0.595859375"
"8100","0.59921875","0.59921875","0.59921875"
"8200","0.60578125","0.60578125","0.60578125"
"8300","0.5905859375","0.5905859375","0.5905859375"
"8400","0.5908203125","0.5908203125","0.5908203125"
"8500","0.59765625","0.59765625","0.59765625"
"8600","0.58921875","0.58921875","0.58921875"
"8700","0.594609375","0.594609375","0.594609375"
"8800","0.5941796875","0.5941796875","0.5941796875"
"8900","0.6055859375","0.6055859375","0.6055859375"
"9000","0.589453125","0.589453125","0.589453125"
"9100","0.607265625","0.607265625","0.607265625"
"9200","0.601796875","0.601796875","0.601796875"
"9300","0.600234375","0.600234375","0.600234375"
"9400","0.5916015625","0.5916015625","0.5916015625"
"9500","0.615703125","0.615703125","0.615703125"
"9600","0.5887890625","0.5887890625","0.5887890625"
"9700","0.6213671875","0.6213671875","0.6213671875"
"9800","0.615234375","0.615234375","0.615234375"
"9900","0.577578125","0.577578125","0.577578125"
"10000","0.62734375","0.62734375","0.62734375"
"10100","0.6280078125","0.6280078125","0.6280078125"
"10200","0.6134765625","0.6134765625","0.6134765625"
"10300","0.6123828125","0.6123828125","0.6123828125"
"10400","0.630703125","0.630703125","0.630703125"
"10500","0.6349609375","0.6349609375","0.6349609375"
"10600","0.626328125","0.626328125","0.626328125"
"10700","0.616640625","0.616640625","0.616640625"
"10800","0.60921875","0.60921875","0.60921875"
"10900","0.6323828125","0.6323828125","0.6323828125"
"11000","0.6019921875","0.6019921875","0.6019921875"
"11100","0.6192578125","0.6192578125","0.6192578125"
"11200","0.6198828125","0.6198828125","0.6198828125"
"11300","0.62","0.62","0.62"
"11400","0.6215625","0.6215625","0.6215625"
"11500","0.636015625","0.636015625","0.636015625"
"11600","0.616640625","0.616640625","0.616640625"
"11700","0.6456640625","0.6456640625","0.6456640625"
"11800","0.64234375","0.64234375","0.64234375"
"11900","0.64171875","0.64171875","0.64171875"
"12000","0.633984375","0.633984375","0.633984375"
"12100","0.647421875","0.647421875","0.647421875"
"12200","0.6412109375","0.6412109375","0.6412109375"
"12300","0.626328125","0.626328125","0.626328125"
"12400","0.620078125","0.620078125","0.620078125"
"12500","0.645703125","0.645703125","0.645703125"
"12600","0.67390625","0.67390625","0.67390625"
"12700","0.631328125","0.631328125","0.631328125"
"12800","0.648515625","0.648515625","0.648515625"
"12900","0.6541015625","0.6541015625","0.6541015625"
"13000","0.6494140625","0.6494140625","0.6494140625"
"13100","0.650078125","0.650078125","0.650078125"
"13200","0.6483984375","0.6483984375","0.6483984375"
"13300","0.6404296875","0.6404296875","0.6404296875"
"13400","0.661875","0.661875","0.661875"
"13500","0.6475","0.6475","0.6475"
"13600","0.651015625","0.651015625","0.651015625"
"13700","0.660390625","0.660390625","0.660390625"
"13800","0.6515625","0.6515625","0.6515625"
"13900","0.6492578125","0.6492578125","0.6492578125"
"14000","0.664140625","0.664140625","0.664140625"
"14100","0.6616015625","0.6616015625","0.6616015625"
"14200","0.668671875","0.668671875","0.668671875"
"14300","0.6215625","0.6215625","0.6215625"
"14400","0.655","0.655","0.655"
"14500","0.6580078125","0.6580078125","0.6580078125"
"14600","0.6607421875","0.6607421875","0.6607421875"
"14700","0.663125","0.663125","0.663125"
"14800","0.6649609375","0.6649609375","0.6649609375"
"14900","0.6453515625","0.6453515625","0.6453515625"
"15000","0.6698828125","0.6698828125","0.6698828125"
"15100","0.6538671875","0.6538671875","0.6538671875"
"15200","0.66953125","0.66953125","0.66953125"
"15300","0.6562890625","0.6562890625","0.6562890625"
"15400","0.67125","0.67125","0.67125"
"15500","0.643828125","0.643828125","0.643828125"
"15600","0.6625390625","0.6625390625","0.6625390625"
"15700","0.67453125","0.67453125","0.67453125"
"15800","0.688125","0.688125","0.688125"
"15900","0.6799609375","0.6799609375","0.6799609375"
"16000","0.6613671875","0.6613671875","0.6613671875"
"16100","0.672578125","0.672578125","0.672578125"
"16200","0.6741796875","0.6741796875","0.6741796875"
"16300","0.674296875","0.674296875","0.674296875"
"16400","0.6715234375","0.6715234375","0.6715234375"
"16500","0.68609375","0.68609375","0.68609375"
"16600","0.6771484375","0.6771484375","0.6771484375"
"16700","0.6669140625","0.6669140625","0.6669140625"
"16800","0.667421875","0.667421875","0.667421875"
"16900","0.67078125","0.67078125","0.67078125"
"17000","0.685859375","0.685859375","0.685859375"
"17100","0.6658203125","0.6658203125","0.6658203125"
"17200","0.675","0.675","0.675"
"17300","0.6829296875","0.6829296875","0.6829296875"
"17400","0.658203125","0.658203125","0.658203125"
"17500","0.67515625","0.67515625","0.67515625"
"17600","0.682578125","0.682578125","0.682578125"
"17700","0.6634765625","0.6634765625","0.6634765625"
"17800","0.6775","0.6775","0.6775"
"17900","0.67453125","0.67453125","0.67453125"
"18000","0.690859375","0.690859375","0.690859375"
"18100","0.67859375","0.67859375","0.67859375"
"18200","0.67953125","0.67953125","0.67953125"
"18300","0.685390625","0.685390625","0.685390625"
"18400","0.6880859375","0.6880859375","0.6880859375"
"18500","0.681640625","0.681640625","0.681640625"
"18600","0.6950390625","0.6950390625","0.6950390625"
"18700","0.65984375","0.65984375","0.65984375"
"18800","0.690703125","0.690703125","0.690703125"
"18900","0.6902734375","0.6902734375","0.6902734375"
"19000","0.6915234375","0.6915234375","0.6915234375"
"19100","0.681015625","0.681015625","0.681015625"
"19200","0.6916796875","0.6916796875","0.6916796875"
"19300","0.7025390625","0.7025390625","0.7025390625"
"19400","0.6857421875","0.6857421875","0.6857421875"
"19500","0.6711328125","0.6711328125","0.6711328125"
"19600","0.6901953125","0.6901953125","0.6901953125"
"19700","0.6816796875","0.6816796875","0.6816796875"
"19800","0.7014453125","0.7014453125","0.7014453125"
"19900","0.701796875","0.701796875","0.701796875"
"20000","0.678828125","0.678828125","0.678828125"
