"Step","counting_extra_small_rt_decoder_perm_invariant_0 - sequence_accuracy","counting_extra_small_rt_decoder_perm_invariant_0 - sequence_accuracy__MIN","counting_extra_small_rt_decoder_perm_invariant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0.0015234375","0.0015234375","0.0015234375"
"400","0.0316796875","0.0316796875","0.0316796875"
"500","0.0951953125","0.0951953125","0.0951953125"
"600","0.008671875","0.008671875","0.008671875"
"700","0","0","0"
"800","0.453984375","0.453984375","0.453984375"
"900","0.4112890625","0.4112890625","0.4112890625"
"1000","0.546875","0.546875","0.546875"
"1100","0.4765625","0.4765625","0.4765625"
"1200","0.5175390625","0.5175390625","0.5175390625"
"1300","0.5065625","0.5065625","0.5065625"
"1400","0.520703125","0.520703125","0.520703125"
"1500","0.0761328125","0.0761328125","0.0761328125"
"1600","0.68734375","0.68734375","0.68734375"
"1700","0.756796875","0.756796875","0.756796875"
"1800","0.010234375","0.010234375","0.010234375"
"1900","0.5861328125","0.5861328125","0.5861328125"
"2000","0.69734375","0.69734375","0.69734375"
"2100","0.7210546875","0.7210546875","0.7210546875"
"2200","0.76484375","0.76484375","0.76484375"
"2300","0.773515625","0.773515625","0.773515625"
"2400","0.7651953125","0.7651953125","0.7651953125"
"2500","0.789296875","0.789296875","0.789296875"
"2600","0.798046875","0.798046875","0.798046875"
"2700","0.7866796875","0.7866796875","0.7866796875"
"2800","0.8065234375","0.8065234375","0.8065234375"
"2900","0.72640625","0.72640625","0.72640625"
"3000","0.808203125","0.808203125","0.808203125"
"3100","0.8103125","0.8103125","0.8103125"
"3200","0.8288671875","0.8288671875","0.8288671875"
"3300","0.8166796875","0.8166796875","0.8166796875"
"3400","0.86953125","0.86953125","0.86953125"
"3500","0.8901171875","0.8901171875","0.8901171875"
"3600","0.903515625","0.903515625","0.903515625"
"3700","0.9116796875","0.9116796875","0.9116796875"
"3800","0.9209765625","0.9209765625","0.9209765625"
"3900","0.9162890625","0.9162890625","0.9162890625"
"4000","0.9228515625","0.9228515625","0.9228515625"
"4100","0.92703125","0.92703125","0.92703125"
"4200","0.9328125","0.9328125","0.9328125"
"4300","0.927890625","0.927890625","0.927890625"
"4400","0.925546875","0.925546875","0.925546875"
"4500","0.9369140625","0.9369140625","0.9369140625"
"4600","0.935703125","0.935703125","0.935703125"
"4700","0.931953125","0.931953125","0.931953125"
"4800","0.9403515625","0.9403515625","0.9403515625"
"4900","0.9384375","0.9384375","0.9384375"
"5000","0.936484375","0.936484375","0.936484375"
"5100","0.9281640625","0.9281640625","0.9281640625"
"5200","0.93140625","0.93140625","0.93140625"
"5300","0.9356640625","0.9356640625","0.9356640625"
"5400","0.9325390625","0.9325390625","0.9325390625"
"5500","0.9355078125","0.9355078125","0.9355078125"
"5600","0.93671875","0.93671875","0.93671875"
"5700","0.93828125","0.93828125","0.93828125"
"5800","0.92484375","0.92484375","0.92484375"
"5900","0.94328125","0.94328125","0.94328125"
"6000","0.9359375","0.9359375","0.9359375"
"6100","0.94390625","0.94390625","0.94390625"
"6200","0.9353125","0.9353125","0.9353125"
"6300","0.94015625","0.94015625","0.94015625"
"6400","0.9451171875","0.9451171875","0.9451171875"
"6500","0.944921875","0.944921875","0.944921875"
"6600","0.944453125","0.944453125","0.944453125"
"6700","0.945234375","0.945234375","0.945234375"
"6800","0.944296875","0.944296875","0.944296875"
"6900","0.9487890625","0.9487890625","0.9487890625"
"7000","0.9470703125","0.9470703125","0.9470703125"
"7100","0.9508203125","0.9508203125","0.9508203125"
"7200","0.9518359375","0.9518359375","0.9518359375"
"7300","0.95546875","0.95546875","0.95546875"
"7400","0.95078125","0.95078125","0.95078125"
"7500","0.9491015625","0.9491015625","0.9491015625"
"7600","0.9335546875","0.9335546875","0.9335546875"
"7700","0.908515625","0.908515625","0.908515625"
"7800","0.9606640625","0.9606640625","0.9606640625"
"7900","0.9676171875","0.9676171875","0.9676171875"
"8000","0.9551171875","0.9551171875","0.9551171875"
"8100","0.9696484375","0.9696484375","0.9696484375"
"8200","0.9648828125","0.9648828125","0.9648828125"
"8300","0.9691015625","0.9691015625","0.9691015625"
"8400","0.97265625","0.97265625","0.97265625"
"8500","0.969375","0.969375","0.969375"
"8600","0.969296875","0.969296875","0.969296875"
"8700","0.969296875","0.969296875","0.969296875"
"8800","0.9696484375","0.9696484375","0.9696484375"
"8900","0.97515625","0.97515625","0.97515625"
"9000","0.9713671875","0.9713671875","0.9713671875"
"9100","0.9475390625","0.9475390625","0.9475390625"
"9200","0.96578125","0.96578125","0.96578125"
"9300","0.9748046875","0.9748046875","0.9748046875"
"9400","0.9616015625","0.9616015625","0.9616015625"
"9500","0.978359375","0.978359375","0.978359375"
"9600","0.977734375","0.977734375","0.977734375"
"9700","0.9771484375","0.9771484375","0.9771484375"
"9800","0.97140625","0.97140625","0.97140625"
"9900","0.9743359375","0.9743359375","0.9743359375"
"10000","0.8680859375","0.8680859375","0.8680859375"
"10100","0.975234375","0.975234375","0.975234375"
"10200","0.9737109375","0.9737109375","0.9737109375"
"10300","0.9756640625","0.9756640625","0.9756640625"
"10400","0.9646484375","0.9646484375","0.9646484375"
"10500","0.977890625","0.977890625","0.977890625"
"10600","0.9733203125","0.9733203125","0.9733203125"
"10700","0.9769921875","0.9769921875","0.9769921875"
"10800","0.979609375","0.979609375","0.979609375"
"10900","0.9812109375","0.9812109375","0.9812109375"
"11000","0.97375","0.97375","0.97375"
"11100","0.98125","0.98125","0.98125"
"11200","0.976796875","0.976796875","0.976796875"
"11300","0.9801953125","0.9801953125","0.9801953125"
"11400","0.97921875","0.97921875","0.97921875"
"11500","0.9790234375","0.9790234375","0.9790234375"
"11600","0.956875","0.956875","0.956875"
"11700","0.97078125","0.97078125","0.97078125"
"11800","0.974921875","0.974921875","0.974921875"
"11900","0.9819921875","0.9819921875","0.9819921875"
"12000","0.9829296875","0.9829296875","0.9829296875"
"12100","0.9765625","0.9765625","0.9765625"
"12200","0.984140625","0.984140625","0.984140625"
"12300","0.986796875","0.986796875","0.986796875"
"12400","0.9835546875","0.9835546875","0.9835546875"
"12500","0.9807421875","0.9807421875","0.9807421875"
"12600","0.988359375","0.988359375","0.988359375"
"12700","0.957421875","0.957421875","0.957421875"
"12800","0.9863671875","0.9863671875","0.9863671875"
"12900","0.9715234375","0.9715234375","0.9715234375"
"13000","0.98921875","0.98921875","0.98921875"
"13100","0.989375","0.989375","0.989375"
"13200","0.9875390625","0.9875390625","0.9875390625"
"13300","0.9876953125","0.9876953125","0.9876953125"
"13400","0.9858203125","0.9858203125","0.9858203125"
"13500","0.987265625","0.987265625","0.987265625"
"13600","0.5854296875","0.5854296875","0.5854296875"
"13700","0.98953125","0.98953125","0.98953125"
"13800","0.9903125","0.9903125","0.9903125"
"13900","0.9893359375","0.9893359375","0.9893359375"
"14000","0.983125","0.983125","0.983125"
"14100","0.9884375","0.9884375","0.9884375"
"14200","0.98515625","0.98515625","0.98515625"
"14300","0.964296875","0.964296875","0.964296875"
"14400","0.9886328125","0.9886328125","0.9886328125"
"14500","0.9630078125","0.9630078125","0.9630078125"
"14600","0.988984375","0.988984375","0.988984375"
"14700","0.9887109375","0.9887109375","0.9887109375"
"14800","0.9831640625","0.9831640625","0.9831640625"
"14900","0.9802734375","0.9802734375","0.9802734375"
"15000","0.986875","0.986875","0.986875"
"15100","0.989296875","0.989296875","0.989296875"
"15200","0.988828125","0.988828125","0.988828125"
"15300","0.9904296875","0.9904296875","0.9904296875"
"15400","0.99125","0.99125","0.99125"
"15500","0.9905078125","0.9905078125","0.9905078125"
"15600","0.989296875","0.989296875","0.989296875"
"15700","0.990390625","0.990390625","0.990390625"
"15800","0.988125","0.988125","0.988125"
"15900","0.98703125","0.98703125","0.98703125"
"16000","0.98390625","0.98390625","0.98390625"
"16100","0.98765625","0.98765625","0.98765625"
"16200","0.988828125","0.988828125","0.988828125"
"16300","0.991796875","0.991796875","0.991796875"
"16400","0.9915625","0.9915625","0.9915625"
"16500","0.9906640625","0.9906640625","0.9906640625"
"16600","0.9922265625","0.9922265625","0.9922265625"
"16700","0.9911328125","0.9911328125","0.9911328125"
"16800","0.9902734375","0.9902734375","0.9902734375"
"16900","0.990703125","0.990703125","0.990703125"
"17000","0.9925390625","0.9925390625","0.9925390625"
"17100","0.990546875","0.990546875","0.990546875"
"17200","0.9826953125","0.9826953125","0.9826953125"
"17300","0.99078125","0.99078125","0.99078125"
"17400","0.99109375","0.99109375","0.99109375"
"17500","0.9910546875","0.9910546875","0.9910546875"
"17600","0.992890625","0.992890625","0.992890625"
"17700","0.99125","0.99125","0.99125"
"17800","0.9890625","0.9890625","0.9890625"
"17900","0.993125","0.993125","0.993125"
"18000","0.9914453125","0.9914453125","0.9914453125"
"18100","0.9862890625","0.9862890625","0.9862890625"
"18200","0.98796875","0.98796875","0.98796875"
"18300","0.984296875","0.984296875","0.984296875"
"18400","0.99125","0.99125","0.99125"
"18500","0.9907421875","0.9907421875","0.9907421875"
"18600","0.991640625","0.991640625","0.991640625"
"18700","0.9883984375","0.9883984375","0.9883984375"
"18800","0.9927734375","0.9927734375","0.9927734375"
"18900","0.9919921875","0.9919921875","0.9919921875"
"19000","0.993125","0.993125","0.993125"
"19100","0.9911328125","0.9911328125","0.9911328125"
"19200","0.9909375","0.9909375","0.9909375"
"19300","0.9892578125","0.9892578125","0.9892578125"
"19400","0.99234375","0.99234375","0.99234375"
"19500","0.9907421875","0.9907421875","0.9907421875"
"19600","0.9926953125","0.9926953125","0.9926953125"
"19700","0.992421875","0.992421875","0.992421875"
"19800","0.9919140625","0.9919140625","0.9919140625"
"19900","0.991640625","0.991640625","0.991640625"
"20000","0.9925","0.9925","0.9925"
