"Step","counting_extra_small_rt_decoder_perm_variant_0 - sequence_accuracy","counting_extra_small_rt_decoder_perm_variant_0 - sequence_accuracy__MIN","counting_extra_small_rt_decoder_perm_variant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0","0","0"
"400","0","0","0"
"500","0","0","0"
"600","0.000078125","0.000078125","0.000078125"
"700","0.003359375","0.003359375","0.003359375"
"800","0.0064453125","0.0064453125","0.0064453125"
"900","0.0021484375","0.0021484375","0.0021484375"
"1000","0.040234375","0.040234375","0.040234375"
"1100","0.0015625","0.0015625","0.0015625"
"1200","0.0020703125","0.0020703125","0.0020703125"
"1300","0.0071484375","0.0071484375","0.0071484375"
"1400","0.220078125","0.220078125","0.220078125"
"1500","0.1814453125","0.1814453125","0.1814453125"
"1600","0.3208984375","0.3208984375","0.3208984375"
"1700","0.350859375","0.350859375","0.350859375"
"1800","0.00546875","0.00546875","0.00546875"
"1900","0.393671875","0.393671875","0.393671875"
"2000","0.3889453125","0.3889453125","0.3889453125"
"2100","0.17109375","0.17109375","0.17109375"
"2200","0.49375","0.49375","0.49375"
"2300","0.1502734375","0.1502734375","0.1502734375"
"2400","0.5167578125","0.5167578125","0.5167578125"
"2500","0.5166796875","0.5166796875","0.5166796875"
"2600","0.54390625","0.54390625","0.54390625"
"2700","0.53359375","0.53359375","0.53359375"
"2800","0.4936328125","0.4936328125","0.4936328125"
"2900","0.6086328125","0.6086328125","0.6086328125"
"3000","0.593203125","0.593203125","0.593203125"
"3100","0.57890625","0.57890625","0.57890625"
"3200","0.638046875","0.638046875","0.638046875"
"3300","0.603359375","0.603359375","0.603359375"
"3400","0.61859375","0.61859375","0.61859375"
"3500","0.6644140625","0.6644140625","0.6644140625"
"3600","0.34390625","0.34390625","0.34390625"
"3700","0.69640625","0.69640625","0.69640625"
"3800","0.6693359375","0.6693359375","0.6693359375"
"3900","0.6960546875","0.6960546875","0.6960546875"
"4000","0.6889453125","0.6889453125","0.6889453125"
"4100","0.69234375","0.69234375","0.69234375"
"4200","0.683046875","0.683046875","0.683046875"
"4300","0.7112890625","0.7112890625","0.7112890625"
"4400","0.725859375","0.725859375","0.725859375"
"4500","0.752890625","0.752890625","0.752890625"
"4600","0.742890625","0.742890625","0.742890625"
"4700","0.7518359375","0.7518359375","0.7518359375"
"4800","0.7613671875","0.7613671875","0.7613671875"
"4900","0.7506640625","0.7506640625","0.7506640625"
"5000","0.7451953125","0.7451953125","0.7451953125"
"5100","0.76078125","0.76078125","0.76078125"
"5200","0.73953125","0.73953125","0.73953125"
"5300","0.771875","0.771875","0.771875"
"5400","0.77265625","0.77265625","0.77265625"
"5500","0.751484375","0.751484375","0.751484375"
"5600","0.7676953125","0.7676953125","0.7676953125"
"5700","0.7544921875","0.7544921875","0.7544921875"
"5800","0.77390625","0.77390625","0.77390625"
"5900","0.7630078125","0.7630078125","0.7630078125"
"6000","0.7599609375","0.7599609375","0.7599609375"
"6100","0.7680859375","0.7680859375","0.7680859375"
"6200","0.76890625","0.76890625","0.76890625"
"6300","0.772265625","0.772265625","0.772265625"
"6400","0.77359375","0.77359375","0.77359375"
"6500","0.7704296875","0.7704296875","0.7704296875"
"6600","0.7901953125","0.7901953125","0.7901953125"
"6700","0.76609375","0.76609375","0.76609375"
"6800","0.75890625","0.75890625","0.75890625"
"6900","0.795078125","0.795078125","0.795078125"
"7000","0.7860546875","0.7860546875","0.7860546875"
"7100","0.7650390625","0.7650390625","0.7650390625"
"7200","0.78875","0.78875","0.78875"
"7300","0.794453125","0.794453125","0.794453125"
"7400","0.7987890625","0.7987890625","0.7987890625"
"7500","0.799921875","0.799921875","0.799921875"
"7600","0.793125","0.793125","0.793125"
"7700","0.7880078125","0.7880078125","0.7880078125"
"7800","0.7886328125","0.7886328125","0.7886328125"
"7900","0.7962109375","0.7962109375","0.7962109375"
"8000","0.767578125","0.767578125","0.767578125"
"8100","0.80328125","0.80328125","0.80328125"
"8200","0.7812890625","0.7812890625","0.7812890625"
"8300","0.80328125","0.80328125","0.80328125"
"8400","0.782734375","0.782734375","0.782734375"
"8500","0.7945703125","0.7945703125","0.7945703125"
"8600","0.7991015625","0.7991015625","0.7991015625"
"8700","0.754296875","0.754296875","0.754296875"
"8800","0.7923828125","0.7923828125","0.7923828125"
"8900","0.8096484375","0.8096484375","0.8096484375"
"9000","0.806875","0.806875","0.806875"
"9100","0.7744921875","0.7744921875","0.7744921875"
"9200","0.8165234375","0.8165234375","0.8165234375"
"9300","0.8065625","0.8065625","0.8065625"
"9400","0.8021484375","0.8021484375","0.8021484375"
"9500","0.8089453125","0.8089453125","0.8089453125"
"9600","0.792109375","0.792109375","0.792109375"
"9700","0.8089453125","0.8089453125","0.8089453125"
"9800","0.78859375","0.78859375","0.78859375"
"9900","0.8162890625","0.8162890625","0.8162890625"
"10000","0.79671875","0.79671875","0.79671875"
"10100","0.8081640625","0.8081640625","0.8081640625"
"10200","0.7990625","0.7990625","0.7990625"
"10300","0.8060546875","0.8060546875","0.8060546875"
"10400","0.7957421875","0.7957421875","0.7957421875"
"10500","0.8104296875","0.8104296875","0.8104296875"
"10600","0.809921875","0.809921875","0.809921875"
"10700","0.806171875","0.806171875","0.806171875"
"10800","0.806171875","0.806171875","0.806171875"
"10900","0.8183203125","0.8183203125","0.8183203125"
"11000","0.814453125","0.814453125","0.814453125"
"11100","0.7986328125","0.7986328125","0.7986328125"
"11200","0.807265625","0.807265625","0.807265625"
"11300","0.7784375","0.7784375","0.7784375"
"11400","0.793671875","0.793671875","0.793671875"
"11500","0.732734375","0.732734375","0.732734375"
"11600","0.7988671875","0.7988671875","0.7988671875"
"11700","0.8127734375","0.8127734375","0.8127734375"
"11800","0.8034765625","0.8034765625","0.8034765625"
"11900","0.808515625","0.808515625","0.808515625"
"12000","0.82625","0.82625","0.82625"
"12100","0.8200390625","0.8200390625","0.8200390625"
"12200","0.806953125","0.806953125","0.806953125"
"12300","0.815703125","0.815703125","0.815703125"
"12400","0.8080078125","0.8080078125","0.8080078125"
"12500","0.816171875","0.816171875","0.816171875"
"12600","0.8114453125","0.8114453125","0.8114453125"
"12700","0.8040625","0.8040625","0.8040625"
"12800","0.7968359375","0.7968359375","0.7968359375"
"12900","0.82","0.82","0.82"
"13000","0.7773046875","0.7773046875","0.7773046875"
"13100","0.8148046875","0.8148046875","0.8148046875"
"13200","0.808046875","0.808046875","0.808046875"
"13300","0.829765625","0.829765625","0.829765625"
"13400","0.8237890625","0.8237890625","0.8237890625"
"13500","0.8146484375","0.8146484375","0.8146484375"
"13600","0.8249609375","0.8249609375","0.8249609375"
"13700","0.82546875","0.82546875","0.82546875"
"13800","0.83875","0.83875","0.83875"
"13900","0.81609375","0.81609375","0.81609375"
"14000","0.8375","0.8375","0.8375"
"14100","0.8409375","0.8409375","0.8409375"
"14200","0.8271484375","0.8271484375","0.8271484375"
"14300","0.8143359375","0.8143359375","0.8143359375"
"14400","0.838046875","0.838046875","0.838046875"
"14500","0.8505859375","0.8505859375","0.8505859375"
"14600","0.8528125","0.8528125","0.8528125"
"14700","0.8394140625","0.8394140625","0.8394140625"
"14800","0.842265625","0.842265625","0.842265625"
"14900","0.85515625","0.85515625","0.85515625"
"15000","0.8280078125","0.8280078125","0.8280078125"
"15100","0.16640625","0.16640625","0.16640625"
"15200","0.85828125","0.85828125","0.85828125"
"15300","0.8550390625","0.8550390625","0.8550390625"
"15400","0.829765625","0.829765625","0.829765625"
"15500","0.85828125","0.85828125","0.85828125"
"15600","0.853515625","0.853515625","0.853515625"
"15700","0.848671875","0.848671875","0.848671875"
"15800","0.8399609375","0.8399609375","0.8399609375"
"15900","0.815078125","0.815078125","0.815078125"
"16000","0.851640625","0.851640625","0.851640625"
"16100","0.8538671875","0.8538671875","0.8538671875"
"16200","0.8628125","0.8628125","0.8628125"
"16300","0.8547265625","0.8547265625","0.8547265625"
"16400","0.854453125","0.854453125","0.854453125"
"16500","0.8520703125","0.8520703125","0.8520703125"
"16600","0.8546484375","0.8546484375","0.8546484375"
"16700","0.85828125","0.85828125","0.85828125"
"16800","0.8438671875","0.8438671875","0.8438671875"
"16900","0.8625","0.8625","0.8625"
"17000","0.8634765625","0.8634765625","0.8634765625"
"17100","0.8671484375","0.8671484375","0.8671484375"
"17200","0.8728125","0.8728125","0.8728125"
"17300","0.8467578125","0.8467578125","0.8467578125"
"17400","0.82734375","0.82734375","0.82734375"
"17500","0.8475","0.8475","0.8475"
"17600","0.8621875","0.8621875","0.8621875"
"17700","0.8469140625","0.8469140625","0.8469140625"
"17800","0.665234375","0.665234375","0.665234375"
"17900","0.87953125","0.87953125","0.87953125"
"18000","0.877890625","0.877890625","0.877890625"
"18100","0.842265625","0.842265625","0.842265625"
"18200","0.871875","0.871875","0.871875"
"18300","0.85515625","0.85515625","0.85515625"
"18400","0.7735546875","0.7735546875","0.7735546875"
"18500","0.8910546875","0.8910546875","0.8910546875"
"18600","0.8845703125","0.8845703125","0.8845703125"
"18700","0.89328125","0.89328125","0.89328125"
"18800","0.8927734375","0.8927734375","0.8927734375"
"18900","0.886484375","0.886484375","0.886484375"
"19000","0.865","0.865","0.865"
"19100","0.899140625","0.899140625","0.899140625"
"19200","0.8871484375","0.8871484375","0.8871484375"
"19300","0.863359375","0.863359375","0.863359375"
"19400","0.9024609375","0.9024609375","0.9024609375"
"19500","0.9060546875","0.9060546875","0.9060546875"
"19600","0.9028515625","0.9028515625","0.9028515625"
"19700","0.9139453125","0.9139453125","0.9139453125"
"19800","0.9167578125","0.9167578125","0.9167578125"
"19900","0.89828125","0.89828125","0.89828125"
"20000","0.892890625","0.892890625","0.892890625"
