"Step","counting_extra_small_rt_encoder_nope_perm_invariant_0 - sequence_accuracy","counting_extra_small_rt_encoder_nope_perm_invariant_0 - sequence_accuracy__MIN","counting_extra_small_rt_encoder_nope_perm_invariant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0","0","0"
"400","0","0","0"
"500","0.000703125","0.000703125","0.000703125"
"600","0.0007421875","0.0007421875","0.0007421875"
"700","0.0026953125","0.0026953125","0.0026953125"
"800","0.0007421875","0.0007421875","0.0007421875"
"900","0.0009765625","0.0009765625","0.0009765625"
"1000","0.0119921875","0.0119921875","0.0119921875"
"1100","0.00421875","0.00421875","0.00421875"
"1200","0.0111328125","0.0111328125","0.0111328125"
"1300","0.011953125","0.011953125","0.011953125"
"1400","0.01140625","0.01140625","0.01140625"
"1500","0.0162109375","0.0162109375","0.0162109375"
"1600","0.0231640625","0.0231640625","0.0231640625"
"1700","0.0295703125","0.0295703125","0.0295703125"
"1800","0.021171875","0.021171875","0.021171875"
"1900","0.02921875","0.02921875","0.02921875"
"2000","0.0296875","0.0296875","0.0296875"
"2100","0.038046875","0.038046875","0.038046875"
"2200","0.0596875","0.0596875","0.0596875"
"2300","0.0371875","0.0371875","0.0371875"
"2400","0.050234375","0.050234375","0.050234375"
"2500","0.0737109375","0.0737109375","0.0737109375"
"2600","0.06390625","0.06390625","0.06390625"
"2700","0.0865234375","0.0865234375","0.0865234375"
"2800","0.1172265625","0.1172265625","0.1172265625"
"2900","0.113515625","0.113515625","0.113515625"
"3000","0.0969921875","0.0969921875","0.0969921875"
"3100","0.1290234375","0.1290234375","0.1290234375"
"3200","0.1498046875","0.1498046875","0.1498046875"
"3300","0.161171875","0.161171875","0.161171875"
"3400","0.1826171875","0.1826171875","0.1826171875"
"3500","0.2507421875","0.2507421875","0.2507421875"
"3600","0.2590625","0.2590625","0.2590625"
"3700","0.298984375","0.298984375","0.298984375"
"3800","0.3459765625","0.3459765625","0.3459765625"
"3900","0.33953125","0.33953125","0.33953125"
"4000","0.408984375","0.408984375","0.408984375"
"4100","0.412265625","0.412265625","0.412265625"
"4200","0.4347265625","0.4347265625","0.4347265625"
"4300","0.4465625","0.4465625","0.4465625"
"4400","0.4781640625","0.4781640625","0.4781640625"
"4500","0.4801171875","0.4801171875","0.4801171875"
"4600","0.4926171875","0.4926171875","0.4926171875"
"4700","0.4669921875","0.4669921875","0.4669921875"
"4800","0.51140625","0.51140625","0.51140625"
"4900","0.530703125","0.530703125","0.530703125"
"5000","0.5095703125","0.5095703125","0.5095703125"
"5100","0.5262109375","0.5262109375","0.5262109375"
"5200","0.53484375","0.53484375","0.53484375"
"5300","0.5457421875","0.5457421875","0.5457421875"
"5400","0.525625","0.525625","0.525625"
"5500","0.56703125","0.56703125","0.56703125"
"5600","0.5615234375","0.5615234375","0.5615234375"
"5700","0.5598046875","0.5598046875","0.5598046875"
"5800","0.5656640625","0.5656640625","0.5656640625"
"5900","0.5590234375","0.5590234375","0.5590234375"
"6000","0.57375","0.57375","0.57375"
"6100","0.5532421875","0.5532421875","0.5532421875"
"6200","0.589375","0.589375","0.589375"
"6300","0.5838671875","0.5838671875","0.5838671875"
"6400","0.579140625","0.579140625","0.579140625"
"6500","0.5887109375","0.5887109375","0.5887109375"
"6600","0.590390625","0.590390625","0.590390625"
"6700","0.5849609375","0.5849609375","0.5849609375"
"6800","0.6101953125","0.6101953125","0.6101953125"
"6900","0.597578125","0.597578125","0.597578125"
"7000","0.605703125","0.605703125","0.605703125"
"7100","0.6199609375","0.6199609375","0.6199609375"
"7200","0.609609375","0.609609375","0.609609375"
"7300","0.6271875","0.6271875","0.6271875"
"7400","0.6341015625","0.6341015625","0.6341015625"
"7500","0.6201171875","0.6201171875","0.6201171875"
"7600","0.63125","0.63125","0.63125"
"7700","0.604453125","0.604453125","0.604453125"
"7800","0.6409765625","0.6409765625","0.6409765625"
"7900","0.6091015625","0.6091015625","0.6091015625"
"8000","0.6462890625","0.6462890625","0.6462890625"
"8100","0.6346875","0.6346875","0.6346875"
"8200","0.5828125","0.5828125","0.5828125"
"8300","0.6544140625","0.6544140625","0.6544140625"
"8400","0.65484375","0.65484375","0.65484375"
"8500","0.671328125","0.671328125","0.671328125"
"8600","0.670859375","0.670859375","0.670859375"
"8700","0.6653515625","0.6653515625","0.6653515625"
"8800","0.726015625","0.726015625","0.726015625"
"8900","0.7462109375","0.7462109375","0.7462109375"
"9000","0.7309765625","0.7309765625","0.7309765625"
"9100","0.7308984375","0.7308984375","0.7308984375"
"9200","0.746640625","0.746640625","0.746640625"
"9300","0.7280859375","0.7280859375","0.7280859375"
"9400","0.7460546875","0.7460546875","0.7460546875"
"9500","0.723515625","0.723515625","0.723515625"
"9600","0.7301953125","0.7301953125","0.7301953125"
"9700","0.7475390625","0.7475390625","0.7475390625"
"9800","0.7439453125","0.7439453125","0.7439453125"
"9900","0.749296875","0.749296875","0.749296875"
"10000","0.653984375","0.653984375","0.653984375"
"10100","0.7580859375","0.7580859375","0.7580859375"
"10200","0.7535546875","0.7535546875","0.7535546875"
"10300","0.7683984375","0.7683984375","0.7683984375"
"10400","0.7682421875","0.7682421875","0.7682421875"
"10500","0.7548046875","0.7548046875","0.7548046875"
"10600","0.7376953125","0.7376953125","0.7376953125"
"10700","0.762734375","0.762734375","0.762734375"
"10800","0.7712109375","0.7712109375","0.7712109375"
"10900","0.7617578125","0.7617578125","0.7617578125"
"11000","0.7648828125","0.7648828125","0.7648828125"
"11100","0.750703125","0.750703125","0.750703125"
"11200","0.7736328125","0.7736328125","0.7736328125"
"11300","0.791015625","0.791015625","0.791015625"
"11400","0.7836328125","0.7836328125","0.7836328125"
"11500","0.76953125","0.76953125","0.76953125"
"11600","0.7653515625","0.7653515625","0.7653515625"
"11700","0.78203125","0.78203125","0.78203125"
"11800","0.7672265625","0.7672265625","0.7672265625"
"11900","0.7823828125","0.7823828125","0.7823828125"
"12000","0.79140625","0.79140625","0.79140625"
"12100","0.78421875","0.78421875","0.78421875"
"12200","0.8047265625","0.8047265625","0.8047265625"
"12300","0.777265625","0.777265625","0.777265625"
"12400","0.779765625","0.779765625","0.779765625"
"12500","0.780703125","0.780703125","0.780703125"
"12600","0.787109375","0.787109375","0.787109375"
"12700","0.79125","0.79125","0.79125"
"12800","0.7893359375","0.7893359375","0.7893359375"
"12900","0.7927734375","0.7927734375","0.7927734375"
"13000","0.7573828125","0.7573828125","0.7573828125"
"13100","0.712734375","0.712734375","0.712734375"
"13200","0.7894921875","0.7894921875","0.7894921875"
"13300","0.790859375","0.790859375","0.790859375"
"13400","0.7923828125","0.7923828125","0.7923828125"
"13500","0.8009375","0.8009375","0.8009375"
"13600","0.78953125","0.78953125","0.78953125"
"13700","0.7899609375","0.7899609375","0.7899609375"
"13800","0.8015625","0.8015625","0.8015625"
"13900","0.8065234375","0.8065234375","0.8065234375"
"14000","0.7943359375","0.7943359375","0.7943359375"
"14100","0.805625","0.805625","0.805625"
"14200","0.7830859375","0.7830859375","0.7830859375"
"14300","0.810859375","0.810859375","0.810859375"
"14400","0.8116015625","0.8116015625","0.8116015625"
"14500","0.7890625","0.7890625","0.7890625"
"14600","0.8121875","0.8121875","0.8121875"
"14700","0.806171875","0.806171875","0.806171875"
"14800","0.79609375","0.79609375","0.79609375"
"14900","0.828515625","0.828515625","0.828515625"
"15000","0.837265625","0.837265625","0.837265625"
"15100","0.8299609375","0.8299609375","0.8299609375"
"15200","0.8151953125","0.8151953125","0.8151953125"
"15300","0.8253125","0.8253125","0.8253125"
"15400","0.82546875","0.82546875","0.82546875"
"15500","0.8063671875","0.8063671875","0.8063671875"
"15600","0.823203125","0.823203125","0.823203125"
"15700","0.8108203125","0.8108203125","0.8108203125"
"15800","0.8349609375","0.8349609375","0.8349609375"
"15900","0.8513671875","0.8513671875","0.8513671875"
"16000","0.836953125","0.836953125","0.836953125"
"16100","0.8254296875","0.8254296875","0.8254296875"
"16200","0.834453125","0.834453125","0.834453125"
"16300","0.8353515625","0.8353515625","0.8353515625"
"16400","0.824765625","0.824765625","0.824765625"
"16500","0.8494921875","0.8494921875","0.8494921875"
"16600","0.857578125","0.857578125","0.857578125"
"16700","0.8498046875","0.8498046875","0.8498046875"
"16800","0.8303125","0.8303125","0.8303125"
"16900","0.8245703125","0.8245703125","0.8245703125"
"17000","0.831484375","0.831484375","0.831484375"
"17100","0.820625","0.820625","0.820625"
"17200","0.8266796875","0.8266796875","0.8266796875"
"17300","0.8391796875","0.8391796875","0.8391796875"
"17400","0.820078125","0.820078125","0.820078125"
"17500","0.8318359375","0.8318359375","0.8318359375"
"17600","0.831796875","0.831796875","0.831796875"
"17700","0.836640625","0.836640625","0.836640625"
"17800","0.8147265625","0.8147265625","0.8147265625"
"17900","0.861796875","0.861796875","0.861796875"
"18000","0.85609375","0.85609375","0.85609375"
"18100","0.844453125","0.844453125","0.844453125"
"18200","0.8510546875","0.8510546875","0.8510546875"
"18300","0.84171875","0.84171875","0.84171875"
"18400","0.8396484375","0.8396484375","0.8396484375"
"18500","0.8144140625","0.8144140625","0.8144140625"
"18600","0.83234375","0.83234375","0.83234375"
"18700","0.85140625","0.85140625","0.85140625"
"18800","0.8694140625","0.8694140625","0.8694140625"
"18900","0.8591015625","0.8591015625","0.8591015625"
"19000","0.8651171875","0.8651171875","0.8651171875"
"19100","0.8585546875","0.8585546875","0.8585546875"
"19200","0.85203125","0.85203125","0.85203125"
"19300","0.857734375","0.857734375","0.857734375"
"19400","0.843515625","0.843515625","0.843515625"
"19500","0.85078125","0.85078125","0.85078125"
"19600","0.855078125","0.855078125","0.855078125"
"19700","0.8205078125","0.8205078125","0.8205078125"
"19800","0.851484375","0.851484375","0.851484375"
"19900","0.7989453125","0.7989453125","0.7989453125"
"20000","0.8259375","0.8259375","0.8259375"
