"Step","counting_extra_small_rt_encoder_nope_perm_variant_0 - sequence_accuracy","counting_extra_small_rt_encoder_nope_perm_variant_0 - sequence_accuracy__MIN","counting_extra_small_rt_encoder_nope_perm_variant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0","0","0"
"400","0","0","0"
"500","0","0","0"
"600","0","0","0"
"700","0","0","0"
"800","0","0","0"
"900","0","0","0"
"1000","0","0","0"
"1100","0","0","0"
"1200","0","0","0"
"1300","0","0","0"
"1400","0","0","0"
"1500","0","0","0"
"1600","0","0","0"
"1700","0","0","0"
"1800","0","0","0"
"1900","0","0","0"
"2000","0","0","0"
"2100","0","0","0"
"2200","0","0","0"
"2300","0","0","0"
"2400","0","0","0"
"2500","0","0","0"
"2600","0","0","0"
"2700","0","0","0"
"2800","0","0","0"
"2900","0","0","0"
"3000","0","0","0"
"3100","0","0","0"
"3200","0","0","0"
"3300","0","0","0"
"3400","0","0","0"
"3500","0","0","0"
"3600","0","0","0"
"3700","0","0","0"
"3800","0","0","0"
"3900","0","0","0"
"4000","0","0","0"
"4100","0","0","0"
"4200","0","0","0"
"4300","0","0","0"
"4400","0","0","0"
"4500","0","0","0"
"4600","0","0","0"
"4700","0.0000390625","0.0000390625","0.0000390625"
"4800","0","0","0"
"4900","0.000078125","0.000078125","0.000078125"
"5000","0.0000390625","0.0000390625","0.0000390625"
"5100","0","0","0"
"5200","0","0","0"
"5300","0","0","0"
"5400","0.0000390625","0.0000390625","0.0000390625"
"5500","0.000078125","0.000078125","0.000078125"
"5600","0","0","0"
"5700","0","0","0"
"5800","0.000234375","0.000234375","0.000234375"
"5900","0.0001171875","0.0001171875","0.0001171875"
"6000","0","0","0"
"6100","0","0","0"
"6200","0","0","0"
"6300","0.00015625","0.00015625","0.00015625"
"6400","0","0","0"
"6500","0","0","0"
"6600","0.00046875","0.00046875","0.00046875"
"6700","0.000234375","0.000234375","0.000234375"
"6800","0.000078125","0.000078125","0.000078125"
"6900","0.0000390625","0.0000390625","0.0000390625"
"7000","0.00015625","0.00015625","0.00015625"
"7100","0.000078125","0.000078125","0.000078125"
"7200","0.000078125","0.000078125","0.000078125"
"7300","0","0","0"
"7400","0.0000390625","0.0000390625","0.0000390625"
"7500","0.000078125","0.000078125","0.000078125"
"7600","0","0","0"
"7700","0","0","0"
"7800","0.000078125","0.000078125","0.000078125"
"7900","0.0000390625","0.0000390625","0.0000390625"
"8000","0.0002734375","0.0002734375","0.0002734375"
"8100","0","0","0"
"8200","0","0","0"
"8300","0","0","0"
"8400","0.0002734375","0.0002734375","0.0002734375"
"8500","0.000078125","0.000078125","0.000078125"
"8600","0.0001171875","0.0001171875","0.0001171875"
"8700","0.0000390625","0.0000390625","0.0000390625"
"8800","0.0000390625","0.0000390625","0.0000390625"
"8900","0.0001171875","0.0001171875","0.0001171875"
"9000","0.000078125","0.000078125","0.000078125"
"9100","0.0001953125","0.0001953125","0.0001953125"
"9200","0","0","0"
"9300","0.0000390625","0.0000390625","0.0000390625"
"9400","0.0001953125","0.0001953125","0.0001953125"
"9500","0.00015625","0.00015625","0.00015625"
"9600","0.00015625","0.00015625","0.00015625"
"9700","0","0","0"
"9800","0.0000390625","0.0000390625","0.0000390625"
"9900","0","0","0"
"10000","0","0","0"
"10100","0","0","0"
"10200","0","0","0"
"10300","0","0","0"
"10400","0.0000390625","0.0000390625","0.0000390625"
"10500","0.000078125","0.000078125","0.000078125"
"10600","0.0001171875","0.0001171875","0.0001171875"
"10700","0.0001953125","0.0001953125","0.0001953125"
"10800","0.0001171875","0.0001171875","0.0001171875"
"10900","0.0001953125","0.0001953125","0.0001953125"
"11000","0.0000390625","0.0000390625","0.0000390625"
"11100","0.000078125","0.000078125","0.000078125"
"11200","0.00015625","0.00015625","0.00015625"
"11300","0.000078125","0.000078125","0.000078125"
"11400","0","0","0"
"11500","0","0","0"
"11600","0.0000390625","0.0000390625","0.0000390625"
"11700","0.0001171875","0.0001171875","0.0001171875"
"11800","0","0","0"
"11900","0.000078125","0.000078125","0.000078125"
"12000","0.0001953125","0.0001953125","0.0001953125"
"12100","0.0001171875","0.0001171875","0.0001171875"
"12200","0","0","0"
"12300","0.0001953125","0.0001953125","0.0001953125"
"12400","0.0003125","0.0003125","0.0003125"
"12500","0.0000390625","0.0000390625","0.0000390625"
"12600","0.0003125","0.0003125","0.0003125"
"12700","0.0001171875","0.0001171875","0.0001171875"
"12800","0.0001171875","0.0001171875","0.0001171875"
"12900","0.00015625","0.00015625","0.00015625"
"13000","0.0001953125","0.0001953125","0.0001953125"
"13100","0","0","0"
"13200","0","0","0"
"13300","0.0000390625","0.0000390625","0.0000390625"
"13400","0.0001953125","0.0001953125","0.0001953125"
"13500","0.0001171875","0.0001171875","0.0001171875"
"13600","0.000078125","0.000078125","0.000078125"
"13700","0","0","0"
"13800","0.0001171875","0.0001171875","0.0001171875"
"13900","0.00046875","0.00046875","0.00046875"
"14000","0.00015625","0.00015625","0.00015625"
"14100","0.0000390625","0.0000390625","0.0000390625"
"14200","0.00015625","0.00015625","0.00015625"
"14300","0.0001171875","0.0001171875","0.0001171875"
"14400","0.0001171875","0.0001171875","0.0001171875"
"14500","0.000078125","0.000078125","0.000078125"
"14600","0.0001953125","0.0001953125","0.0001953125"
"14700","0","0","0"
"14800","0.0001953125","0.0001953125","0.0001953125"
"14900","0.000078125","0.000078125","0.000078125"
"15000","0.000078125","0.000078125","0.000078125"
"15100","0.000078125","0.000078125","0.000078125"
"15200","0.0001953125","0.0001953125","0.0001953125"
"15300","0","0","0"
"15400","0.0001953125","0.0001953125","0.0001953125"
"15500","0.0003125","0.0003125","0.0003125"
"15600","0.00015625","0.00015625","0.00015625"
"15700","0.0000390625","0.0000390625","0.0000390625"
"15800","0.00015625","0.00015625","0.00015625"
"15900","0.0001171875","0.0001171875","0.0001171875"
"16000","0.000078125","0.000078125","0.000078125"
"16100","0.0003515625","0.0003515625","0.0003515625"
"16200","0.0002734375","0.0002734375","0.0002734375"
"16300","0.0001953125","0.0001953125","0.0001953125"
"16400","0.0000390625","0.0000390625","0.0000390625"
"16500","0.00015625","0.00015625","0.00015625"
"16600","0.000078125","0.000078125","0.000078125"
"16700","0.000234375","0.000234375","0.000234375"
"16800","0","0","0"
"16900","0.0001953125","0.0001953125","0.0001953125"
"17000","0.0000390625","0.0000390625","0.0000390625"
"17100","0.0001171875","0.0001171875","0.0001171875"
"17200","0.00015625","0.00015625","0.00015625"
"17300","0.0001171875","0.0001171875","0.0001171875"
"17400","0.0003125","0.0003125","0.0003125"
"17500","0.0001171875","0.0001171875","0.0001171875"
"17600","0.0004296875","0.0004296875","0.0004296875"
"17700","0.00015625","0.00015625","0.00015625"
"17800","0.0002734375","0.0002734375","0.0002734375"
"17900","0.0003125","0.0003125","0.0003125"
"18000","0.0002734375","0.0002734375","0.0002734375"
"18100","0.000078125","0.000078125","0.000078125"
"18200","0.0003515625","0.0003515625","0.0003515625"
"18300","0.0002734375","0.0002734375","0.0002734375"
"18400","0.0001953125","0.0001953125","0.0001953125"
"18500","0.000078125","0.000078125","0.000078125"
"18600","0.0000390625","0.0000390625","0.0000390625"
"18700","0.0000390625","0.0000390625","0.0000390625"
"18800","0.000078125","0.000078125","0.000078125"
"18900","0.00015625","0.00015625","0.00015625"
"19000","0.0000390625","0.0000390625","0.0000390625"
"19100","0.0003125","0.0003125","0.0003125"
"19200","0.0001171875","0.0001171875","0.0001171875"
"19300","0.000078125","0.000078125","0.000078125"
"19400","0.000078125","0.000078125","0.000078125"
"19500","0.00015625","0.00015625","0.00015625"
"19600","0.000234375","0.000234375","0.000234375"
"19700","0","0","0"
"19800","0.00015625","0.00015625","0.00015625"
"19900","0.0003125","0.0003125","0.0003125"
"20000","0.000390625","0.000390625","0.000390625"
